CodigoEstadisticaNormal,CodigoEstadistica
01/080101/010078A,01-080101-010078A
01/080101/010078C,01-080101-010078C
01/080101/010078M,01-080101-010078M
01/080101/010078P,01-080101-010078P
01/080101/010078TC,01-080101-010078TC
01/080101/010078TM,01-080101-010078TM
01/080101/010078TP,01-080101-010078TP
01/080101/010079A,01-080101-010079A
01/080101/010079C,01-080101-010079C
01/080101/010079M,01-080101-010079M
01/080101/010079P,01-080101-010079P
01/080101/010079TC,01-080101-010079TC
01/080101/010079TM,01-080101-010079TM
01/080101/010079TP,01-080101-010079TP
01/080101/010080A,01-080101-010080A
01/080101/010080C,01-080101-010080C
01/080101/010080M,01-080101-010080M
01/080101/010080P,01-080101-010080P
01/080101/010080TC,01-080101-010080TC
01/080101/010080TM,01-080101-010080TM
01/080101/010080TP,01-080101-010080TP
01/080101/010081A,01-080101-010081A
01/080101/010081C,01-080101-010081C
01/080101/010081M,01-080101-010081M
01/080101/010081P,01-080101-010081P
01/080101/010081TC,01-080101-010081TC
01/080101/010081TM,01-080101-010081TM
01/080101/010081TP,01-080101-010081TP
01/080101/010082A,01-080101-010082A
01/080101/010082C,01-080101-010082C
01/080101/010082M,01-080101-010082M
01/080101/010082P,01-080101-010082P
01/080101/010082TC,01-080101-010082TC
01/080101/010082TM,01-080101-010082TM
01/080101/010082TP,01-080101-010082TP
01/080101/010083A,01-080101-010083A
01/080101/010083C,01-080101-010083C
01/080101/010083M,01-080101-010083M
01/080101/010083P,01-080101-010083P
01/080101/010083TC,01-080101-010083TC
01/080101/010083TM,01-080101-010083TM
01/080101/010083TP,01-080101-010083TP
01/080101/010084A,01-080101-010084A
01/080101/010084C,01-080101-010084C
01/080101/010084M,01-080101-010084M
01/080101/010084P,01-080101-010084P
01/080101/010084TC,01-080101-010084TC
01/080101/010084TM,01-080101-010084TM
01/080101/010084TP,01-080101-010084TP
01/080101/010085A,01-080101-010085A
01/080101/010085C,01-080101-010085C
01/080101/010085M,01-080101-010085M
01/080101/010085P,01-080101-010085P
01/080101/010085TC,01-080101-010085TC
01/080101/010085TM,01-080101-010085TM
01/080101/010085TP,01-080101-010085TP
01/080101/010086A,01-080101-010086A
01/080101/010086C,01-080101-010086C
01/080101/010086M,01-080101-010086M
01/080101/010086P,01-080101-010086P
01/080101/010086TC,01-080101-010086TC
01/080101/010086TM,01-080101-010086TM
01/080101/010086TP,01-080101-010086TP
01/080101/010087A,01-080101-010087A
01/080101/010087C,01-080101-010087C
01/080101/010087M,01-080101-010087M
01/080101/010087P,01-080101-010087P
01/080101/010087TC,01-080101-010087TC
01/080101/010087TM,01-080101-010087TM
01/080101/010087TP,01-080101-010087TP
01/080101/010088A,01-080101-010088A
01/080101/010088C,01-080101-010088C
01/080101/010088M,01-080101-010088M
01/080101/010088P,01-080101-010088P
01/080101/010088TC,01-080101-010088TC
01/080101/010088TM,01-080101-010088TM
01/080101/010088TP,01-080101-010088TP
01/080101/010089A,01-080101-010089A
01/080101/010089C,01-080101-010089C
01/080101/010089M,01-080101-010089M
01/080101/010089P,01-080101-010089P
01/080101/010089TC,01-080101-010089TC
01/080101/010089TM,01-080101-010089TM
01/080101/010089TP,01-080101-010089TP
01/080101/010090A,01-080101-010090A
01/080101/010090C,01-080101-010090C
01/080101/010090M,01-080101-010090M
01/080101/010090P,01-080101-010090P
01/080101/010090TC,01-080101-010090TC
01/080101/010090TM,01-080101-010090TM
01/080101/010090TP,01-080101-010090TP
01/080101/010091A,01-080101-010091A
01/080101/010091C,01-080101-010091C
01/080101/010091M,01-080101-010091M
01/080101/010091P,01-080101-010091P
01/080101/010091TC,01-080101-010091TC
01/080101/010091TM,01-080101-010091TM
01/080101/010091TP,01-080101-010091TP
01/080101/010092A,01-080101-010092A
01/080101/010092C,01-080101-010092C
01/080101/010092M,01-080101-010092M
01/080101/010092P,01-080101-010092P
01/080101/010092TC,01-080101-010092TC
01/080101/010092TM,01-080101-010092TM
01/080101/010092TP,01-080101-010092TP
01/080101/010093A,01-080101-010093A
01/080101/010093C,01-080101-010093C
01/080101/010093M,01-080101-010093M
01/080101/010093P,01-080101-010093P
01/080101/010093TC,01-080101-010093TC
01/080101/010093TM,01-080101-010093TM
01/080101/010093TP,01-080101-010093TP
01/080101/010094A,01-080101-010094A
01/080101/010094C,01-080101-010094C
01/080101/010094M,01-080101-010094M
01/080101/010094P,01-080101-010094P
01/080101/010094TC,01-080101-010094TC
01/080101/010094TM,01-080101-010094TM
01/080101/010094TP,01-080101-010094TP
01/080101/010095A,01-080101-010095A
01/080101/010095C,01-080101-010095C
01/080101/010095M,01-080101-010095M
01/080101/010095P,01-080101-010095P
01/080101/010095TC,01-080101-010095TC
01/080101/010095TM,01-080101-010095TM
01/080101/010095TP,01-080101-010095TP
01/080101/010096A,01-080101-010096A
01/080101/010096C,01-080101-010096C
01/080101/010096M,01-080101-010096M
01/080101/010096P,01-080101-010096P
01/080101/010096TC,01-080101-010096TC
01/080101/010096TM,01-080101-010096TM
01/080101/010096TP,01-080101-010096TP
01/080101/010097A,01-080101-010097A
01/080101/010097C,01-080101-010097C
01/080101/010097M,01-080101-010097M
01/080101/010097P,01-080101-010097P
01/080101/010097TC,01-080101-010097TC
01/080101/010097TM,01-080101-010097TM
01/080101/010097TP,01-080101-010097TP
01/080101/010098M,01-080101-010098M
01/080101/010099A,01-080101-010099A
01/080101/010099C,01-080101-010099C
01/080101/010099M,01-080101-010099M
01/080101/010099P,01-080101-010099P
01/080101/010099TC,01-080101-010099TC
01/080101/010099TM,01-080101-010099TM
01/080101/010099TP,01-080101-010099TP
01/080101/010100A,01-080101-010100A
01/080101/010100C,01-080101-010100C
01/080101/010100M,01-080101-010100M
01/080101/010100P,01-080101-010100P
01/080101/010100TC,01-080101-010100TC
01/080101/010100TM,01-080101-010100TM
01/080101/010100TP,01-080101-010100TP
01/080101/010101A,01-080101-010101A
01/080101/010101C,01-080101-010101C
01/080101/010101M,01-080101-010101M
01/080101/010101P,01-080101-010101P
01/080101/010101TC,01-080101-010101TC
01/080101/010101TM,01-080101-010101TM
01/080101/010101TP,01-080101-010101TP
01/080101/010102A,01-080101-010102A
01/080101/010102C,01-080101-010102C
01/080101/010102M,01-080101-010102M
01/080101/010102P,01-080101-010102P
01/080101/010102TC,01-080101-010102TC
01/080101/010102TM,01-080101-010102TM
01/080101/010102TP,01-080101-010102TP
01/080101/010103A,01-080101-010103A
01/080101/010103C,01-080101-010103C
01/080101/010103M,01-080101-010103M
01/080101/010103P,01-080101-010103P
01/080101/010103TC,01-080101-010103TC
01/080101/010103TM,01-080101-010103TM
01/080101/010103TP,01-080101-010103TP
01/080101/010105A,01-080101-010105A
01/080101/010105C,01-080101-010105C
01/080101/010105M,01-080101-010105M
01/080101/010105P,01-080101-010105P
01/080101/010105TC,01-080101-010105TC
01/080101/010105TM,01-080101-010105TM
01/080101/010105TP,01-080101-010105TP
01/080101/010106A,01-080101-010106A
01/080101/010106C,01-080101-010106C
01/080101/010106M,01-080101-010106M
01/080101/010106P,01-080101-010106P
01/080101/010106TC,01-080101-010106TC
01/080101/010106TM,01-080101-010106TM
01/080101/010106TP,01-080101-010106TP
01/080101/010107A,01-080101-010107A
01/080101/010107C,01-080101-010107C
01/080101/010107M,01-080101-010107M
01/080101/010107P,01-080101-010107P
01/080101/010107TC,01-080101-010107TC
01/080101/010107TM,01-080101-010107TM
01/080101/010107TP,01-080101-010107TP
01/080101/010108A,01-080101-010108A
01/080101/010108C,01-080101-010108C
01/080101/010108M,01-080101-010108M
01/080101/010108P,01-080101-010108P
01/080101/010108TC,01-080101-010108TC
01/080101/010108TM,01-080101-010108TM
01/080101/010108TP,01-080101-010108TP
01/080101/010109A,01-080101-010109A
01/080101/010109C,01-080101-010109C
01/080101/010109M,01-080101-010109M
01/080101/010109P,01-080101-010109P
01/080101/010109TC,01-080101-010109TC
01/080101/010109TM,01-080101-010109TM
01/080101/010109TP,01-080101-010109TP
01/080101/010110A,01-080101-010110A
01/080101/010110C,01-080101-010110C
01/080101/010110M,01-080101-010110M
01/080101/010110P,01-080101-010110P
01/080101/010110TC,01-080101-010110TC
01/080101/010110TM,01-080101-010110TM
01/080101/010110TP,01-080101-010110TP
01/080101/010111A,01-080101-010111A
01/080101/010111C,01-080101-010111C
01/080101/010111M,01-080101-010111M
01/080101/010111P,01-080101-010111P
01/080101/010111TC,01-080101-010111TC
01/080101/010111TM,01-080101-010111TM
01/080101/010111TP,01-080101-010111TP
01/080101/010112A,01-080101-010112A
01/080101/010112C,01-080101-010112C
01/080101/010112M,01-080101-010112M
01/080101/010112P,01-080101-010112P
01/080101/010112TC,01-080101-010112TC
01/080101/010112TM,01-080101-010112TM
01/080101/010112TP,01-080101-010112TP
01/080101/010113A,01-080101-010113A
01/080101/010113C,01-080101-010113C
01/080101/010113M,01-080101-010113M
01/080101/010113P,01-080101-010113P
01/080101/010113TC,01-080101-010113TC
01/080101/010113TM,01-080101-010113TM
01/080101/010113TP,01-080101-010113TP
01/080101/010114A,01-080101-010114A
01/080101/010114C,01-080101-010114C
01/080101/010114M,01-080101-010114M
01/080101/010114P,01-080101-010114P
01/080101/010114TC,01-080101-010114TC
01/080101/010114TM,01-080101-010114TM
01/080101/010114TP,01-080101-010114TP
01/110304/11030401A,01-110304-11030401A
01/110304/11030401C,01-110304-11030401C
01/110304/11030401M,01-110304-11030401M
01/110304/11030401P,01-110304-11030401P
01/110304/11030401TC,01-110304-11030401TC
01/110304/11030401TM,01-110304-11030401TM
01/110304/11030401TP,01-110304-11030401TP
01/110304/11030402A,01-110304-11030402A
01/110304/11030402C,01-110304-11030402C
01/110304/11030402P,01-110304-11030402P
01/110304/11030402TC,01-110304-11030402TC
01/110304/11030402TP,01-110304-11030402TP
01/110304/11030403A,01-110304-11030403A
01/110304/11030403P,01-110304-11030403P
01/110304/11030403TP,01-110304-11030403TP
01/110304/11030404A,01-110304-11030404A
01/010001A,01-010001A
01/010001C,01-010001C
01/010001M,01-010001M
01/010001P,01-010001P
01/010001TC,01-010001TC
01/010001TM,01-010001TM
01/010001TP,01-010001TP
01/010002A,01-010002A
01/010002C,01-010002C
01/010002M,01-010002M
01/010002P,01-010002P
01/010002TC,01-010002TC
01/010002TM,01-010002TM
01/010002TP,01-010002TP
01/010003A,01-010003A
01/010003C,01-010003C
01/010003M,01-010003M
01/010003P,01-010003P
01/010003TC,01-010003TC
01/010003TM,01-010003TM
01/010003TP,01-010003TP
01/010004A,01-010004A
01/010004C,01-010004C
01/010004M,01-010004M
01/010004P,01-010004P
01/010004TC,01-010004TC
01/010004TM,01-010004TM
01/010004TP,01-010004TP
01/010005A,01-010005A
01/010005C,01-010005C
01/010005M,01-010005M
01/010005P,01-010005P
01/010005TC,01-010005TC
01/010005TM,01-010005TM
01/010005TP,01-010005TP
01/010006A,01-010006A
01/010006C,01-010006C
01/010006M,01-010006M
01/010006P,01-010006P
01/010006TC,01-010006TC
01/010006TM,01-010006TM
01/010006TP,01-010006TP
01/010007A,01-010007A
01/010007C,01-010007C
01/010007M,01-010007M
01/010007P,01-010007P
01/010007TC,01-010007TC
01/010007TM,01-010007TM
01/010007TP,01-010007TP
01/010008A,01-010008A
01/010008C,01-010008C
01/010008M,01-010008M
01/010008P,01-010008P
01/010009A,01-010009A
01/010009C,01-010009C
01/010009M,01-010009M
01/010009P,01-010009P
01/010009TC,01-010009TC
01/010009TM,01-010009TM
01/010009TP,01-010009TP
01/010010A,01-010010A
01/010010C,01-010010C
01/010010M,01-010010M
01/010010P,01-010010P
01/010010TC,01-010010TC
01/010010TM,01-010010TM
01/010010TP,01-010010TP
01/010011A,01-010011A
01/010011C,01-010011C
01/010011M,01-010011M
01/010011P,01-010011P
01/010011TC,01-010011TC
01/010011TM,01-010011TM
01/010011TP,01-010011TP
01/010012A,01-010012A
01/010012C,01-010012C
01/010012M,01-010012M
01/010012P,01-010012P
01/010012TC,01-010012TC
01/010012TM,01-010012TM
01/010012TP,01-010012TP
01/010013A,01-010013A
01/010013C,01-010013C
01/010013M,01-010013M
01/010013P,01-010013P
01/010013TC,01-010013TC
01/010013TM,01-010013TM
01/010013TP,01-010013TP
01/010014A,01-010014A
01/010014C,01-010014C
01/010014M,01-010014M
01/010014P,01-010014P
01/010014TC,01-010014TC
01/010014TM,01-010014TM
01/010014TP,01-010014TP
01/010015A,01-010015A
01/010015C,01-010015C
01/010015M,01-010015M
01/010015P,01-010015P
01/010016A,01-010016A
01/010016C,01-010016C
01/010016M,01-010016M
01/010016P,01-010016P
01/010016TC,01-010016TC
01/010016TM,01-010016TM
01/010016TP,01-010016TP
01/010017A,01-010017A
01/010017C,01-010017C
01/010017M,01-010017M
01/010017P,01-010017P
01/010017TC,01-010017TC
01/010017TM,01-010017TM
01/010017TP,01-010017TP
01/010018A,01-010018A
01/010018C,01-010018C
01/010018M,01-010018M
01/010018P,01-010018P
01/010018TC,01-010018TC
01/010018TM,01-010018TM
01/010018TP,01-010018TP
01/010019A,01-010019A
01/010019C,01-010019C
01/010019M,01-010019M
01/010019P,01-010019P
01/010019TC,01-010019TC
01/010019TM,01-010019TM
01/010019TP,01-010019TP
01/010020A,01-010020A
01/010020C,01-010020C
01/010020M,01-010020M
01/010020P,01-010020P
01/010020TC,01-010020TC
01/010020TM,01-010020TM
01/010020TP,01-010020TP
01/010021A,01-010021A
01/010021C,01-010021C
01/010021M,01-010021M
01/010021P,01-010021P
01/010021TC,01-010021TC
01/010021TM,01-010021TM
01/010021TP,01-010021TP
01/010022A,01-010022A
01/010022C,01-010022C
01/010022M,01-010022M
01/010022P,01-010022P
01/010022TC,01-010022TC
01/010022TM,01-010022TM
01/010022TP,01-010022TP
01/010023A,01-010023A
01/010023C,01-010023C
01/010023M,01-010023M
01/010023P,01-010023P
01/010023TC,01-010023TC
01/010023TM,01-010023TM
01/010023TP,01-010023TP
01/010024A,01-010024A
01/010024C,01-010024C
01/010024M,01-010024M
01/010024P,01-010024P
01/010024TC,01-010024TC
01/010024TM,01-010024TM
01/010024TP,01-010024TP
01/010025A,01-010025A
01/010025C,01-010025C
01/010025M,01-010025M
01/010025P,01-010025P
01/010025TC,01-010025TC
01/010025TM,01-010025TM
01/010025TP,01-010025TP
01/010026A,01-010026A
01/010026C,01-010026C
01/010026M,01-010026M
01/010026P,01-010026P
01/010026TC,01-010026TC
01/010026TM,01-010026TM
01/010026TP,01-010026TP
01/010027A,01-010027A
01/010027C,01-010027C
01/010027M,01-010027M
01/010027P,01-010027P
01/010027TC,01-010027TC
01/010027TM,01-010027TM
01/010027TP,01-010027TP
01/010028A,01-010028A
01/010028M,01-010028M
01/010028P,01-010028P
01/010028TM,01-010028TM
01/010028TP,01-010028TP
01/010029A,01-010029A
01/010029C,01-010029C
01/010029M,01-010029M
01/010029P,01-010029P
01/010029TC,01-010029TC
01/010029TM,01-010029TM
01/010029TP,01-010029TP
01/010030A,01-010030A
01/010030C,01-010030C
01/010030M,01-010030M
01/010030P,01-010030P
01/010030TC,01-010030TC
01/010030TM,01-010030TM
01/010030TP,01-010030TP
01/010031A,01-010031A
01/010031C,01-010031C
01/010031M,01-010031M
01/010031P,01-010031P
01/010031TC,01-010031TC
01/010031TM,01-010031TM
01/010031TP,01-010031TP
01/010032A,01-010032A
01/010032C,01-010032C
01/010032M,01-010032M
01/010032P,01-010032P
01/010032TC,01-010032TC
01/010032TM,01-010032TM
01/010032TP,01-010032TP
01/010035A,01-010035A
01/010035C,01-010035C
01/010035M,01-010035M
01/010035P,01-010035P
01/010035TC,01-010035TC
01/010035TM,01-010035TM
01/010035TP,01-010035TP
01/010036A,01-010036A
01/010036C,01-010036C
01/010036M,01-010036M
01/010036P,01-010036P
01/010036TC,01-010036TC
01/010036TM,01-010036TM
01/010036TP,01-010036TP
01/010037A,01-010037A
01/010037C,01-010037C
01/010037M,01-010037M
01/010037P,01-010037P
