CodigoEstadisticaNormal,CodigoEstadistica
03/030018TC,03-030018TC
03/030018TM,03-030018TM
03/030018TP,03-030018TP
03/030025TC,03-030025TC
03/030025TM,03-030025TM
03/030025TP,03-030025TP
03/030026TC,03-030026TC
03/030026TP,03-030026TP
03/030027TC,03-030027TC
03/030027TP,03-030027TP
03/030028TC,03-030028TC
03/030028TP,03-030028TP
03/030029TC,03-030029TC
03/030029TP,03-030029TP
03/030030TC,03-030030TC
03/030030TM,03-030030TM
03/030030TP,03-030030TP
03/030031TC,03-030031TC
03/030031TP,03-030031TP
03/030032TC,03-030032TC
03/030032TM,03-030032TM
03/030032TP,03-030032TP
03/030033TC,03-030033TC
03/030033TP,03-030033TP
03/030034TC,03-030034TC
03/030034TP,03-030034TP
03/030035TC,03-030035TC
03/030035TP,03-030035TP
03/030036TC,03-030036TC
03/030036TM,03-030036TM
03/030036TP,03-030036TP
03/030039TC,03-030039TC
03/030039TM,03-030039TM
03/030039TP,03-030039TP
03/030040TC,03-030040TC
03/030040TP,03-030040TP
03/030041TC,03-030041TC
03/030041TP,03-030041TP
03/030073TC,03-030073TC
03/030073TM,03-030073TM
03/030073TP,03-030073TP
03/030042TC,03-030042TC
03/030042TM,03-030042TM
03/030042TP,03-030042TP
03/030043TC,03-030043TC
03/030043TM,03-030043TM
03/030043TP,03-030043TP
03/030045TC,03-030045TC
03/030045TM,03-030045TM
03/030045TP,03-030045TP
03/030047TC,03-030047TC
03/030047TM,03-030047TM
03/030047TP,03-030047TP
03/030050TC,03-030050TC
03/030050TP,03-030050TP
03/030049TC,03-030049TC
03/030049TP,03-030049TP
03/030054TC,03-030054TC
03/030054TM,03-030054TM
03/030054TP,03-030054TP
03/030055TC,03-030055TC
03/030055TP,03-030055TP
03/030056TC,03-030056TC
03/030056TP,03-030056TP
03/030057TC,03-030057TC
03/030057TP,03-030057TP
03/030074TC,03-030074TC
03/030074TP,03-030074TP
03/030058TC,03-030058TC
03/030058TM,03-030058TM
03/030058TP,03-030058TP
