Año	Sexo	Nº Accidentes	Código	Municipio	Municipio Código	Municipio Nombre	Grupo Grado Código	Grupo Grado Código
2017	Hombres	3	22001	Abiego	22001	Abiego	1	Leves
2017	Mujeres	1	22001	Abiego	22001	Abiego	1	Leves
2017	Hombres	1	22002	Abizanda	22002	Abizanda	1	Leves
2017	Hombres	1	22002	Abizanda	22002	Abizanda	2	Graves o muy graves
2017	Mujeres	1	22002	Abizanda	22002	Abizanda	1	Leves
2017	Hombres	16	22006	Aísa	22006	Aísa	1	Leves
2017	Mujeres	4	22006	Aísa	22006	Aísa	1	Leves
2017	Hombres	10	22007	Albalate de Cinca	22007	Albalate de Cinca	1	Leves
2017	Mujeres	2	22007	Albalate de Cinca	22007	Albalate de Cinca	1	Leves
2017	Hombres	2	22008	Albalatillo	22008	Albalatillo	1	Leves
2017	Mujeres	1	22008	Albalatillo	22008	Albalatillo	1	Leves
2017	Hombres	2	22009	Albelda	22009	Albelda	1	Leves
2017	Mujeres	5	22009	Albelda	22009	Albelda	1	Leves
2017	Hombres	2	22011	Albero Alto	22011	Albero Alto	1	Leves
2017	Hombres	2	22014	Alcalá de Gurrea	22014	Alcalá de Gurrea	1	Leves
2017	Hombres	4	22015	Alcalá del Obispo	22015	Alcalá del Obispo	1	Leves
2017	Hombres	3	22016	Alcampell	22016	Alcampell	1	Leves
2017	Hombres	22	22017	Alcolea de Cinca	22017	Alcolea de Cinca	1	Leves
2017	Mujeres	1	22017	Alcolea de Cinca	22017	Alcolea de Cinca	1	Leves
2017	Hombres	3	22018	Alcubierre	22018	Alcubierre	1	Leves
2017	Mujeres	1	22018	Alcubierre	22018	Alcubierre	1	Leves
2017	Hombres	2	22020	Alfántega	22020	Alfántega	1	Leves
2017	Hombres	10	22021	Almudévar	22021	Almudévar	1	Leves
2017	Mujeres	5	22021	Almudévar	22021	Almudévar	1	Leves
2017	Hombres	6	22022	Almunia de San Juan	22022	Almunia de San Juan	1	Leves
2017	Hombres	6	22023	Almuniente	22023	Almuniente	1	Leves
2017	Hombres	2	22024	Alquézar	22024	Alquézar	1	Leves
2017	Mujeres	1	22024	Alquézar	22024	Alquézar	1	Leves
2017	Hombres	26	22025	Altorricón	22025	Altorricón	1	Leves
2017	Hombres	1	22025	Altorricón	22025	Altorricón	2	Graves o muy graves
2017	Mujeres	5	22025	Altorricón	22025	Altorricón	1	Leves
2017	Mujeres	1	22027	Angüés	22027	Angüés	1	Leves
2017	Hombres	2	22029	Antillón	22029	Antillón	1	Leves
2017	Hombres	10	22037	Arguis	22037	Arguis	1	Leves
2017	Hombres	8	22039	Ayerbe	22039	Ayerbe	1	Leves
2017	Mujeres	2	22039	Ayerbe	22039	Ayerbe	1	Leves
2017	Hombres	1	22040	Azanuy-Alins	22040	Azanuy-Alins	1	Leves
2017	Hombres	1	22044	Bailo	22044	Bailo	1	Leves
2017	Hombres	1	22045	Baldellou	22045	Baldellou	1	Leves
2017	Hombres	6	22046	Ballobar	22046	Ballobar	1	Leves
2017	Hombres	2	22047	Banastás	22047	Banastás	1	Leves
2017	Hombres	113	22048	Barbastro	22048	Barbastro	1	Leves
2017	Hombres	2	22048	Barbastro	22048	Barbastro	2	Graves o muy graves
2017	Mujeres	51	22048	Barbastro	22048	Barbastro	1	Leves
2017	Hombres	1	22049	Barbués	22049	Barbués	1	Leves
2017	Hombres	1	22050	Barbuñales	22050	Barbuñales	1	Leves
2017	Hombres	24	22052	Belver de Cinca	22052	Belver de Cinca	1	Leves
2017	Hombres	1	22052	Belver de Cinca	22052	Belver de Cinca	2	Graves o muy graves
2017	Mujeres	10	22052	Belver de Cinca	22052	Belver de Cinca	1	Leves
2017	Hombres	12	22053	Benabarre	22053	Benabarre	1	Leves
2017	Mujeres	5	22053	Benabarre	22053	Benabarre	1	Leves
2017	Hombres	28	22054	Benasque	22054	Benasque	1	Leves
2017	Mujeres	16	22054	Benasque	22054	Benasque	1	Leves
2017	Hombres	1	22055	Berbegal	22055	Berbegal	1	Leves
2017	Mujeres	1	22057	Bielsa	22057	Bielsa	1	Leves
2017	Hombres	8	22059	Biescas	22059	Biescas	1	Leves
2017	Mujeres	4	22059	Biescas	22059	Biescas	1	Leves
2017	Hombres	34	22060	Binaced	22060	Binaced	1	Leves
2017	Mujeres	3	22060	Binaced	22060	Binaced	1	Leves
2017	Hombres	125	22061	Binéfar	22061	Binéfar	1	Leves
2017	Mujeres	26	22061	Binéfar	22061	Binéfar	1	Leves
2017	Hombres	1	22063	Biscarrués	22063	Biscarrués	1	Leves
2017	Hombres	1	22064	Blecua y Torres	22064	Blecua y Torres	1	Leves
2017	Hombres	1	22064	Blecua y Torres	22064	Blecua y Torres	2	Graves o muy graves
2017	Hombres	5	22066	Boltaña	22066	Boltaña	1	Leves
2017	Mujeres	2	22066	Boltaña	22066	Boltaña	1	Leves
2017	Hombres	5	22069	Broto	22069	Broto	1	Leves
2017	Mujeres	3	22069	Broto	22069	Broto	1	Leves
2017	Hombres	5	22072	Caldearenas	22072	Caldearenas	1	Leves
2017	Hombres	2	22074	Campo	22074	Campo	1	Leves
2017	Mujeres	5	22074	Campo	22074	Campo	1	Leves
2017	Hombres	3	22077	Candasnos	22077	Candasnos	1	Leves
2017	Mujeres	2	22077	Candasnos	22077	Candasnos	1	Leves
2017	Hombres	6	22078	Canfranc	22078	Canfranc	1	Leves
2017	Mujeres	5	22078	Canfranc	22078	Canfranc	1	Leves
2017	Hombres	12	22080	Capella	22080	Capella	1	Leves
2017	Hombres	1	22081	Casbas de Huesca	22081	Casbas de Huesca	1	Leves
2017	Hombres	13	22082	Castejón del Puente	22082	Castejón del Puente	1	Leves
2017	Hombres	1	22082	Castejón del Puente	22082	Castejón del Puente	2	Graves o muy graves
2017	Hombres	2	22083	Castejón de Monegros	22083	Castejón de Monegros	1	Leves
2017	Hombres	3	22084	Castejón de Sos	22084	Castejón de Sos	1	Leves
2017	Hombres	1	22084	Castejón de Sos	22084	Castejón de Sos	3	Mortales
2017	Hombres	1	22086	Castiello de Jaca	22086	Castiello de Jaca	1	Leves
2017	Hombres	1	22088	Castillazuelo	22088	Castillazuelo	1	Leves
2017	Mujeres	1	22088	Castillazuelo	22088	Castillazuelo	1	Leves
2017	Hombres	3	22089	Castillonroy	22089	Castillonroy	1	Leves
2017	Hombres	1	22094	Chalamera	22094	Chalamera	1	Leves
2017	Mujeres	5	22096	Chimillas	22096	Chimillas	1	Leves
2017	Hombres	15	22099	Esplús	22099	Esplús	1	Leves
2017	Mujeres	10	22099	Esplús	22099	Esplús	1	Leves
2017	Mujeres	1	22102	Estada	22102	Estada	1	Leves
2017	Hombres	9	22103	Estadilla	22103	Estadilla	1	Leves
2017	Mujeres	1	22103	Estadilla	22103	Estadilla	1	Leves
2017	Hombres	1	22105	Estopiñán del Castillo	22105	Estopiñán del Castillo	1	Leves
2017	Hombres	2	22109	Fiscal	22109	Fiscal	1	Leves
2017	Hombres	13	22110	Fonz	22110	Fonz	1	Leves
2017	Mujeres	3	22110	Fonz	22110	Fonz	1	Leves
2017	Hombres	202	22112	Fraga	22112	Fraga	1	Leves
2017	Hombres	2	22112	Fraga	22112	Fraga	2	Graves o muy graves
2017	Hombres	1	22112	Fraga	22112	Fraga	3	Mortales
2017	Mujeres	77	22112	Fraga	22112	Fraga	1	Leves
2017	Hombres	1	22113	Fueva (La)	22113	Fueva (La)	1	Leves
2017	Hombres	4	22115	Grado (El)	22115	Grado (El)	1	Leves
2017	Mujeres	2	22115	Grado (El)	22115	Grado (El)	1	Leves
2017	Hombres	19	22116	Grañén	22116	Grañén	1	Leves
2017	Mujeres	7	22116	Grañén	22116	Grañén	1	Leves
2017	Hombres	20	22117	Graus	22117	Graus	1	Leves
2017	Hombres	1	22117	Graus	22117	Graus	2	Graves o muy graves
2017	Mujeres	12	22117	Graus	22117	Graus	1	Leves
2017	Hombres	14	22119	Gurrea de Gállego	22119	Gurrea de Gállego	1	Leves
2017	Mujeres	3	22119	Gurrea de Gállego	22119	Gurrea de Gállego	1	Leves
2017	Hombres	442	22125	Huesca	22125	Huesca	1	Leves
2017	Hombres	10	22125	Huesca	22125	Huesca	2	Graves o muy graves
2017	Mujeres	169	22125	Huesca	22125	Huesca	1	Leves
2017	Hombres	4	22127	Igriés	22127	Igriés	1	Leves
2017	Hombres	4	22128	Ilche	22128	Ilche	1	Leves
2017	Hombres	1	22129	Isábena	22129	Isábena	2	Graves o muy graves
2017	Hombres	82	22130	Jaca	22130	Jaca	1	Leves
2017	Hombres	2	22130	Jaca	22130	Jaca	2	Graves o muy graves
2017	Mujeres	41	22130	Jaca	22130	Jaca	1	Leves
2017	Hombres	2	22131	Jasa	22131	Jasa	1	Leves
2017	Mujeres	2	22133	Labuerda	22133	Labuerda	1	Leves
2017	Hombres	2	22135	Laluenga	22135	Laluenga	1	Leves
2017	Hombres	4	22136	Lalueza	22136	Lalueza	1	Leves
2017	Hombres	11	22137	Lanaja	22137	Lanaja	1	Leves
2017	Mujeres	1	22137	Lanaja	22137	Lanaja	1	Leves
2017	Hombres	1	22141	Lascellas-Ponzano	22141	Lascellas-Ponzano	1	Leves
2017	Hombres	3	22142	Lascuarre	22142	Lascuarre	1	Leves
2017	Mujeres	1	22143	Laspaúles	22143	Laspaúles	1	Leves
2017	Hombres	1	22149	Loarre	22149	Loarre	1	Leves
2017	Hombres	13	22150	Loporzano	22150	Loporzano	1	Leves
2017	Hombres	1	22155	Monesma y Cajigar	22155	Monesma y Cajigar	1	Leves
2017	Hombres	1	22156	Monflorite-Lascasas	22156	Monflorite-Lascasas	1	Leves
2017	Hombres	1	22157	Montanuy	22157	Montanuy	1	Leves
2017	Hombres	238	22158	Monzón	22158	Monzón	1	Leves
2017	Hombres	1	22158	Monzón	22158	Monzón	2	Graves o muy graves
2017	Hombres	1	22158	Monzón	22158	Monzón	3	Mortales
2017	Mujeres	48	22158	Monzón	22158	Monzón	1	Leves
2017	Hombres	3	22162	Novales	22162	Novales	1	Leves
2017	Hombres	4	22165	Ontiñena	22165	Ontiñena	1	Leves
2017	Hombres	10	22167	Osso de Cinca	22167	Osso de Cinca	1	Leves
2017	Mujeres	1	22167	Osso de Cinca	22167	Osso de Cinca	1	Leves
2017	Hombres	12	22170	Panticosa	22170	Panticosa	1	Leves
2017	Mujeres	3	22170	Panticosa	22170	Panticosa	1	Leves
2017	Hombres	8	22172	Peñalba	22172	Peñalba	1	Leves
2017	Hombres	3	22173	Peñas de Riglos (Las)	22173	Peñas de Riglos (Las)	1	Leves
2017	Mujeres	1	22173	Peñas de Riglos (Las)	22173	Peñas de Riglos (Las)	1	Leves
