Año	Residencia CCAA nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Extranjeros
1998	Aragón	01	UE-15	102	Austria	0 a 15	4
1998	Aragón	01	UE-15	102	Austria	16 a 64	11
1998	Aragón	01	UE-15	102	Austria	65 y más	1
1998	Aragón	01	UE-15	103	Bélgica	0 a 15	8
1998	Aragón	01	UE-15	103	Bélgica	16 a 64	53
1998	Aragón	01	UE-15	103	Bélgica	65 y más	8
1998	Aragón	01	UE-15	107	Dinamarca	0 a 15	1
1998	Aragón	01	UE-15	107	Dinamarca	16 a 64	9
1998	Aragón	01	UE-15	109	Finlandia	16 a 64	3
1998	Aragón	01	UE-15	110	Francia	0 a 15	48
1998	Aragón	01	UE-15	110	Francia	16 a 64	638
1998	Aragón	01	UE-15	110	Francia	65 y más	148
1998	Aragón	01	UE-15	111	Grecia	16 a 64	6
1998	Aragón	01	UE-15	111	Grecia	65 y más	1
1998	Aragón	01	UE-15	113	Irlanda	0 a 15	2
1998	Aragón	01	UE-15	113	Irlanda	16 a 64	30
1998	Aragón	01	UE-15	115	Italia	0 a 15	29
1998	Aragón	01	UE-15	115	Italia	16 a 64	167
1998	Aragón	01	UE-15	115	Italia	65 y más	22
1998	Aragón	01	UE-15	117	Luxemburgo	16 a 64	2
1998	Aragón	01	UE-15	121	Países Bajos	0 a 15	8
1998	Aragón	01	UE-15	121	Países Bajos	16 a 64	70
1998	Aragón	01	UE-15	121	Países Bajos	65 y más	3
1998	Aragón	01	UE-15	123	Portugal	0 a 15	94
1998	Aragón	01	UE-15	123	Portugal	16 a 64	395
1998	Aragón	01	UE-15	123	Portugal	65 y más	19
1998	Aragón	01	UE-15	125	Reino Unido	0 a 15	14
1998	Aragón	01	UE-15	125	Reino Unido	16 a 64	203
1998	Aragón	01	UE-15	125	Reino Unido	65 y más	14
1998	Aragón	01	UE-15	126	Alemania	0 a 15	22
1998	Aragón	01	UE-15	126	Alemania	16 a 64	201
1998	Aragón	01	UE-15	126	Alemania	65 y más	15
1998	Aragón	01	UE-15	131	Suecia	16 a 64	10
1998	Aragón	02	Resto de Europa	101	Albania	16 a 64	2
1998	Aragón	02	Resto de Europa	101	Albania	65 y más	1
1998	Aragón	02	Resto de Europa	104	Bulgaria	0 a 15	1
1998	Aragón	02	Resto de Europa	104	Bulgaria	16 a 64	9
1998	Aragón	02	Resto de Europa	112	Hungría	16 a 64	3
1998	Aragón	02	Resto de Europa	112	Hungría	65 y más	1
