Régimen de tenencia	Régimen de tenencia, código	Comarca nombre	Comarca codigo	Nº viviendas
Propia, por compra, con pagos pendientes (hipotecas)	2	Matarraña / Matarranya	33	384,1878465631
Propia por herencia o donación	3	La Jacetania	01	1013,3429217794
Propia por herencia o donación	3	Alto Gállego	02	595,040061451
Propia por herencia o donación	3	Sobrarbe	03	870,2372867005
Propia por herencia o donación	3	La Ribagorza	04	1339,9204080315
Propia por herencia o donación	3	Cinco Villas	05	1862,13002681
Propia por herencia o donación	3	Hoya de Huesca / Plana de Uesca	06	2160,2207362891
Propia por herencia o donación	3	Somontano de Barbastro	07	1369,6547508337
Propia por herencia o donación	3	Cinca Medio	08	1105,3005836654
Propia por herencia o donación	3	La Litera / La Llitera	09	1365,5879261632
Propia por herencia o donación	3	Los Monegros	10	1806,0328654494
Propia por herencia o donación	3	Bajo Cinca / Baix Cinca	11	1434,4251536418
Propia por herencia o donación	3	Tarazona y el Moncayo	12	686,8580009196
Propia por herencia o donación	3	Campo de Borja	13	867,8864388761
Propia por herencia o donación	3	Aranda	14	464,9263585332
Propia por herencia o donación	3	Ribera Alta del Ebro	15	1360,8313020657
Propia por herencia o donación	3	Valdejalón	16	1386,4503268245
Propia por herencia o donación	3	D.C. Zaragoza	17	11317,4520913874
Propia por herencia o donación	3	Ribera Baja del Ebro	18	482,0555947888
Propia por herencia o donación	3	Bajo Aragón-Caspe / Baix Aragó-Casp	19	986,4938635068
Propia por herencia o donación	3	Comunidad de Calatayud	20	2110,9545480836
Propia por herencia o donación	3	Campo de Cariñena	21	814,804152914
Propia por herencia o donación	3	Campo de Belchite	22	478,533020201
Propia por herencia o donación	3	Bajo Martín	23	511,5044429645
Propia por herencia o donación	3	Campo de Daroca	24	697,5248041252
Propia por herencia o donación	3	Jiloca	25	1127,0786943115
Propia por herencia o donación	3	Cuencas Mineras	26	478,8887472667
Propia por herencia o donación	3	Andorra-Sierra de Arcos	27	589,3217483469
Propia por herencia o donación	3	Bajo Aragón	28	1150,9232451601
Propia por herencia o donación	3	Comunidad de Teruel	29	1764,013594025
Propia por herencia o donación	3	Maestrazgo	30	386,7817896147
Propia por herencia o donación	3	Sierra de Albarracín	31	530,7353765992
Propia por herencia o donación	3	Gúdar-Javalambre	32	635,4122399146
Propia por herencia o donación	3	Matarraña / Matarranya	33	1083,4246972632
Alquilada	4	La Jacetania	01	1093,3919058467
Alquilada	4	Alto Gállego	02	758,1937648709
Alquilada	4	Sobrarbe	03	478,104068893
Alquilada	4	La Ribagorza	04	867,4826157989
Alquilada	4	Cinco Villas	05	817,4220473514
Alquilada	4	Hoya de Huesca / Plana de Uesca	06	3630,0294955407
Alquilada	4	Somontano de Barbastro	07	1410,9329315956
Alquilada	4	Cinca Medio	08	1258,4548886202
Alquilada	4	La Litera / La Llitera	09	839,5055506187
Alquilada	4	Los Monegros	10	562,83087997
Alquilada	4	Bajo Cinca / Baix Cinca	11	1136,9247889648
Alquilada	4	Tarazona y el Moncayo	12	511,2030633473
Alquilada	4	Campo de Borja	13	459,6989091919
Alquilada	4	Aranda	14	263,8469347441
Alquilada	4	Ribera Alta del Ebro	15	751,011451241
