Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Comarca código	Comarca nombre	CIF	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	07	Somontano de Barbastro	Otros	1	49	3794	77,42857142857142857142857142857142857143
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	A través de una ETT	0	38	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	A través de una ETT	1	34	854	25,11764705882352941176470588235294117647
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	A través de una ETT	0	24	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	A través de una ETT	1	3	28	9,33333333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	Otros	0	377	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	08	Cinca Medio	Otros	1	70	8068	115,257142857142857142857142857142857143
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	Otros	0	86	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	08	Cinca Medio	Otros	1	40	2999	74,975
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	A través de una ETT	0	29	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	A través de una ETT	1	32	1849	57,78125
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	A través de una ETT	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	A través de una ETT	1	3	179	59,66666666666666666666666666666666666667
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	Otros	0	156	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	09	La Litera / La Llitera	Otros	1	202	21599	106,925742574257425742574257425742574257
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	Otros	0	45	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	09	La Litera / La Llitera	Otros	1	82	7855	95,79268292682926829268292682926829268293
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	A través de una ETT	0	4	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	A través de una ETT	1	3	199	66,33333333333333333333333333333333333333
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	Otros	0	182	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	10	Los Monegros	Otros	1	48	6696	139,5
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	10	Los Monegros	Otros	0	23	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	10	Los Monegros	Otros	1	30	2565	85,5
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	11	Bajo Cinca / Baix Cinca	A través de una ETT	0	321	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	11	Bajo Cinca / Baix Cinca	A través de una ETT	1	119	2156	18,11764705882352941176470588235294117647
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	11	Bajo Cinca / Baix Cinca	A través de una ETT	0	155	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	11	Bajo Cinca / Baix Cinca	A través de una ETT	1	237	2262	9,54430379746835443037974683544303797468
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	11	Bajo Cinca / Baix Cinca	Otros	0	1941	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	11	Bajo Cinca / Baix Cinca	Otros	1	149	10765	72,24832214765100671140939597315436241611
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	11	Bajo Cinca / Baix Cinca	Otros	0	703	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	11	Bajo Cinca / Baix Cinca	Otros	1	70	6081	86,87142857142857142857142857142857142857
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	12	Tarazona y el Moncayo	A través de una ETT	1	5	97	19,4
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	12	Tarazona y el Moncayo	Otros	0	14	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	12	Tarazona y el Moncayo	Otros	1	8	1331	166,375
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	12	Tarazona y el Moncayo	Otros	0	8	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	12	Tarazona y el Moncayo	Otros	1	6	685	114,166666666666666666666666666666666667
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	13	Campo de Borja	A través de una ETT	1	7	28	4
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	13	Campo de Borja	A través de una ETT	1	5	35	7
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	13	Campo de Borja	Otros	0	151	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	13	Campo de Borja	Otros	1	38	1770	46,57894736842105263157894736842105263158
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	13	Campo de Borja	Otros	0	52	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	13	Campo de Borja	Otros	1	63	3370	53,49206349206349206349206349206349206349
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	14	Aranda	A través de una ETT	0	2	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	14	Aranda	Otros	0	41	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	14	Aranda	Otros	1	6	616	102,666666666666666666666666666666666667
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	14	Aranda	Otros	0	13	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	14	Aranda	Otros	1	5	541	108,2
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	15	Ribera Alta del Ebro	A través de una ETT	0	20	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	15	Ribera Alta del Ebro	A través de una ETT	1	46	355	7,71739130434782608695652173913043478261
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	15	Ribera Alta del Ebro	A través de una ETT	0	24	0	0
