Provincia codigo	Provincia nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
22	Huesca	Bovinos de entre uno y dos años	Bovinos	13	1	44371
22	Huesca	Bovinos de menos de un año	Bovinos	14	1	131727
22	Huesca	Cabras madres y chivas de reposición	Caprinos	31	3	18694
22	Huesca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	189969
22	Huesca	Colmenas	Colmenas	81	8	12493
22	Huesca	Conejas madres	Conejas madres	71	7	25456
22	Huesca	Equinos (caballos, mulas y asnos)	Equinos	41	4	2426
22	Huesca	Gallinas ponedoras	Aves	61	6	1732191
22	Huesca	Lechones de menos de 20 kg	Porcinos	52	5	583404
22	Huesca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	1409401
22	Huesca	Otros bovinos de dos años o más	Bovinos	12	1	10551
22	Huesca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3102
22	Huesca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	59912
22	Huesca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1924214
22	Huesca	Ovejas madres y corderas para reposición	Ovinos	21	2	510546
22	Huesca	Pollos de carne	Aves	62	6	5956526
22	Huesca	Vacas	Bovinos	11	1	34572
44	Teruel	Bovinos de entre uno y dos años	Bovinos	13	1	5418
44	Teruel	Bovinos de menos de un año	Bovinos	14	1	17803
44	Teruel	Cabras madres y chivas de reposición	Caprinos	31	3	12457
44	Teruel	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	94592
44	Teruel	Colmenas	Colmenas	81	8	13570
44	Teruel	Conejas madres	Conejas madres	71	7	77322
44	Teruel	Equinos (caballos, mulas y asnos)	Equinos	41	4	639
44	Teruel	Gallinas ponedoras	Aves	61	6	166090
44	Teruel	Lechones de menos de 20 kg	Porcinos	52	5	204635
44	Teruel	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	80275
44	Teruel	Otros bovinos de dos años o más	Bovinos	12	1	3596
44	Teruel	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	1052
44	Teruel	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	50826
44	Teruel	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	615194
44	Teruel	Ovejas madres y corderas para reposición	Ovinos	21	2	626015
44	Teruel	Pollos de carne	Aves	62	6	2233068
44	Teruel	Vacas	Bovinos	11	1	11205
50	Zaragoza	Bovinos de entre uno y dos años	Bovinos	13	1	23472
50	Zaragoza	Bovinos de menos de un año	Bovinos	14	1	34005
50	Zaragoza	Cabras madres y chivas de reposición	Caprinos	31	3	13742
50	Zaragoza	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	214903
50	Zaragoza	Colmenas	Colmenas	81	8	14160
50	Zaragoza	Conejas madres	Conejas madres	71	7	28186
50	Zaragoza	Equinos (caballos, mulas y asnos)	Equinos	41	4	1381
50	Zaragoza	Gallinas ponedoras	Aves	61	6	3298927
50	Zaragoza	Lechones de menos de 20 kg	Porcinos	52	5	504040
50	Zaragoza	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	517792
50	Zaragoza	Otros bovinos de dos años o más	Bovinos	12	1	3082
50	Zaragoza	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	1877
50	Zaragoza	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	81307
50	Zaragoza	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1142986
50	Zaragoza	Ovejas madres y corderas para reposición	Ovinos	21	2	607741
50	Zaragoza	Pollos de carne	Aves	62	6	5993916
50	Zaragoza	Vacas	Bovinos	11	1	10713
