Mes y año	Mes (código)	Año	Mes nombre	Comarca código	Comarca nombre	Sexo	Número de contratos	Temporalidad	Bonificado o no
Junio 2020	202006	2020	Junio	01	La Jacetania	Hombres	24	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	01	La Jacetania	Mujeres	26	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	01	La Jacetania	Hombres	1	Temporal	Bonificados
Junio 2020	202006	2020	Junio	01	La Jacetania	Mujeres	1	Temporal	Bonificados
Junio 2020	202006	2020	Junio	01	La Jacetania	Hombres	138	Temporal	No bonificados
Junio 2020	202006	2020	Junio	01	La Jacetania	Mujeres	147	Temporal	No bonificados
Junio 2020	202006	2020	Junio	02	Alto Gállego	Hombres	21	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	02	Alto Gállego	Mujeres	8	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	02	Alto Gállego	Hombres	1	Temporal	Bonificados
Junio 2020	202006	2020	Junio	02	Alto Gállego	Hombres	157	Temporal	No bonificados
Junio 2020	202006	2020	Junio	02	Alto Gállego	Mujeres	125	Temporal	No bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Hombres	14	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Mujeres	19	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Hombres	1	Temporal	Bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Mujeres	1	Temporal	Bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Hombres	86	Temporal	No bonificados
Junio 2020	202006	2020	Junio	03	Sobrarbe	Mujeres	106	Temporal	No bonificados
Junio 2020	202006	2020	Junio	04	La Ribagorza	Hombres	19	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	04	La Ribagorza	Mujeres	10	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	04	La Ribagorza	Hombres	2	Temporal	Bonificados
Junio 2020	202006	2020	Junio	04	La Ribagorza	Hombres	111	Temporal	No bonificados
Junio 2020	202006	2020	Junio	04	La Ribagorza	Mujeres	93	Temporal	No bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Hombres	2	Indefinido	Bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Mujeres	1	Indefinido	Bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Hombres	70	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Mujeres	42	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Hombres	5	Temporal	Bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Hombres	396	Temporal	No bonificados
Junio 2020	202006	2020	Junio	05	Cinco Villas	Mujeres	156	Temporal	No bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Hombres	2	Indefinido	Bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Mujeres	3	Indefinido	Bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Hombres	76	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Mujeres	55	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Hombres	12	Temporal	Bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Mujeres	16	Temporal	Bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Hombres	655	Temporal	No bonificados
Junio 2020	202006	2020	Junio	06	Hoya de Huesca / Plana de Uesca	Mujeres	603	Temporal	No bonificados
Junio 2020	202006	2020	Junio	07	Somontano de Barbastro	Hombres	25	Indefinido	No bonificados
Junio 2020	202006	2020	Junio	07	Somontano de Barbastro	Mujeres	25	Indefinido	No bonificados
