CCAA código	CCAA nombre	Personalidad jurídica	Explotaciones
02	Aragón	Entidad pública	433
02	Aragón	Otras condiciones jurídicas	2581
02	Aragón	Persona física	47937
02	Aragón	Sociedad cooperativa	280
02	Aragón	Sociedad mercantil	1543
