Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	Hasta 3 meses	1	3	Sin clasificar	50095	Ejea de los Caballeros
2020	Hasta 3 meses	5	2	Temporal	50163	María de Huerva
2020	Hasta 3 meses	1	3	Sin clasificar	50163	María de Huerva
2020	Hasta 3 meses	3	1	Indefinido	50182	Muela (La)
2020	Hasta 3 meses	48	2	Temporal	50182	Muela (La)
2020	Hasta 3 meses	2	1	Indefinido	50219	Puebla de Alfindén (La)
2020	Hasta 3 meses	15	2	Temporal	50219	Puebla de Alfindén (La)
2020	Hasta 3 meses	1	3	Sin clasificar	50219	Puebla de Alfindén (La)
2020	Hasta 3 meses	3	1	Indefinido	50251	Tarazona
2020	Hasta 3 meses	22	2	Temporal	50251	Tarazona
2020	Hasta 3 meses	1	1	Indefinido	50252	Tauste
2020	Hasta 3 meses	41	2	Temporal	50252	Tauste
2020	Hasta 3 meses	1	3	Sin clasificar	50252	Tauste
2020	Hasta 3 meses	3	1	Indefinido	50272	Utebo
2020	Hasta 3 meses	67	2	Temporal	50272	Utebo
2020	Hasta 3 meses	156	1	Indefinido	50297	Zaragoza
2020	Hasta 3 meses	1165	2	Temporal	50297	Zaragoza
2020	Hasta 3 meses	21	3	Sin clasificar	50297	Zaragoza
2020	Hasta 3 meses	12	1	Indefinido	50298	Zuera
2020	Hasta 3 meses	50	2	Temporal	50298	Zuera
2020	Hasta 3 meses	1	3	Sin clasificar	50298	Zuera
2020	De 4 a 6 meses	1	1	Indefinido	22048	Barbastro
2020	De 4 a 6 meses	21	2	Temporal	22048	Barbastro
2020	De 4 a 6 meses	21	1	Indefinido	22061	Binéfar
2020	De 4 a 6 meses	86	2	Temporal	22061	Binéfar
2020	De 4 a 6 meses	10	1	Indefinido	22112	Fraga
2020	De 4 a 6 meses	15	2	Temporal	22112	Fraga
2020	De 4 a 6 meses	13	1	Indefinido	22125	Huesca
2020	De 4 a 6 meses	49	2	Temporal	22125	Huesca
2020	De 4 a 6 meses	2	3	Sin clasificar	22125	Huesca
