Año	CCAA nombre	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1999	Aragón	80021	1777	32132	10651	10537	11626	6479	6819	78244
1989	Aragón	100731	1082	40750	16240	15289	14109	6915	6346	99649
