Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22022	Almunia de San Juan	IAEST	Viviendas de turismo rural	0	0
2009	22023	Almuniente	IAEST	Apartamentos turísticos	0	0
2009	22023	Almuniente	IAEST	Campings y áreas de acampada	0	0
2009	22023	Almuniente	IAEST	Hoteles, hostales y similares	0	0
2009	22023	Almuniente	IAEST	Viviendas de turismo rural	0	0
2009	22024	Alquézar	IAEST	Apartamentos turísticos	83	19
2009	22024	Alquézar	IAEST	Campings y áreas de acampada	540	2
2009	22024	Alquézar	IAEST	Hoteles, hostales y similares	167	5
2009	22024	Alquézar	IAEST	Viviendas de turismo rural	79	11
2009	22025	Altorricón	IAEST	Apartamentos turísticos	0	0
2009	22025	Altorricón	IAEST	Campings y áreas de acampada	0	0
2009	22025	Altorricón	IAEST	Hoteles, hostales y similares	0	0
2009	22025	Altorricón	IAEST	Viviendas de turismo rural	0	0
2009	22027	Angüés	IAEST	Apartamentos turísticos	0	0
2009	22027	Angüés	IAEST	Campings y áreas de acampada	0	0
2009	22027	Angüés	IAEST	Hoteles, hostales y similares	0	0
2009	22027	Angüés	IAEST	Viviendas de turismo rural	11	1
2009	22028	Ansó	IAEST	Apartamentos turísticos	0	0
2009	22028	Ansó	IAEST	Campings y áreas de acampada	400	1
2009	22028	Ansó	IAEST	Hoteles, hostales y similares	56	3
2009	22028	Ansó	IAEST	Viviendas de turismo rural	78	9
2009	22029	Antillón	IAEST	Apartamentos turísticos	0	0
2009	22029	Antillón	IAEST	Campings y áreas de acampada	0	0
2009	22029	Antillón	IAEST	Hoteles, hostales y similares	0	0
2009	22029	Antillón	IAEST	Viviendas de turismo rural	0	0
2009	22032	Aragüés del Puerto	IAEST	Apartamentos turísticos	0	0
2009	22032	Aragüés del Puerto	IAEST	Campings y áreas de acampada	0	0
2009	22032	Aragüés del Puerto	IAEST	Hoteles, hostales y similares	20	1
2009	22032	Aragüés del Puerto	IAEST	Viviendas de turismo rural	0	0
2009	22035	Arén	IAEST	Apartamentos turísticos	26	4
2009	22035	Arén	IAEST	Campings y áreas de acampada	0	0
2009	22035	Arén	IAEST	Hoteles, hostales y similares	74	4
2009	22035	Arén	IAEST	Viviendas de turismo rural	16	2
2009	22036	Argavieso	IAEST	Apartamentos turísticos	0	0
2009	22036	Argavieso	IAEST	Campings y áreas de acampada	0	0
2009	22036	Argavieso	IAEST	Hoteles, hostales y similares	0	0
2009	22036	Argavieso	IAEST	Viviendas de turismo rural	0	0
2009	22037	Arguis	IAEST	Apartamentos turísticos	13	4
2009	22037	Arguis	IAEST	Campings y áreas de acampada	153	1
2009	22037	Arguis	IAEST	Hoteles, hostales y similares	10	1
2009	22037	Arguis	IAEST	Viviendas de turismo rural	0	0
2009	22039	Ayerbe	IAEST	Apartamentos turísticos	0	0
2009	22039	Ayerbe	IAEST	Campings y áreas de acampada	236	1
2009	22039	Ayerbe	IAEST	Hoteles, hostales y similares	50	2
2009	22039	Ayerbe	IAEST	Viviendas de turismo rural	25	3
2009	22040	Azanuy-Alins	IAEST	Apartamentos turísticos	0	0
2009	22040	Azanuy-Alins	IAEST	Campings y áreas de acampada	0	0
2009	22040	Azanuy-Alins	IAEST	Hoteles, hostales y similares	0	0
2009	22040	Azanuy-Alins	IAEST	Viviendas de turismo rural	12	1
2009	22041	Azara	IAEST	Apartamentos turísticos	0	0
2009	22041	Azara	IAEST	Campings y áreas de acampada	0	0
2009	22041	Azara	IAEST	Hoteles, hostales y similares	0	0
2009	22041	Azara	IAEST	Viviendas de turismo rural	0	0
2009	22042	Azlor	IAEST	Apartamentos turísticos	0	0
2009	22042	Azlor	IAEST	Campings y áreas de acampada	0	0
2009	22042	Azlor	IAEST	Hoteles, hostales y similares	0	0
