Régimen de tenencia	Régimen de tenencia, código	CCAA codigo	CCAA nombre	Nº viviendas
Propia, por compra, totalmente pagada	1	02	Aragón	225930,084179882
Propia, por compra, con pagos pendientes (hipotecas)	2	02	Aragón	158259,381626761
Propia por herencia o donación	3	02	Aragón	44834,7477985073
Alquilada	4	02	Aragón	72371,8544074169
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	02	Aragón	13361,1061324212
Otra forma	6	02	Aragón	24113,2846131436
