Municipio código	Municipio nombre	Año	Votos	Siglas
50297	Zaragoza	2008	484530	PSOE
50297	Zaragoza	2011	444264	PP-PAR
50297	Zaragoza	2008	388676	PP
50297	Zaragoza	2016	354720	PP-PAR
50297	Zaragoza	2019	341971	PSOE
50297	Zaragoza	2015	310540	PP-PAR
50297	Zaragoza	2011	274650	PSOE
50297	Zaragoza	2019	236782	Cs
50297	Zaragoza	2016	236119	PSOE
50297	Zaragoza	2019	218195	PP
50297	Zaragoza	2016	208305	PODEMOS-IU-EQUO
50297	Zaragoza	2015	208002	PSOE
50297	Zaragoza	2015	196248	PODEMOS
50297	Zaragoza	2019	159099	PODEMOS-IU-EQUO
50297	Zaragoza	2015	154422	C's
50297	Zaragoza	2016	148091	C's
50297	Zaragoza	2019	117236	VOX
50297	Zaragoza	2011	111751	CHA-IU
50297	Zaragoza	2015	75070	IU-CHA-UPeC
50297	Zaragoza	2008	61149	CHA
50297	Zaragoza	2008	48436	PAR
22125	Huesca	2008	35293	PSOE
50297	Zaragoza	2008	34567	IU
22125	Huesca	2011	32684	PP-PAR
22125	Huesca	2008	29596	PP
22125	Huesca	2019	28176	PSOE
44216	Teruel	2011	26743	PP-PAR
50297	Zaragoza	2011	26030	UPyD
44216	Teruel	2008	25578	PP
22125	Huesca	2016	25564	PP-PAR
44216	Teruel	2016	22746	PP-PAR
22125	Huesca	2015	22356	PP-PAR
22125	Huesca	2011	21778	PSOE
44216	Teruel	2008	21108	PSOE
50297	Zaragoza	2015	20949	EB
44216	Teruel	2015	19652	PP-PAR
22125	Huesca	2019	19298	PP
22125	Huesca	2016	19040	PSOE
22125	Huesca	2015	17638	PSOE
50297	Zaragoza	2019	17417	PACMA
50297	Zaragoza	2016	16381	PACMA
22125	Huesca	2019	16013	Cs
50297	Zaragoza	2008	15552	UPyD
50095	Ejea de los Caballeros	2008	15511	PSOE
50297	Zaragoza	2016	14833	EB
44216	Teruel	2019	14500	PP
50067	Calatayud	2011	14172	PP-PAR
22125	Huesca	2016	14085	PODEMOS-IU-EQUO
50297	Zaragoza	2015	13711	PACMA
44216	Teruel	2019	13375	Cs
50067	Calatayud	2008	13105	PSOE
50067	Calatayud	2008	12928	PP
22125	Huesca	2015	12440	PODEMOS-Ahora Alto Aragón en Común
22048	Barbastro	2008	12421	PSOE
44216	Teruel	2011	12417	PSOE
22048	Barbastro	2011	12182	PP-PAR
22158	Monzón	2008	12155	PSOE
22125	Huesca	2015	11821	C's
44216	Teruel	2016	11814	PSOE
50297	Zaragoza	2015	11599	UPyD
50067	Calatayud	2016	11438	PP-PAR
50095	Ejea de los Caballeros	2011	11293	PSOE
50272	Utebo	2008	11121	PSOE
50095	Ejea de los Caballeros	2019	10878	PSOE
22158	Monzón	2011	10828	PP-PAR
44216	Teruel	2015	10727	PSOE
22125	Huesca	2016	10618	C's
22125	Huesca	2019	10597	PODEMOS-IU-EQUO
22048	Barbastro	2008	10507	PP
50297	Zaragoza	2011	10457	EB
44013	Alcañiz	2008	10402	PSOE
50272	Utebo	2011	10231	PP-PAR
44013	Alcañiz	2011	10184	PP-PAR
22112	Fraga	2011	10085	PP-PAR
22048	Barbastro	2016	9852	PP-PAR
50067	Calatayud	2015	9763	PP-PAR
50297	Zaragoza	2019	9734	EB
50297	Zaragoza	2011	9520	EQUO
50095	Ejea de los Caballeros	2011	9513	PP-PAR
22130	Jaca	2008	9358	PSOE
50095	Ejea de los Caballeros	2016	9323	PSOE
50095	Ejea de los Caballeros	2015	9226	PSOE
22112	Fraga	2008	9171	PP
22158	Monzón	2008	9032	PP
22112	Fraga	2008	9015	PSOE
50067	Calatayud	2019	8952	PP
44013	Alcañiz	2016	8746	PP-PAR
50067	Calatayud	2019	8741	PSOE
22048	Barbastro	2015	8682	PP-PAR
44216	Teruel	2015	8588	C's
50067	Calatayud	2011	8554	PSOE
50251	Tarazona	2011	8545	PP-PAR
22048	Barbastro	2019	8504	PSOE
50272	Utebo	2019	8401	PSOE
22158	Monzón	2019	8306	PSOE
22158	Monzón	2016	8066	PP-PAR
50251	Tarazona	2008	8048	PSOE
22158	Monzón	2011	7982	PSOE
22199	Sabiñánigo	2008	7957	PSOE
22048	Barbastro	2011	7955	PSOE
22130	Jaca	2011	7952	PP-PAR
44013	Alcañiz	2015	7881	PP-PAR
50272	Utebo	2008	7850	PP
50297	Zaragoza	2011	7797	PACMA
44013	Alcañiz	2008	7728	PP
50095	Ejea de los Caballeros	2016	7629	PP-PAR
44216	Teruel	2016	7583	PODEMOS-IU-EQUO
50089	Cuarte de Huerva	2011	7500	PP-PAR
44025	Andorra	2008	7485	PSOE
50095	Ejea de los Caballeros	2008	7430	PP
44216	Teruel	2016	7407	C's
44216	Teruel	2015	7374	PODEMOS
50067	Calatayud	2016	7346	PSOE
22112	Fraga	2016	7263	PP-PAR
50272	Utebo	2016	7252	PP-PAR
22158	Monzón	2015	7013	PP-PAR
22130	Jaca	2019	6955	PSOE
50251	Tarazona	2008	6953	PP
