Provincia código	Provincia nombre	Lugar de nacimiento	Lugar de nacimiento
22	Huesca	En España	251
22	Huesca	En un país extranjero	5751
44	Teruel	En España	91
44	Teruel	En un país extranjero	3025
50	Zaragoza	En España	1075
50	Zaragoza	En un país extranjero	28121
