Aragón	Contaminación	Ruidos exteriores	Número hogares
Aragón	Con contaminación o malos olores	Con ruidos exteriores	48142
Aragón	Con contaminación o malos olores	Sin ruidos exteriores	31905
Aragón	Sin contaminación o malos olores	Con ruidos exteriores	61847
Aragón	Sin contaminación o malos olores	Sin ruidos exteriores	301349
