Provincia código	Provincia nombre	Año de construcción	Número de edificios
22	Huesca	 Antes de 1900	16311
22	Huesca	1900 - 1920	3554
22	Huesca	1921 - 1940	3833
22	Huesca	1941 - 1950	4061
22	Huesca	1951 - 1960	6304
22	Huesca	1961 - 1970	6366
22	Huesca	1971 - 1980	6183
22	Huesca	1981 - 1990	6588
22	Huesca	1991	594
22	Huesca	1992	593
22	Huesca	1993	533
22	Huesca	1994	471
22	Huesca	1995	485
22	Huesca	1996	661
22	Huesca	1997	611
22	Huesca	1998	703
22	Huesca	1999	905
22	Huesca	2000	829
22	Huesca	2001	966
44	Teruel	 Antes de 1900	21247
44	Teruel	1900 - 1920	5910
44	Teruel	1921 - 1940	5153
44	Teruel	1941 - 1950	5006
44	Teruel	1951 - 1960	5882
44	Teruel	1961 - 1970	5079
44	Teruel	1971 - 1980	7988
44	Teruel	1981 - 1990	7328
44	Teruel	1991	473
44	Teruel	1992	514
44	Teruel	1993	580
44	Teruel	1994	544
44	Teruel	1995	624
44	Teruel	1996	560
44	Teruel	1997	452
44	Teruel	1998	489
44	Teruel	1999	500
44	Teruel	2000	613
44	Teruel	2001	596
50	Zaragoza	 Antes de 1900	22983
50	Zaragoza	1900 - 1920	9709
50	Zaragoza	1921 - 1940	9986
50	Zaragoza	1941 - 1950	10314
50	Zaragoza	1951 - 1960	17345
50	Zaragoza	1961 - 1970	15550
50	Zaragoza	1971 - 1980	19164
50	Zaragoza	1981 - 1990	15431
50	Zaragoza	1991	2017
50	Zaragoza	1992	1639
50	Zaragoza	1993	1623
50	Zaragoza	1994	1661
50	Zaragoza	1995	1688
50	Zaragoza	1996	2044
50	Zaragoza	1997	1925
50	Zaragoza	1998	2558
50	Zaragoza	1999	1872
50	Zaragoza	2000	2276
50	Zaragoza	2001	2542
