Número de miembros	Nº medio de miembros	Municipio codigo 	Municipio nombre	Nº hogares
1 persona	1	22001	Abiego	29,4692385713
2 personas	2	22001	Abiego	30,21919776
3 personas	3	22001	Abiego	20,6020794765
4 personas	4	22001	Abiego	13,0451659924
5 personas	5	22001	Abiego	4,9287252811
6 personas	6	22001	Abiego	7,0487198439
7 o más personas	9	22001	Abiego	0,2068306645
1 persona	1	22002	Abizanda	22,4584139426
2 personas	2	22002	Abizanda	26,168901116
3 personas	3	22002	Abizanda	3,6516710716
4 personas	4	22002	Abizanda	2,7928080989
5 personas	5	22002	Abizanda	7,1350954861
7 o más personas		22002	Abizanda	
1 persona	1	22003	Adahuesca	22,4197882458
2 personas	2	22003	Adahuesca	22,5508163104
3 personas	3	22003	Adahuesca	12,716959304
4 personas	4	22003	Adahuesca	7,1057654422
5 personas	5	22003	Adahuesca	8,7524076654
7 o más personas		22003	Adahuesca	
1 persona	1	22004	Agüero	24,1755912075
2 personas	2	22004	Agüero	29,5547117169
3 personas	3	22004	Agüero	11,9852659078
4 personas	4	22004	Agüero	1,6142231579
5 personas	5	22004	Agüero	1,8779803434
7 o más personas		22004	Agüero	
1 persona	1	22006	Aísa	46,8209314851
2 personas	2	22006	Aísa	28,3185389443
3 personas	3	22006	Aísa	21,1134688013
4 personas	4	22006	Aísa	38,4043860323
5 personas	5	22006	Aísa	9,9592843001
7 o más personas		22006	Aísa	
1 persona	1	22007	Albalate de Cinca	71,0439984732
2 personas	2	22007	Albalate de Cinca	124,6809081964
3 personas	3	22007	Albalate de Cinca	127,3979543594
4 personas	4	22007	Albalate de Cinca	69,3449813042
5 personas	5	22007	Albalate de Cinca	38,9391990025
6 personas	6	22007	Albalate de Cinca	11,7366424372
7 o más personas		22007	Albalate de Cinca	
1 persona	1	22008	Albalatillo	20,0811024089
2 personas	2	22008	Albalatillo	28,789554128
3 personas	3	22008	Albalatillo	22,7246311031
4 personas	4	22008	Albalatillo	6,7064235247
5 personas	5	22008	Albalatillo	4,4653417485
6 personas	6	22008	Albalatillo	4,3370375154
7 o más personas		22008	Albalatillo	
1 persona	1	22009	Albelda	86,0493142483
2 personas	2	22009	Albelda	112,4235919917
3 personas	3	22009	Albelda	88,6472429809
4 personas	4	22009	Albelda	41,6028791078
5 personas	5	22009	Albelda	13,1555669402
7 o más personas		22009	Albelda	
1 persona	1	22011	Albero Alto	12,3328364825
2 personas	2	22011	Albero Alto	25,2418786459
3 personas	3	22011	Albero Alto	4,5936321014
4 personas	4	22011	Albero Alto	5,4489526763
5 personas	5	22011	Albero Alto	3,4466447171
6 personas	6	22011	Albero Alto	0,8966113446
7 o más personas	7	22011	Albero Alto	1,0069943318
1 persona	1	22012	Albero Bajo	9,4729659225
2 personas	2	22012	Albero Bajo	18,9214876518
3 personas	3	22012	Albero Bajo	8,8913438935
4 personas	4	22012	Albero Bajo	5,7541348532
5 personas	5	22012	Albero Bajo	3,1314101171
7 o más personas		22012	Albero Bajo	
1 persona	1	22013	Alberuela de Tubo	29,347105908
2 personas	2	22013	Alberuela de Tubo	31,9575796062
3 personas	3	22013	Alberuela de Tubo	16,7525656109
