Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
50212	Pleitas	8	57,02	56,64	56,57
50213	Plenas	36	2613,59	2481,24	2283,08
50214	Pomer	3	1146,98	962,3	328,78
50215	Pozuel de Ariza	8	897,01	845,37	454,09
50216	Pozuelo de Aragón	57	3170,28	3145,57	3102,51
50217	Pradilla de Ebro	77	1556,59	1471,67	1387,69
50218	Puebla de Albortón	64	4840,73	4815,31	3552,25
50219	Puebla de Alfindén (La)	40	1437,61	1419,94	1228,58
50220	Puendeluna	9	196,14	192,26	180,61
50221	Purujosa	4	1716,7	616,5	68,5
50222	Quinto	236	10284,87	9755,62	7628,24
50223	Remolinos	67	1901,1	1467,8	724,8
50224	Retascón	40	1971,6	1938,39	1923,58
50225	Ricla	339	7808,64	5681,8	5059,36
50227	Romanos	35	1902,55	1629,84	1498,41
50228	Rueda de Jalón	111	8994,09	8528,68	7279,04
50229	Ruesca	22	638,99	622,85	350,37
50230	Sádaba	236	10525,59	10161,78	9678,95
50231	Salillas de Jalón	11	79,88	79,88	73,18
50232	Salvatierra de Esca	19	3263,77	1820,86	623,07
50233	Samper del Salz	6	736,98	736,55	610,55
50234	San Martín de la Virgen de Moncayo	15	386,03	376	258,57
50235	San Mateo de Gállego	101	5245,76	5222,84	4926,67
50236	Santa Cruz de Grío	60	1378,28	1149,34	239,72
50237	Santa Cruz de Moncayo	19	141,54	88,93	68,7
50238	Santa Eulalia de Gállego	17	433,52	218,17	194,39
50239	Santed	19	1751,72	1331,63	1331,13
50240	Sástago	168	15963,09	15365,13	14155,18
50241	Saviñán	82	664,58	588,03	452,83
50242	Sediles	27	744,79	727,09	268,95
50243	Sestrica	124	2476,66	2205,42	672,98
50244	Sierra de Luna	56	3843,41	3775,25	3653,9
50245	Sigüés	20	4198,87	1821,08	1417,5
50246	Sisamón	11	1950,8	1947,51	1866,76
50247	Sobradiel	26	784,5	784,5	768,5
50248	Sos del Rey Católico	175	12747,81	10821,51	9002,77
50249	Tabuenca	154	2134,23	1983,13	1849,14
50250	Talamantes	11	1506,99	985,49	264,99
