Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
44092	Cuervo (El)	11	73,39	57,21	46,48
44093	Cuevas de Almudén	28	2047,34	1765,74	1285,54
44094	Cuevas Labradas	21	2249,99	1960,01	1291,54
44096	Ejulve	27	3869,82	1891,97	922,34
44097	Escorihuela	55	3753,8	3682,46	2201,98
44099	Escucha	22	636,09	632,28	512,23
44100	Estercuel	17	432,95	396,9	218,75
44101	Ferreruela de Huerva	19	2013,64	2003,58	1794,3
44102	Fonfría	6	1601,16	1119,44	689,04
44103	Formiche Alto	35	6860,04	3298,09	1240,47
44105	Fórnoles	35	556,11	341,73	269,64
44106	Fortanete	44	6629,35	4216,75	755,39
44107	Foz-Calanda	59	2837,84	1611,52	616,92
44108	Fresneda (La)	93	1372,42	1130,08	1023,32
44109	Frías de Albarracín	15	4835,23	3132,3	841,58
44110	Fuenferrada	17	2011,86	1470,75	893,67
44111	Fuentes Calientes	34	2043,86	2040,31	1759,33
44112	Fuentes Claras	80	2603,22	2579,67	2369,8
44113	Fuentes de Rubielos	6	1392,55	265,36	31,19
44114	Fuentespalda	73	2167,27	785,48	752,76
44115	Galve	35	5006,17	3041,06	1607,15
44116	Gargallo	13	1734,02	501,28	126,42
44117	Gea de Albarracín	22	3004,68	2085,85	1065
44118	Ginebrosa (La)	68	6072,99	3120,65	1511,73
44119	Griegos	14	2757,6	1476,5	326,54
44120	Guadalaviar	31	2687,58	1680,19	207,16
44121	Gúdar	20	5756,82	3039,2	281,17
44122	Híjar	130	15613,82	13746,31	12746,69
44123	Hinojosa de Jarque	42	3373,19	3314,05	1144,72
44124	Hoz de la Vieja (La)	20	3914,46	2295,96	1213,85
44125	Huesa del Común	22	4341,47	3824,56	2952,07
44126	Iglesuela del Cid (La)	18	1946,52	1659,97	384,32
44127	Jabaloyas	8	4517,47	1370,19	156,38
44128	Jarque de la Val	23	2385,48	2011,32	1051,03
44129	Jatiel	11	697,02	682,57	317,35
44130	Jorcas	8	787,68	787,68	764,01
44131	Josa	6	1478,31	1459,19	292,64
44132	Lagueruela	17	2421,46	2408,72	2061,03
44133	Lanzuela	11	750,67	712,81	447,14
44135	Libros	46	1115,75	870,69	221,45
44136	Lidón	24	3947,55	1849,82	1433,97
44137	Linares de Mora	33	9185,57	4486,29	322,77
44138	Loscos	42	3755,35	3179,63	2443,5
44141	Lledó	39	764,94	537,75	485,46
44142	Maicas	13	627,1	627,1	157,1
44143	Manzanera	45	12175,49	2868,2	854,41
44144	Martín del Río	28	661,44	645,11	292,49
44145	Mas de las Matas	83	1689,7	1645,71	1290,41
44146	Mata de los Olmos (La)	32	1218,02	1205,31	1024,92
44147	Mazaleón	156	3567,88	3096,57	2952,35
44148	Mezquita de Jarque	20	2661,45	1798,35	1353,07
44149	Mirambel	27	3157,48	2767,2	298,83
44150	Miravete de la Sierra	14	2369,96	1892,13	140,41
44151	Molinos	66	6776,68	5262,93	1312,69
44152	Monforte de Moyuela	23	2178,87	2161,69	1936,06
44153	Monreal del Campo	146	7549,85	7487,58	5544,41
44154	Monroyo	72	3184,47	1718,88	1091,47
44155	Montalbán	15	5663,56	1634,19	275,43
44156	Monteagudo del Castillo	18	1665,08	1577,85	836,52
44157	Monterde de Albarracín	9	4756,24	843,22	267,93
44158	Mora de Rubielos	76	8657,03	5608,48	1690,95
44159	Moscardón	8	348,73	247,53	147,53
44160	Mosqueruela	77	13862	6877,29	887,2
44161	Muniesa	132	8364,04	6899,13	5563,89
44163	Noguera de Albarracín	4	3771,74	1273,12	18,83
44164	Nogueras	15	1406,02	1039	990,15
44165	Nogueruelas	14	3617,03	578,57	90,34
44167	Obón	14	5930,6	4898,6	223,6
44168	Odón	70	6079,09	5932,77	4279,41
44169	Ojos Negros	63	6649,93	6245,65	3953,51
44171	Olba	8	940,47	113,14	7,08
44172	Oliete	93	3080,09	3048,53	2275,5
44173	Olmos (Los)	48	1476,81	1456,69	1042,75
44174	Orihuela del Tremedal	21	4376,1	3049,78	1151,43
44175	Orrios	48	4267,33	4196,69	2015,9
44176	Palomar de Arroyos	17	847,21	709,21	257,16
44177	Pancrudo	48	8425,67	8005,1	3301,67
44178	Parras de Castellote (Las)	21	2498,89	1839,43	604,52
44179	Peñarroya de Tastavins	84	3684,23	1944,93	941,19
44180	Peracense	15	2029,26	469,3	389,21
44181	Peralejos	16	1506,16	1502,38	1147,27
44182	Perales del Alfambra	58	7039,33	6557,1	5286,68
44183	Pitarque	13	2048,18	1300,85	60,3
44184	Plou	9	668,75	621,39	459,61
44185	Pobo (El)	34	5364,92	4612,37	2403,35
44187	Portellada (La)	61	1090,89	690,56	682,37
44189	Pozondón	18	5845,47	1344,37	731,34
44190	Pozuel del Campo	17	1949,44	1539,92	1367,92
44191	Puebla de Híjar (La)	86	4414,36	4108,5	2859,7
44192	Puebla de Valverde (La)	70	19089,25	15268,84	3761,92
44193	Puertomingalvo	29	3384,61	2299,72	458,13
44194	Ráfales	54	1353,14	664,7	529,55
44195	Rillo	18	3710,94	3560,85	1285,97
44196	Riodeva	26	1942,27	795,16	187,47
44197	Ródenas	13	4096,6	3311,78	1697,48
44198	Royuela	17	972,22	674,36	545,36
44199	Rubiales	4	1126,67	1019,05	247,19
44200	Rubielos de la Cérida	24	1113,94	1015,36	944,38
44201	Rubielos de Mora	27	4601,14	1462,21	356,75
44203	Salcedillo	3	1615,05	535,4	302,9
44204	Saldón	6	2149,25	1699,24	349,24
44205	Samper de Calanda	102	9147,07	8667,12	7529,62
44206	San Agustín	38	2296,54	2118,54	576,37
44207	San Martín del Río	80	554,93	435,67	317,56
44208	Santa Cruz de Nogueras	3	234,52	234,52	234,52
44209	Santa Eulalia	104	7299,42	5021,04	3856,84
44210	Sarrión	131	11837,54	8987,4	2838,6
44211	Segura de los Baños	15	5254,58	1396,21	677,25
44212	Seno	19	1668,43	767,28	142,78
44213	Singra	21	2550,24	2512,1	2100,37
44215	Terriente	30	4548,96	3193,97	938,13
44216	Teruel	273	25288,09	22847,91	14934,42
44217	Toril y Masegoso	8	242,98	235,29	235,29
44219	Tornos	68	4208,29	2818,76	2530,76
44220	Torralba de los Sisones	42	4136,02	3024,68	1856,42
44221	Torrecilla de Alcañiz	62	1743,1	1676,4	1204,76
44222	Torrecilla del Rebollar	31	5074,28	3706,82	2254,09
44223	Torre de Arcas	19	1418,46	439,4	349,47
44224	Torre de las Arcas	12	2626,11	2582,03	347,22
44225	Torre del Compte	36	1171,76	925,18	881,13
44226	Torrelacárcel	57	2600,25	2567,07	2157,42
44227	Torre los Negros	14	2500,97	2126,72	1170,18
44228	Torremocha de Jiloca	27	2806,68	1458,95	1370,38
44229	Torres de Albarracín	9	319,22	253,52	226,79
44230	Torrevelilla	45	1379,29	1100,97	740,05
44231	Torrijas	5	5123,71	2130,11	287,5
44232	Torrijo del Campo	79	4044,68	3779,27	2661,24
44234	Tramacastiel	20	1280,13	454,52	96,8
44235	Tramacastilla	7	248,55	237,05	208,55
44236	Tronchón	22	3502,63	2994,94	220,2
44237	Urrea de Gaén	81	3961,23	2718,4	2086,91
44238	Utrillas	13	1235,86	1212,04	660,87
44239	Valacloche	9	1435,34	605,27	342,45
44240	Valbona	20	2026,66	1043,19	127,29
44241	Valdealgorfa	131	4114,73	3182,58	2167,85
44243	Valdecuenca	4	427,95	409,67	392,17
44244	Valdelinares	11	546,43	546,43	43,17
44245	Valdeltormo	35	1095,04	866,18	675,42
44246	Valderrobres	244	5734,79	3988,9	2763,3
44247	Valjunquera	100	1853,59	1794,31	1709,43
44249	Vallecillo (El)	2	1872,28	564,44	
44250	Veguillas de la Sierra	5	332,29	332,27	332,27
44251	Villafranca del Campo	62	6229,88	5472,16	3553,07
44252	Villahermosa del Campo	18	1671,02	1619,3	1460,81
44256	Villanueva del Rebollar de la Sierra	10	1047,89	996,04	893,54
44257	Villar del Cobo	32	4047,43	2128,66	251,21
44258	Villar del Salz	14	1047,78	1039,57	939,37
44260	Villarluengo	31	9292,07	6108,93	452,83
44261	Villarquemado	129	4446,37	4314,03	3406,35
44262	Villarroya de los Pinares	31	5127,74	3518,18	787,18
44263	Villastar	30	1292,72	1090,48	977,39
44264	Villel	33	6553,51	5209,5	375,31
44265	Vinaceite	50	4954,23	4952,92	4522,18
44266	Visiedo	50	5425,16	4613,96	3681,98
44267	Vivel del Río Martín	17	3944,2	1811,39	1181,13
44268	Zoma (La)	5	1376,75	411,74	48,74
50001	Abanto	18	1338,61	1338,61	888,11
50002	Acered	75	1184,62	1136,61	951,54
50003	Agón	37	1003,18	984,75	984,75
50004	Aguarón	218	2391,76	2277,44	2240,29
50005	Aguilón	63	3465,04	3288,85	3157,73
50006	Ainzón	155	2194,55	1894,78	1888,76
50007	Aladrén	31	528,84	511,24	238,24
50008	Alagón	162	1936,37	1782,23	1612,18
50009	Alarba	40	910,04	872,47	864,86
50010	Alberite de San Juan	23	779,44	511,69	405,99
50011	Albeta	12	186,55	186,55	181,55
50012	Alborge	6	302,18	302,18	170,84
50013	Alcalá de Ebro	41	881,59	600,27	399,16
50014	Alcalá de Moncayo	41	493,64	467,54	418,44
50015	Alconchel de Ariza	27	3389,57	3383,51	3028,31
50016	Aldehuela de Liestos	18	1070,06	795,8	747,18
50017	Alfajarín	113	10291,06	8129,58	5992,58
50018	Alfamén	297	7840,64	7704,75	7441,23
50019	Alforque	7	552,7	552,7	552,7
50020	Alhama de Aragón	29	774,07	731,59	618,93
50021	Almochuel	10	1615,76	1593,35	1593,35
50022	Almolda (La)	145	9772,54	9469,28	9148,76
50023	Almonacid de la Cuba	79	4385,61	4375,29	3226,9
50024	Almonacid de la Sierra	214	3489,93	3391,77	3291,44
50025	Almunia de Doña Godina (La)	378	3785,55	3648,21	3360,58
50026	Alpartir	164	2036,44	1295,53	800,05
50027	Ambel	117	4073,71	3390,43	2364,47
50028	Anento	22	1016,79	873,17	836,63
50029	Aniñón	185	4332,04	2533,76	1873,33
50030	Añón de Moncayo	28	417,45	404,34	259,11
50031	Aranda de Moncayo	47	2212,77	1353,91	950,21
50032	Arándiga	89	1676,74	1507,33	605,68
50033	Ardisa	16	796,17	696,95	605,7
50034	Ariza	64	4789,44	4468,99	3853,97
50035	Artieda	10	1307,43	634,45	564,42
50036	Asín	10	1185,66	520,6	494,24
50037	Atea	75	1426,1	1270,19	1138,56
50038	Ateca	113	4950,97	4220,27	1729,25
50039	Azuara	128	11525,23	11060,29	9582,13
50040	Badules	26	1053,78	1016,9	1016,7
50041	Bagüés	10	2818,92	1328,85	327,03
50042	Balconchán	15	1350,48	1023,38	1021,38
50043	Bárboles	45	1255,43	1225,94	1142,53
50044	Bardallur	61	1551,57	1513,32	1230,04
50045	Belchite	364	25833,06	22821,88	17745,06
50046	Belmonte de Gracián	54	1655,85	1580,82	609,38
50047	Berdejo	3	292,61	292,61	192,61
50048	Berrueco	16	512,54	507,84	485,2
50050	Bijuesca	18	1903,22	1696,91	914,93
50051	Biota	198	8309,01	7259,78	7003,75
50052	Bisimbre	21	863,04	860,34	856,44
50053	Boquiñeni	81	981,56	911,84	910,64
50054	Bordalba	18	2262,35	2224,35	2093,66
50055	Borja	316	8498,56	8222,8	4528,41
50056	Botorrita	23	1332,9	1110,13	1071,12
50057	Brea de Aragón	40	1186,28	1165,35	159,47
50058	Bubierca	12	678,62	673,22	71,73
50059	Bujaraloz	166	10757,98	10479,87	10356,45
50060	Bulbuente	76	2086,65	1996,87	1602,02
50061	Bureta	51	997,3	983,37	931,51
50062	Burgo de Ebro (El)	55	2185,42	2166,2	1543,1
50063	Buste (El)	25	619,65	619,4	618,83
50064	Cabañas de Ebro	40	820,66	741,58	535,88
50065	Cabolafuente	11	2167,03	2109,13	1759,13
50066	Cadrete	20	775,07	727,37	727,37
50067	Calatayud	204	11996,41	7042,33	3145,65
50068	Calatorao	218	3085,91	3003,11	2731,86
50069	Calcena	3	2381,14	302,14	1,74
50070	Calmarza	16	863,63	861,51	738,44
50071	Campillo de Aragón	47	3583,42	3456,65	3456,65
50072	Carenas	19	531,4	113,15	101,28
50073	Cariñena	433	6779,77	6559,87	6513,53
50074	Caspe	640	27658,97	26284,93	19874,73
50075	Castejón de Alarba	41	637,42	591,47	558,95
50076	Castejón de las Armas	18	132,09	119,3	106,33
50077	Castejón de Valdejasa	75	5886,9	3345	2597,5
50078	Castiliscar	80	3011,46	2882,95	2514,9
50079	Cervera de la Cañada	91	1876,22	1855,91	1727,62
50080	Cerveruela	3	2233,64	920,41	3,25
50081	Cetina	58	5825,19	5663,58	4093,97
