Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	Provincia código	Provincia nombre	Grandes grupos CNO	Ocupación (1 dígito) descripción	Sexo	Número de contratos
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Hombres	5
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Mujeres	9
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	312
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	141
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Hombres	484
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Mujeres	337
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	166
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	368
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	1465
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1795
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	107
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	10
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	504
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	36
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	554
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	59
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Hombres	3359
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Mujeres	2057
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	99	Ocupaciones militares	Hombres	1
Julio 2017	201707	Julio	2017	CNO - 2011	22	Huesca	99	Ocupaciones militares	Mujeres	1
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Hombres	2
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Mujeres	4
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Hombres	43
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Mujeres	98
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Hombres	102
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Mujeres	117
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	69
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	212
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	613
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1005
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	52
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	2
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	378
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	83
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	329
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	36
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Hombres	1305
Julio 2017	201707	Julio	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Mujeres	680
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Hombres	60
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Mujeres	16
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Hombres	1276
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1056
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Hombres	1712
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Mujeres	1404
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	675
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1295
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	3678
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	5503
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	340
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	189
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2198
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	310
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2278
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	748
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Hombres	11496
Julio 2017	201707	Julio	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Mujeres	7437
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Hombres	13
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Mujeres	7
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	186
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	173
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Hombres	380
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Mujeres	265
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	168
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	395
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	1458
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1803
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	211
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	38
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	610
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	96
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	603
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	99
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Hombres	3732
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Mujeres	2180
Junio 2017	201706	Junio	2017	CNO - 2011	22	Huesca	99	Ocupaciones militares	Mujeres	1
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Hombres	3
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Mujeres	3
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Hombres	33
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Mujeres	80
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Hombres	70
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Mujeres	96
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	60
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	153
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	489
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	816
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	25
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	3
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	459
