Provincia codigo	Provincia nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
22	Huesca	01	a) Sin SAU	511
22	Huesca	02	b) <2 Ha de SAU	86
22	Huesca	03	b) <2 Ha de SAU	136
22	Huesca	04	b) <2 Ha de SAU	156
22	Huesca	05	b) <2 Ha de SAU	1264
22	Huesca	06	c) >=2 a <5 Ha de SAU	837
22	Huesca	07	c) >=2 a <5 Ha de SAU	710
22	Huesca	08	c) >=2 a <5 Ha de SAU	539
22	Huesca	09	d) >=5 a < 10 Ha de SAU	2145
22	Huesca	10	e) >=10 a <20 Ha de SAU	2473
22	Huesca	11	f) >=20 a < 30 Ha de SAU	1597
22	Huesca	12	g) >=30 a < 50 Ha de SAU	2124
22	Huesca	13	h) >=50 a < 100 Ha de SAU	1062
22	Huesca	14	h) >=50 a < 100 Ha de SAU	939
22	Huesca	15	i) >=100 Ha de SAU	784
22	Huesca	16	i) >=100 Ha de SAU	358
22	Huesca	17	i) >=100 Ha de SAU	271
22	Huesca	18	i) >=100 Ha de SAU	163
22	Huesca	19	i) >=100 Ha de SAU	84
22	Huesca	20	i) >=100 Ha de SAU	28
22	Huesca	21	i) >=100 Ha de SAU	13
44	Teruel	01	a) Sin SAU	406
44	Teruel	02	b) <2 Ha de SAU	49
44	Teruel	03	b) <2 Ha de SAU	120
44	Teruel	04	b) <2 Ha de SAU	78
44	Teruel	05	b) <2 Ha de SAU	1367
44	Teruel	06	c) >=2 a <5 Ha de SAU	773
44	Teruel	07	c) >=2 a <5 Ha de SAU	556
44	Teruel	08	c) >=2 a <5 Ha de SAU	428
44	Teruel	09	d) >=5 a < 10 Ha de SAU	1452
44	Teruel	10	e) >=10 a <20 Ha de SAU	1548
44	Teruel	11	f) >=20 a < 30 Ha de SAU	923
44	Teruel	12	g) >=30 a < 50 Ha de SAU	1189
44	Teruel	13	h) >=50 a < 100 Ha de SAU	628
44	Teruel	14	h) >=50 a < 100 Ha de SAU	676
44	Teruel	15	i) >=100 Ha de SAU	618
44	Teruel	16	i) >=100 Ha de SAU	313
44	Teruel	17	i) >=100 Ha de SAU	335
44	Teruel	18	i) >=100 Ha de SAU	205
44	Teruel	19	i) >=100 Ha de SAU	103
44	Teruel	20	i) >=100 Ha de SAU	42
44	Teruel	21	i) >=100 Ha de SAU	12
50	Zaragoza	01	a) Sin SAU	560
50	Zaragoza	02	b) <2 Ha de SAU	40
50	Zaragoza	03	b) <2 Ha de SAU	236
50	Zaragoza	04	b) <2 Ha de SAU	325
50	Zaragoza	05	b) <2 Ha de SAU	2924
50	Zaragoza	06	c) >=2 a <5 Ha de SAU	2007
50	Zaragoza	07	c) >=2 a <5 Ha de SAU	1524
50	Zaragoza	08	c) >=2 a <5 Ha de SAU	1204
50	Zaragoza	09	d) >=5 a < 10 Ha de SAU	3508
50	Zaragoza	10	e) >=10 a <20 Ha de SAU	3543
50	Zaragoza	11	f) >=20 a < 30 Ha de SAU	1934
50	Zaragoza	12	g) >=30 a < 50 Ha de SAU	2194
50	Zaragoza	13	h) >=50 a < 100 Ha de SAU	1296
50	Zaragoza	14	h) >=50 a < 100 Ha de SAU	1100
50	Zaragoza	15	i) >=100 Ha de SAU	1030
50	Zaragoza	16	i) >=100 Ha de SAU	486
50	Zaragoza	17	i) >=100 Ha de SAU	407
50	Zaragoza	18	i) >=100 Ha de SAU	225
50	Zaragoza	19	i) >=100 Ha de SAU	103
50	Zaragoza	20	i) >=100 Ha de SAU	22
50	Zaragoza	21	i) >=100 Ha de SAU	5
