Año	Comarca código	Comarca nombre	Número de actividades	Sector código	Sector	Rama código	Rama de actividad
2009	04	La Ribagorza	324	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	04	La Ribagorza	8	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	04	La Ribagorza	47	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	04	La Ribagorza	5	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	04	La Ribagorza	21	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	04	La Ribagorza	13	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	04	La Ribagorza	25	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	04	La Ribagorza	3	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	04	La Ribagorza	1	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	04	La Ribagorza	10	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	04	La Ribagorza	45	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	04	La Ribagorza	8	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	04	La Ribagorza	637	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	04	La Ribagorza	554	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	04	La Ribagorza	103	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	04	La Ribagorza	478	4	Servicios	17	Hostelería (cnae 55, 56)
2009	04	La Ribagorza	20	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	04	La Ribagorza	55	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	04	La Ribagorza	165	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	04	La Ribagorza	101	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	04	La Ribagorza	107	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	04	La Ribagorza	73	4	Servicios	23	Educación (cnae 85)
2009	04	La Ribagorza	20	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	04	La Ribagorza	44	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	04	La Ribagorza	77	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	05	Cinco Villas	607	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	05	Cinco Villas	10	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	05	Cinco Villas	75	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	05	Cinco Villas	9	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	05	Cinco Villas	29	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	05	Cinco Villas	7	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	05	Cinco Villas	31	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	05	Cinco Villas	95	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	05	Cinco Villas	55	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	05	Cinco Villas	11	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	05	Cinco Villas	30	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	05	Cinco Villas	218	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	05	Cinco Villas	23	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	05	Cinco Villas	837	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	05	Cinco Villas	892	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	05	Cinco Villas	197	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	05	Cinco Villas	400	4	Servicios	17	Hostelería (cnae 55, 56)
2009	05	Cinco Villas	16	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	05	Cinco Villas	106	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	05	Cinco Villas	290	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	05	Cinco Villas	207	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	05	Cinco Villas	138	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	05	Cinco Villas	54	4	Servicios	23	Educación (cnae 85)
2009	05	Cinco Villas	51	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	05	Cinco Villas	56	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	05	Cinco Villas	146	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	06	Hoya de Huesca / Plana de Uesca	487	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	06	Hoya de Huesca / Plana de Uesca	12	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	06	Hoya de Huesca / Plana de Uesca	73	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	06	Hoya de Huesca / Plana de Uesca	28	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	06	Hoya de Huesca / Plana de Uesca	73	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	06	Hoya de Huesca / Plana de Uesca	11	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	06	Hoya de Huesca / Plana de Uesca	36	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	06	Hoya de Huesca / Plana de Uesca	131	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	06	Hoya de Huesca / Plana de Uesca	38	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	06	Hoya de Huesca / Plana de Uesca	18	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	06	Hoya de Huesca / Plana de Uesca	85	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	06	Hoya de Huesca / Plana de Uesca	66	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	06	Hoya de Huesca / Plana de Uesca	28	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	06	Hoya de Huesca / Plana de Uesca	1531	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	06	Hoya de Huesca / Plana de Uesca	2186	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	06	Hoya de Huesca / Plana de Uesca	435	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	06	Hoya de Huesca / Plana de Uesca	704	4	Servicios	17	Hostelería (cnae 55, 56)
2009	06	Hoya de Huesca / Plana de Uesca	145	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	06	Hoya de Huesca / Plana de Uesca	253	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	06	Hoya de Huesca / Plana de Uesca	739	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	06	Hoya de Huesca / Plana de Uesca	959	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	06	Hoya de Huesca / Plana de Uesca	413	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	06	Hoya de Huesca / Plana de Uesca	343	4	Servicios	23	Educación (cnae 85)
2009	06	Hoya de Huesca / Plana de Uesca	266	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	06	Hoya de Huesca / Plana de Uesca	219	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	06	Hoya de Huesca / Plana de Uesca	376	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	07	Somontano de Barbastro	320	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	07	Somontano de Barbastro	8	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	07	Somontano de Barbastro	88	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	07	Somontano de Barbastro	15	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	07	Somontano de Barbastro	38	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	07	Somontano de Barbastro	16	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	07	Somontano de Barbastro	26	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	07	Somontano de Barbastro	65	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	07	Somontano de Barbastro	21	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	07	Somontano de Barbastro	4	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	07	Somontano de Barbastro	24	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	07	Somontano de Barbastro	41	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	07	Somontano de Barbastro	9	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	07	Somontano de Barbastro	535	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	07	Somontano de Barbastro	838	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	07	Somontano de Barbastro	139	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	07	Somontano de Barbastro	382	4	Servicios	17	Hostelería (cnae 55, 56)
2009	07	Somontano de Barbastro	50	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	07	Somontano de Barbastro	64	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	07	Somontano de Barbastro	272	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	07	Somontano de Barbastro	230	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	07	Somontano de Barbastro	119	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	07	Somontano de Barbastro	97	4	Servicios	23	Educación (cnae 85)
2009	07	Somontano de Barbastro	68	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	07	Somontano de Barbastro	72	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	07	Somontano de Barbastro	140	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	08	Cinca Medio	414	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	08	Cinca Medio	10	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	08	Cinca Medio	46	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	08	Cinca Medio	20	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	08	Cinca Medio	29	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	08	Cinca Medio	17	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	08	Cinca Medio	25	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	08	Cinca Medio	71	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	08	Cinca Medio	29	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	08	Cinca Medio	5	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	08	Cinca Medio	36	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	08	Cinca Medio	21	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	08	Cinca Medio	6	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	08	Cinca Medio	509	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	08	Cinca Medio	765	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	08	Cinca Medio	163	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	08	Cinca Medio	217	4	Servicios	17	Hostelería (cnae 55, 56)
2009	08	Cinca Medio	31	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	08	Cinca Medio	113	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	08	Cinca Medio	235	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	08	Cinca Medio	213	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	08	Cinca Medio	122	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	08	Cinca Medio	53	4	Servicios	23	Educación (cnae 85)
2009	08	Cinca Medio	48	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	08	Cinca Medio	65	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	08	Cinca Medio	131	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	09	La Litera / La Llitera	860	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	09	La Litera / La Llitera	5	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	09	La Litera / La Llitera	55	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	09	La Litera / La Llitera	20	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	09	La Litera / La Llitera	28	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	09	La Litera / La Llitera	5	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	09	La Litera / La Llitera	16	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	09	La Litera / La Llitera	67	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	09	La Litera / La Llitera	19	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	09	La Litera / La Llitera	12	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2009	09	La Litera / La Llitera	30	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	09	La Litera / La Llitera	15	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	09	La Litera / La Llitera	5	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	09	La Litera / La Llitera	574	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	09	La Litera / La Llitera	800	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	09	La Litera / La Llitera	139	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	09	La Litera / La Llitera	173	4	Servicios	17	Hostelería (cnae 55, 56)
2009	09	La Litera / La Llitera	16	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	09	La Litera / La Llitera	78	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	09	La Litera / La Llitera	241	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	09	La Litera / La Llitera	161	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	09	La Litera / La Llitera	104	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	09	La Litera / La Llitera	46	4	Servicios	23	Educación (cnae 85)
2009	09	La Litera / La Llitera	34	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	09	La Litera / La Llitera	43	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	09	La Litera / La Llitera	103	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	10	Los Monegros	641	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
