Provincia codigo	Provincia nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
22	Huesca	16280	1058808,22	763502,52	486589,89
44	Teruel	11821	935826,02	681634,92	383930,37
50	Zaragoza	24673	1050072,6	900558,25	740868,84
