Número de miembros	Nº medio de miembros	CCAA nombre	Nº hogares
1 persona	1	Aragón	136519,749655023
2 personas	2	Aragón	168054,210122845
3 personas	3	Aragón	114830,683633541
4 personas	4	Aragón	92536,3952689878
5 personas	5	Aragón	20107,4044063076
6 personas	6	Aragón	5294,6493291716
7 o más personas	7,60670420661859	Aragón	1527,3663422554
