Mes y año	Año	Mes (código)	Mes nombre	Sexo	Temporalidad	Días duración contrato	Duración contrato * 1.00 / Número de contratos	Número de contratos	Duración contrato	CCAA nombre
Marzo 2021	2021	202103	Marzo	Hombres	Temporal	0	0	5975	0	Aragón
Marzo 2021	2021	202103	Marzo	Hombres	Temporal	1	50,1439097037153	12758	639736	Aragón
Marzo 2021	2021	202103	Marzo	Mujeres	Temporal	0	0	4418	0	Aragón
Marzo 2021	2021	202103	Marzo	Mujeres	Temporal	1	48,7411371894334	10183	496331	Aragón
Febrero 2021	2021	202102	Febrero	Hombres	Temporal	0	0	6270	0	Aragón
Febrero 2021	2021	202102	Febrero	Hombres	Temporal	1	53,3140427105482	10817	576698	Aragón
Febrero 2021	2021	202102	Febrero	Mujeres	Temporal	0	0	4192	0	Aragón
Febrero 2021	2021	202102	Febrero	Mujeres	Temporal	1	48,0653818004391	8198	394040	Aragón
Enero 2021	2021	202101	Enero	Hombres	Temporal	0	0	5337	0	Aragón
Enero 2021	2021	202101	Enero	Hombres	Temporal	1	50,9604991323031	12101	616673	Aragón
Enero 2021	2021	202101	Enero	Mujeres	Temporal	0	0	4233	0	Aragón
Enero 2021	2021	202101	Enero	Mujeres	Temporal	1	48,5458154151505	9069	440262	Aragón
Diciembre 2020	2020	202012	Diciembre	Hombres	Temporal	0	0	4429	0	Aragón
Diciembre 2020	2020	202012	Diciembre	Hombres	Temporal	1	38,8937127043155	11563	449728	Aragón
Diciembre 2020	2020	202012	Diciembre	Mujeres	Temporal	0	0	3595	0	Aragón
Diciembre 2020	2020	202012	Diciembre	Mujeres	Temporal	1	36,5460128979425	9769	357018	Aragón
Noviembre 2020	2020	202011	Noviembre	Hombres	Temporal	0	0	6643	0	Aragón
Noviembre 2020	2020	202011	Noviembre	Hombres	Temporal	1	50,5272848454553	12003	606479	Aragón
Noviembre 2020	2020	202011	Noviembre	Mujeres	Temporal	0	0	5164	0	Aragón
Noviembre 2020	2020	202011	Noviembre	Mujeres	Temporal	1	47,7867739745952	10313	492825	Aragón
Octubre 2020	2020	202010	Octubre	Hombres	Temporal	0	0	7066	0	Aragón
Octubre 2020	2020	202010	Octubre	Hombres	Temporal	1	50,2287362872204	14038	705111	Aragón
Octubre 2020	2020	202010	Octubre	Mujeres	Temporal	0	0	6009	0	Aragón
Octubre 2020	2020	202010	Octubre	Mujeres	Temporal	1	45,1452298804461	12463	562645	Aragón
Septiembre 2020	2020	202009	Septiembre	Hombres	Temporal	0	0	9005	0	Aragón
Septiembre 2020	2020	202009	Septiembre	Hombres	Temporal	1	50,9293422228332	14549	740971	Aragón
Septiembre 2020	2020	202009	Septiembre	Mujeres	Temporal	0	0	7151	0	Aragón
Septiembre 2020	2020	202009	Septiembre	Mujeres	Temporal	1	49,4753486863445	12332	610130	Aragón
Agosto 2020	2020	202008	Agosto	Hombres	Temporal	0	0	7791	0	Aragón
