Municipio código	Municipio nombre	Clase vivienda (agregado)	Clase vivienda (detalle)	Total viviendas
22001	Abiego	Familiar	Familiar no principal	90
22001	Abiego	Familiar	Familiar principal	104
22002	Abizanda	Familiar	Familiar no principal	51
22002	Abizanda	Familiar	Familiar principal	46
22003	Adahuesca	Familiar	Familiar no principal	59
22003	Adahuesca	Familiar	Familiar principal	67
22004	Agüero	Colectiva	Colectiva	2
22004	Agüero	Familiar	Familiar no principal	144
22004	Agüero	Familiar	Familiar principal	72
22006	Aísa	Colectiva	Colectiva	1
22006	Aísa	Familiar	Familiar no principal	1201
22006	Aísa	Familiar	Familiar principal	149
22007	Albalate de Cinca	Familiar	Familiar no principal	98
22007	Albalate de Cinca	Familiar	Familiar principal	398
22008	Albalatillo	Familiar	Familiar no principal	36
22008	Albalatillo	Familiar	Familiar principal	101
22009	Albelda	Colectiva	Colectiva	1
22009	Albelda	Familiar	Familiar no principal	162
22009	Albelda	Familiar	Familiar principal	327
22011	Albero Alto	Familiar	Familiar no principal	15
22011	Albero Alto	Familiar	Familiar principal	37
22012	Albero Bajo	Familiar	Familiar no principal	4
22012	Albero Bajo	Familiar	Familiar principal	40
22013	Alberuela de Tubo	Familiar	Familiar no principal	24
22013	Alberuela de Tubo	Familiar	Familiar principal	113
22014	Alcalá de Gurrea	Familiar	Familiar no principal	106
22014	Alcalá de Gurrea	Familiar	Familiar principal	132
22015	Alcalá del Obispo	Familiar	Familiar no principal	130
22015	Alcalá del Obispo	Familiar	Familiar principal	145
22016	Alcampell	Familiar	Familiar no principal	202
22016	Alcampell	Familiar	Familiar principal	330
22017	Alcolea de Cinca	Familiar	Familiar no principal	200
22017	Alcolea de Cinca	Familiar	Familiar principal	413
22018	Alcubierre	Familiar	Familiar no principal	113
22018	Alcubierre	Familiar	Familiar principal	174
22019	Alerre	Familiar	Familiar no principal	2
22019	Alerre	Familiar	Familiar principal	66
22020	Alfántega	Familiar	Familiar no principal	34
22020	Alfántega	Familiar	Familiar principal	41
22021	Almudévar	Colectiva	Colectiva	1
22021	Almudévar	Familiar	Familiar no principal	336
22021	Almudévar	Familiar	Familiar principal	820
22022	Almunia de San Juan	Familiar	Familiar no principal	132
22022	Almunia de San Juan	Familiar	Familiar principal	237
22023	Almuniente	Familiar	Familiar no principal	58
22023	Almuniente	Familiar	Familiar principal	204
22024	Alquézar	Familiar	Familiar no principal	104
22024	Alquézar	Familiar	Familiar principal	118
22025	Altorricón	Colectiva	Colectiva	1
22025	Altorricón	Familiar	Familiar no principal	187
22025	Altorricón	Familiar	Familiar principal	498
22027	Angüés	Colectiva	Colectiva	1
22027	Angüés	Familiar	Familiar no principal	161
22027	Angüés	Familiar	Familiar principal	172
22028	Ansó	Colectiva	Colectiva	1
22028	Ansó	Familiar	Familiar no principal	263
22028	Ansó	Familiar	Familiar principal	204
22029	Antillón	Familiar	Familiar no principal	21
22029	Antillón	Familiar	Familiar principal	48
22032	Aragüés del Puerto	Familiar	Familiar no principal	84
22032	Aragüés del Puerto	Familiar	Familiar principal	62
22035	Arén	Familiar	Familiar no principal	148
22035	Arén	Familiar	Familiar principal	143
22036	Argavieso	Familiar	Familiar no principal	27
22036	Argavieso	Familiar	Familiar principal	40
22037	Arguis	Familiar	Familiar no principal	37
22037	Arguis	Familiar	Familiar principal	29
22039	Ayerbe	Colectiva	Colectiva	1
22039	Ayerbe	Familiar	Familiar no principal	369
22039	Ayerbe	Familiar	Familiar principal	447
22040	Azanuy-Alins	Familiar	Familiar no principal	126
22040	Azanuy-Alins	Familiar	Familiar principal	76
22041	Azara	Familiar	Familiar no principal	31
22041	Azara	Familiar	Familiar principal	71
22042	Azlor	Familiar	Familiar no principal	48
22042	Azlor	Familiar	Familiar principal	59
22043	Baells	Familiar	Familiar no principal	38
22043	Baells	Familiar	Familiar principal	61
22044	Bailo	Familiar	Familiar no principal	68
22044	Bailo	Familiar	Familiar principal	112
22045	Baldellou	Familiar	Familiar no principal	88
22045	Baldellou	Familiar	Familiar principal	55
22046	Ballobar	Familiar	Familiar no principal	185
22046	Ballobar	Familiar	Familiar principal	329
