Municipio código	Municipio nombre	Otras tierrras	Pastizales permanentes	Tierras labradas	Superficie total
22087	Castigaleu	655,52	497,18	1053,85	2206,55
22088	Castillazuelo	136,38	120,5	682,13	939,01
22089	Castillonroy	86,51	238,81	1394,72	1720,04
22090	Colungo	618,13	487,01	368,7	1473,84
22094	Chalamera	134,82	309,87	496,85	941,54
22095	Chía	179,29	1904,24	0,39	2083,92
22096	Chimillas	34,64	20,71	777,44	832,79
22099	Esplús	320,51	410,13	6663,57	7394,21
22102	Estada	641,18	227,8	289,82	1158,8
22103	Estadilla	354,59	2022,63	2005,93	4383,15
22105	Estopiñán del Castillo	942,49	1062,08	1755,17	3759,74
22106	Fago	37,82	2		39,82
22107	Fanlo	4448,1	10456,58	29,45	14934,13
22109	Fiscal	7871,02	5329,39	219,89	13420,3
22110	Fonz	388,24	1071,65	3511,52	4971,41
22111	Foradada del Toscar	2516,69	3729,39	1209,37	7455,45
22112	Fraga	14762,36	5339,35	19582,35	39684,06
22113	Fueva (La)	1787,23	2990,86	2354,55	7132,64
22114	Gistaín	5256,95	1891,59	64,21	7212,75
22115	Grado (El)	852,78	342,03	1221,45	2416,26
22116	Grañén	526,53	1277,21	8652,13	10455,87
22117	Graus	5968,98	5151,66	5264,9	16385,54
22119	Gurrea de Gállego	392,43	1275,63	12908,85	14576,91
22122	Hoz de Jaca	842,06	292,34	0,51	1134,91
22124	Huerto	327,41	253,86	5081,39	5662,66
22125	Huesca	2079,72	1922,77	11697,13	15699,62
22126	Ibieca	135,06	72,46	864,03	1071,55
22127	Igriés	181,92	177,94	1354,07	1713,93
22128	Ilche	128,01	744,91	3385,92	4258,84
22129	Isábena	1038,63	2245,46	945,3	4229,39
22130	Jaca	8362,14	5152,4	7470,17	20984,71
22131	Jasa	57,03	52,69	5,08	114,8
22133	Labuerda	107,26	218,29	144,96	470,51
22135	Laluenga	85,89	245,94	2890,56	3222,39
22136	Lalueza	235,24	929,05	7100,93	8265,22
22137	Lanaja	305,61	1786,38	10571,44	12663,43
22139	Laperdiguera	6,06	106,32	756,75	869,13
22141	Lascellas-Ponzano	211,73	116,36	1639,56	1967,65
22142	Lascuarre	362,38	227,61	771,81	1361,8
22143	Laspaúles	772,51	3239,66	164,45	4176,62
22144	Laspuña	486,75	3570,07	202,72	4259,54
22149	Loarre	2893,21	660,77	2527,82	6081,8
22150	Loporzano	5054,65	2113,74	5551,14	12719,53
22151	Loscorrales	69,04	118,54	2072,73	2260,31
22155	Monesma y Cajigar	1574,44	1895,42	1157,31	4627,17
22156	Monflorite-Lascasas	100,79	97,76	2453,91	2652,46
22157	Montanuy	1362,2	5174,69	852,57	7389,46
22158	Monzón	1070	1957,69	9925,19	12952,88
22160	Naval	467,94	365,97	668,45	1502,36
22162	Novales	141,73	37,5	1233,88	1413,11
22163	Nueno	2443,83	3454,11	1697,79	7595,73
22164	Olvena	138,2	49,51	192,23	379,94
22165	Ontiñena	267,72	1581,25	5483,79	7332,76
22167	Osso de Cinca	165,87	686,24	1742,79	2594,9
22168	Palo	82,1	79,24	252,69	414,03
22170	Panticosa	3560,67	5649,49	2,76	9212,92
22172	Peñalba	222,66	886,76	9829,4	10938,82
22173	Peñas de Riglos (Las)	4121,39	1469,5	1222,38	6813,27
22174	Peralta de Alcofea	347,04	979,69	9669,09	10995,82
22175	Peralta de Calasanz	1235,92	448,3	2741,04	4425,26
22176	Peraltilla	102,58	119,1	724,26	945,94
22177	Perarrúa	645,01	544,7	333,23	1522,94
22178	Pertusa	80,11	252,74	2227,21	2560,06
22181	Piracés	177,79	113,97	1301,35	1593,11
22182	Plan	3259,74	1192,7	92,75	4545,19
22184	Poleñino	162,46	104,96	2423,67	2691,09
22186	Pozán de Vero	180,76	144,93	1127,42	1453,11
22187	Puebla de Castro (La)	202,95	258,88	623,43	1085,26
22188	Puente de Montañana	422,92	496,95	420,58	1340,45
22189	Puértolas	4942,13	1835,09	120,72	6897,94
22190	Pueyo de Araguás (El)	2239,41	1681,95	591,94	4513,3
22193	Pueyo de Santa Cruz	124,38	290,84	592,19	1007,41
22195	Quicena	43,65	25,76	476,6	546,01
22197	Robres	137,85	1443,66	4032,54	5614,05
22199	Sabiñánigo	6857,74	8245,19	4595,09	19698,02
22200	Sahún	3320,37	1305,07	21,79	4647,23
22201	Salas Altas	65,46	3,18	1143	1211,64
22202	Salas Bajas	59,81	4,12	521,83	585,76
22203	Salillas	76,72	563,49	1773,19	2413,4
22204	Sallent de Gállego	6735,49	8256,72	181,58	15173,79
22205	San Esteban de Litera	1635,73	956,61	4156,04	6748,38
22206	Sangarrén	19,47	105	2057,9	2182,37
22207	San Juan de Plan	2354,7	1009,27	120,44	3484,41
22208	Santa Cilia	1007,6	773,51	967,29	2748,4
22209	Santa Cruz de la Serós	815,09	836,05	635	2286,14
22212	Santaliestra y San Quílez	639,68	113,82	179,77	933,27
22213	Sariñena	789,97	2314,91	17370,92	20475,8
22214	Secastilla	396	122,66	708,08	1226,74
22215	Seira	3016,46	1451,93	41,59	4509,98
22217	Sena	353,89	1276,23	5457,43	7087,55
22218	Senés de Alcubierre	0,55	153,97	903,89	1058,41
22220	Sesa	78,56	30,43	2246,72	2355,71
22221	Sesué	176,88	253,95	99,08	529,91
22222	Siétamo	475,58	372,14	2986,82	3834,54
22223	Sopeira	558,8	1389,98	196,4	2145,18
22225	Tamarite de Litera	741,99	1589,7	8618,91	10950,6
22226	Tardienta	75,74	483,91	3853,99	4413,64
22227	Tella-Sin	3313,22	3401,16	7,79	6722,17
22228	Tierz	1,19		578,37	579,56
22229	Tolva	1008,21	1039,67	1575,35	3623,23
22230	Torla	6961,26	8501,14	53,35	15515,75
22232	Torralba de Aragón	75,96	926,35	2170,43	3172,74
22233	Torre la Ribera	402,26	1047,76	321,48	1771,5
22234	Torrente de Cinca	1668,83	83,35	3495,11	5247,29
22235	Torres de Alcanadre	26,18	141,17	1525,08	1692,43
22236	Torres de Barbués	33,55	0,65	1044,76	1078,96
22239	Tramaced	32,71	103,75	658,77	795,23
22242	Valfarta	364,5	324,82	1685,23	2374,55
22243	Valle de Bardají	206,61	1083,89	154,14	1444,64
22244	Valle de Lierp	891,32	981,38	551,76	2424,46
22245	Velilla de Cinca	321,24	216,96	759,66	1297,86
22246	Veracruz	440,8	429,49	155,01	1025,3
22247	Viacamp y Litera	3460,32	2594,85	837,51	6892,68
22248	Vicién	56,23	49,9	1280,01	1386,14
22249	Villanova	220,17	359,82	40,63	620,62
22250	Villanúa	3375,85	2153,76	136,82	5666,43
22251	Villanueva de Sigena	1215,41	2394,55	10587,95	14197,91
22252	Yebra de Basa	895,05	1051,57	460,69	2407,31
22253	Yésero	109,34	1628,19	30,14	1767,67
22254	Zaidín	339,03	558,45	5344,05	6241,53
22901	Valle de Hecho	16120,48	6281,88	292,87	22695,23
22902	Puente la Reina de Jaca	733,1	1014,92	1962,21	3710,23
22903	San Miguel del Cinca	637,83	758,77	8629,15	10025,75
22904	Sotonera (La)	1538,03	1188,88	9890,71	12617,62
22905	Lupiñén-Ortilla	176,71	195,76	7761,52	8133,99
22906	Santa María de Dulcis	460,77	337,64	747,35	1545,76
22907	Aínsa-Sobrarbe	3687,64	3440,59	3287,77	10416
22908	Hoz y Costeán	982,84	522,65	3312,68	4818,17
22909	Vencillón	33,36	219,52	730,2	983,08
44001	Ababuj	2318,86	447,27	2373,13	5139,26
44002	Abejuela	5918,77	988	144,61	7051,38
44003	Aguatón	963,49	503,25	722,62	2189,36
44004	Aguaviva	139,8	119,26	901,7	1160,76
44005	Aguilar del Alfambra	0,2	195,39	1125,49	1321,08
44006	Alacón	61,56	610,94	2056,78	2729,28
44007	Alba	267,56	609,1	2351,33	3227,99
44008	Albalate del Arzobispo	7932,91	2830,63	8776,68	19540,22
44009	Albarracín	2785,99	3316,16	3085,3	9187,45
44010	Albentosa	899,71	803,56	1191,61	2894,88
44011	Alcaine	783,4	3506,07	347,29	4636,76
44012	Alcalá de la Selva	3714,22	2145,4	729,32	6588,94
44013	Alcañiz	571,36	11130,14	18248,81	29950,31
44014	Alcorisa	374,56	479,65	6700,35	7554,56
44016	Alfambra	1298,23	1343,35	5782,51	8424,09
44017	Aliaga	6681,11	7009,08	1683,85	15374,04
44018	Almohaja	990,38	1003,57	497,04	2490,99
44019	Alobras	823,17	1127,96	409,35	2360,48
44020	Alpeñés	257,66	1622,15	778,34	2658,15
44021	Allepuz	1318,93	2124,92	915,59	4359,44
44022	Alloza	2077,44	1325,6	2663,57	6066,61
44023	Allueva			163,74	163,74
44024	Anadón	332,4	677,19	395,93	1405,52
44025	Andorra	219,86	915,1	8430,36	9565,32
44026	Arcos de las Salinas	3223,86	6562,35	146,5	9932,71
44027	Arens de Lledó	463,9	18,13	754,23	1236,26
44028	Argente	232,68	1512,08	3789,07	5533,83
44029	Ariño	22,52	2,96	749,21	774,69
44031	Azaila	821,89	1017,1	4554,8	6393,79
44032	Bádenas	34,43	14,43	422,98	471,84
44033	Báguena	253,44	78,17	931,26	1262,87
44034	Bañón	1290,56	921,63	2684,38	4896,57
44035	Barrachina	1082	397,95	764,32	2244,27
44036	Bea	101,15	325,01	788,08	1214,24
44037	Beceite	1376,39	606,82	635,25	2618,46
44038	Belmonte de San José	273,94	80,12	362,34	716,4
44039	Bello	106,22	345,44	3726,65	4178,31
44040	Berge	65,4	1421,18	620,9	2107,48
44041	Bezas	1440,7	481,48	173,49	2095,67
44042	Blancas	67,3	1078,77	3910,79	5056,86
44043	Blesa	378,15	165,55	2676,17	3219,87
44044	Bordón	391,91	1693,58	304,61	2390,1
44045	Bronchales	1556,84	1595,07	954,69	4106,6
44046	Bueña	364,05	278,85	1223,68	1866,58
44047	Burbáguena	1336,71	743,39	986,78	3066,88
44048	Cabra de Mora	362,1	167,16	199,24	728,5
44049	Calaceite	1322,78	255,79	3407,35	4985,92
44050	Calamocha	2337,4	7318,48	12255,48	21911,36
44051	Calanda	2093,4	159,18	6255,61	8508,19
44052	Calomarde	214,66	2074,2	252,39	2541,25
44053	Camañas	1122,75	1109,52	3394,19	5626,46
44054	Camarena de la Sierra	3577,98	4177,28	75,29	7830,55
44055	Camarillas	1746,3	707,96	2196,16	4650,42
44056	Caminreal	154,89	1152,1	2380,43	3687,42
44059	Cantavieja	1842,18	7474,88	1026,49	10343,55
44060	Cañada de Benatanduz	1051,8	1411,24	370,26	2833,3
44061	Cañada de Verich (La)	15,8	2,75	66,27	84,82
44062	Cañada Vellida	208,3	1058,58	819,34	2086,22
44063	Cañizar del Olivar	372,3		58,9	431,2
44064	Cascante del Río	505,59	1435,99	181,57	2123,15
44065	Castejón de Tornos	15,05	30,83	1386,91	1432,79
44066	Castel de Cabra	97,49	703,27	248,17	1048,93
44067	Castelnou	18,46	685,11	2582,31	3285,88
44068	Castelserás	7,63	346,22	1117,78	1471,63
44070	Castellar (El)	2845,87	829,09	311,01	3985,97
44071	Castellote	8592,5	3437,12	2260,6	14290,22
44074	Cedrillas	2470,2	2313,64	1915,82	6699,66
44075	Celadas	484,21	2242,14	6165,8	8892,15
44076	Cella	965,37	2065,31	7317,48	10348,16
44077	Cerollera (La)	24,83	3	173,25	201,08
44080	Codoñera (La)	15,67	313,43	830,66	1159,76
44082	Corbalán	2117,16	2087,08	1285,15	5489,39
44084	Cortes de Aragón	14,62	1125,05	760,84	1900,51
44085	Cosa	1094,11	1035,76	2831,88	4961,75
44086	Cretas	322,35	320,46	2209,97	2852,78
44087	Crivillén	8,54	963,91	933,44	1905,89
44088	Cuba (La)	54,33	281,56	44,58	380,47
44089	Cubla	2792,11	884,47	730,53	4407,11
44090	Cucalón	220,69	323,22	1267,79	1811,7
44092	Cuervo (El)	16,18	10,73	46,48	73,39
44093	Cuevas de Almudén	281,6	480,2	1285,54	2047,34
44094	Cuevas Labradas	289,98	668,47	1291,54	2249,99
44096	Ejulve	1977,85	969,63	922,34	3869,82
44097	Escorihuela	71,34	1480,48	2201,98	3753,8
44099	Escucha	3,81	120,05	512,23	636,09
44100	Estercuel	36,05	178,15	218,75	432,95
44101	Ferreruela de Huerva	10,06	209,28	1794,3	2013,64
44102	Fonfría	481,72	430,4	689,04	1601,16
44103	Formiche Alto	3561,95	2057,62	1240,47	6860,04
44105	Fórnoles	214,38	72,09	269,64	556,11
44106	Fortanete	2412,6	3461,36	755,39	6629,35
44107	Foz-Calanda	1226,32	994,6	616,92	2837,84
44108	Fresneda (La)	242,34	106,76	1023,32	1372,42
44109	Frías de Albarracín	1702,93	2290,72	841,58	4835,23
44110	Fuenferrada	541,11	577,08	893,67	2011,86
44111	Fuentes Calientes	3,55	280,98	1759,33	2043,86
44112	Fuentes Claras	23,55	209,87	2369,8	2603,22
44113	Fuentes de Rubielos	1127,19	234,17	31,19	1392,55
44114	Fuentespalda	1381,79	32,72	752,76	2167,27
44115	Galve	1965,11	1433,91	1607,15	5006,17
44116	Gargallo	1232,74	374,86	126,42	1734,02
44117	Gea de Albarracín	918,83	1020,85	1065	3004,68
44118	Ginebrosa (La)	2952,34	1608,92	1511,73	6072,99
44119	Griegos	1281,1	1149,96	326,54	2757,6
44120	Guadalaviar	1007,39	1473,03	207,16	2687,58
44121	Gúdar	2717,62	2758,03	281,17	5756,82
44122	Híjar	1867,51	999,62	12746,69	15613,82
44123	Hinojosa de Jarque	59,14	2169,33	1144,72	3373,19
44124	Hoz de la Vieja (La)	1618,5	1082,11	1213,85	3914,46
44125	Huesa del Común	516,91	872,49	2952,07	4341,47
44126	Iglesuela del Cid (La)	286,55	1275,65	384,32	1946,52
44127	Jabaloyas	3147,28	1213,81	156,38	4517,47
44128	Jarque de la Val	374,16	960,29	1051,03	2385,48
44129	Jatiel	14,45	365,22	317,35	697,02
44130	Jorcas		23,67	764,01	787,68
44131	Josa	19,12	1166,55	292,64	1478,31
44132	Lagueruela	12,74	347,69	2061,03	2421,46
44133	Lanzuela	37,86	265,67	447,14	750,67
44135	Libros	245,06	649,24	221,45	1115,75
44136	Lidón	2097,73	415,85	1433,97	3947,55
44137	Linares de Mora	4699,28	4163,52	322,77	9185,57
44138	Loscos	575,72	736,13	2443,5	3755,35
44141	Lledó	227,19	52,29	485,46	764,94
44142	Maicas		470	157,1	627,1
44143	Manzanera	9307,29	2013,79	854,41	12175,49
44144	Martín del Río	16,33	352,62	292,49	661,44
44145	Mas de las Matas	43,99	355,3	1290,41	1689,7
44146	Mata de los Olmos (La)	12,71	180,39	1024,92	1218,02
44147	Mazaleón	471,31	144,22	2952,35	3567,88
44148	Mezquita de Jarque	863,1	445,28	1353,07	2661,45
44149	Mirambel	390,28	2468,37	298,83	3157,48
44150	Miravete de la Sierra	477,83	1751,72	140,41	2369,96
44151	Molinos	1513,75	3950,24	1312,69	6776,68
44152	Monforte de Moyuela	17,18	225,63	1936,06	2178,87
44153	Monreal del Campo	62,27	1943,17	5544,41	7549,85
44154	Monroyo	1465,59	627,41	1091,47	3184,47
44155	Montalbán	4029,37	1358,76	275,43	5663,56
44156	Monteagudo del Castillo	87,23	741,33	836,52	1665,08
44157	Monterde de Albarracín	3913,02	575,29	267,93	4756,24
44158	Mora de Rubielos	3048,55	3917,53	1690,95	8657,03
44159	Moscardón	101,2	100	147,53	348,73
44160	Mosqueruela	6984,71	5990,09	887,2	13862
44161	Muniesa	1464,91	1335,24	5563,89	8364,04
44163	Noguera de Albarracín	2498,62	1254,29	18,83	3771,74
44164	Nogueras	367,02	48,85	990,15	1406,02
44165	Nogueruelas	3038,46	488,23	90,34	3617,03
44167	Obón	1032	4675	223,6	5930,6
44168	Odón	146,32	1653,36	4279,41	6079,09
44169	Ojos Negros	404,28	2292,14	3953,51	6649,93
44171	Olba	827,33	106,06	7,08	940,47
44172	Oliete	31,56	773,03	2275,5	3080,09
44173	Olmos (Los)	20,12	413,94	1042,75	1476,81
44174	Orihuela del Tremedal	1326,32	1898,35	1151,43	4376,1
44175	Orrios	70,64	2180,79	2015,9	4267,33
44176	Palomar de Arroyos	138	452,05	257,16	847,21
44177	Pancrudo	420,57	4703,43	3301,67	8425,67
44178	Parras de Castellote (Las)	659,46	1234,91	604,52	2498,89
44179	Peñarroya de Tastavins	1739,3	1003,74	941,19	3684,23
44180	Peracense	1559,96	80,09	389,21	2029,26
44181	Peralejos	3,78	355,11	1147,27	1506,16
44182	Perales del Alfambra	482,23	1270,42	5286,68	7039,33
44183	Pitarque	747,33	1240,55	60,3	2048,18
44184	Plou	47,36	161,78	459,61	668,75
44185	Pobo (El)	752,55	2209,02	2403,35	5364,92
44187	Portellada (La)	400,33	8,19	682,37	1090,89
44189	Pozondón	4501,1	613,03	731,34	5845,47
44190	Pozuel del Campo	409,52	172	1367,92	1949,44
44191	Puebla de Híjar (La)	305,86	1248,8	2859,7	4414,36
44192	Puebla de Valverde (La)	3820,41	11506,92	3761,92	19089,25
44193	Puertomingalvo	1084,89	1841,59	458,13	3384,61
44194	Ráfales	688,44	135,15	529,55	1353,14
44195	Rillo	150,09	2274,88	1285,97	3710,94
44196	Riodeva	1147,11	607,69	187,47	1942,27
44197	Ródenas	784,82	1614,3	1697,48	4096,6
44198	Royuela	297,86	129	545,36	972,22
44199	Rubiales	107,62	771,86	247,19	1126,67
44200	Rubielos de la Cérida	98,58	70,98	944,38	1113,94
44201	Rubielos de Mora	3138,93	1105,46	356,75	4601,14
44203	Salcedillo	1079,65	232,5	302,9	1615,05
44204	Saldón	450,01	1350	349,24	2149,25
44205	Samper de Calanda	479,95	1137,5	7529,62	9147,07
44206	San Agustín	178	1542,17	576,37	2296,54
44207	San Martín del Río	119,26	118,11	317,56	554,93
44208	Santa Cruz de Nogueras			234,52	234,52
44209	Santa Eulalia	2278,38	1164,2	3856,84	7299,42
44210	Sarrión	2850,14	6148,8	2838,6	11837,54
44211	Segura de los Baños	3858,37	718,96	677,25	5254,58
44212	Seno	901,15	624,5	142,78	1668,43
44213	Singra	38,14	411,73	2100,37	2550,24
44215	Terriente	1354,99	2255,84	938,13	4548,96
44216	Teruel	2440,18	7913,49	14934,42	25288,09
44217	Toril y Masegoso	7,69		235,29	242,98
44219	Tornos	1389,53	288	2530,76	4208,29
44220	Torralba de los Sisones	1111,34	1168,26	1856,42	4136,02
44221	Torrecilla de Alcañiz	66,7	471,64	1204,76	1743,1
44222	Torrecilla del Rebollar	1367,46	1452,73	2254,09	5074,28
44223	Torre de Arcas	979,06	89,93	349,47	1418,46
44224	Torre de las Arcas	44,08	2234,81	347,22	2626,11
44225	Torre del Compte	246,58	44,05	881,13	1171,76
44226	Torrelacárcel	33,18	409,65	2157,42	2600,25
44227	Torre los Negros	374,25	956,54	1170,18	2500,97
44228	Torremocha de Jiloca	1347,73	88,57	1370,38	2806,68
44229	Torres de Albarracín	65,7	26,73	226,79	319,22
44230	Torrevelilla	278,32	360,92	740,05	1379,29
44231	Torrijas	2993,6	1842,61	287,5	5123,71
44232	Torrijo del Campo	265,41	1118,03	2661,24	4044,68
44234	Tramacastiel	825,61	357,72	96,8	1280,13
44235	Tramacastilla	11,5	28,5	208,55	248,55
44236	Tronchón	507,69	2774,74	220,2	3502,63
44237	Urrea de Gaén	1242,83	631,49	2086,91	3961,23
44238	Utrillas	23,82	551,17	660,87	1235,86
44239	Valacloche	830,07	262,82	342,45	1435,34
44240	Valbona	983,47	915,9	127,29	2026,66
44241	Valdealgorfa	932,15	1014,73	2167,85	4114,73
44243	Valdecuenca	18,28	17,5	392,17	427,95
44244	Valdelinares		503,26	43,17	546,43
44245	Valdeltormo	228,86	190,76	675,42	1095,04
44246	Valderrobres	1745,89	1225,6	2763,3	5734,79
44247	Valjunquera	59,28	84,88	1709,43	1853,59
44249	Vallecillo (El)	1307,84	564,44		1872,28
44250	Veguillas de la Sierra	0,02		332,27	332,29
44251	Villafranca del Campo	757,72	1919,09	3553,07	6229,88
44252	Villahermosa del Campo	51,72	158,49	1460,81	1671,02
44256	Villanueva del Rebollar de la Sierra	51,85	102,5	893,54	1047,89
44257	Villar del Cobo	1918,77	1877,45	251,21	4047,43
44258	Villar del Salz	8,21	100,2	939,37	1047,78
44260	Villarluengo	3183,14	5656,1	452,83	9292,07
44261	Villarquemado	132,34	907,68	3406,35	4446,37
44262	Villarroya de los Pinares	1609,56	2731	787,18	5127,74
44263	Villastar	202,24	113,09	977,39	1292,72
44264	Villel	1344,01	4834,19	375,31	6553,51
44265	Vinaceite	1,31	430,74	4522,18	4954,23
44266	Visiedo	811,2	931,98	3681,98	5425,16
44267	Vivel del Río Martín	2132,81	630,26	1181,13	3944,2
44268	Zoma (La)	965,01	363	48,74	1376,75
50001	Abanto		450,5	888,11	1338,61
50002	Acered	48,01	185,07	951,54	1184,62
50003	Agón	18,43		984,75	1003,18
50004	Aguarón	114,32	37,15	2240,29	2391,76
50005	Aguilón	176,19	131,12	3157,73	3465,04
50006	Ainzón	299,77	6,02	1888,76	2194,55
50007	Aladrén	17,6	273	238,24	528,84
50008	Alagón	154,14	170,05	1612,18	1936,37
50009	Alarba	37,57	7,61	864,86	910,04
50010	Alberite de San Juan	267,75	105,7	405,99	779,44
50011	Albeta		5	181,55	186,55
50012	Alborge		131,34	170,84	302,18
50013	Alcalá de Ebro	281,32	201,11	399,16	881,59
50014	Alcalá de Moncayo	26,1	49,1	418,44	493,64
50015	Alconchel de Ariza	6,06	355,2	3028,31	3389,57
50016	Aldehuela de Liestos	274,26	48,62	747,18	1070,06
50017	Alfajarín	2161,48	2137	5992,58	10291,06
50018	Alfamén	135,89	263,52	7441,23	7840,64
50019	Alforque			552,7	552,7
50020	Alhama de Aragón	42,48	112,66	618,93	774,07
50021	Almochuel	22,41		1593,35	1615,76
50022	Almolda (La)	303,26	320,52	9148,76	9772,54
50023	Almonacid de la Cuba	10,32	1148,39	3226,9	4385,61
50024	Almonacid de la Sierra	98,16	100,33	3291,44	3489,93
50025	Almunia de Doña Godina (La)	137,34	287,63	3360,58	3785,55
50026	Alpartir	740,91	495,48	800,05	2036,44
50027	Ambel	683,28	1025,96	2364,47	4073,71
50028	Anento	143,62	36,54	836,63	1016,79
50029	Aniñón	1798,28	660,43	1873,33	4332,04
50030	Añón de Moncayo	13,11	145,23	259,11	417,45
50031	Aranda de Moncayo	858,86	403,7	950,21	2212,77
50032	Arándiga	169,41	901,65	605,68	1676,74
50033	Ardisa	99,22	91,25	605,7	796,17
50034	Ariza	320,45	615,02	3853,97	4789,44
50035	Artieda	672,98	70,03	564,42	1307,43
50036	Asín	665,06	26,36	494,24	1185,66
50037	Atea	155,91	131,63	1138,56	1426,1
50038	Ateca	730,7	2491,02	1729,25	4950,97
50039	Azuara	464,94	1478,16	9582,13	11525,23
50040	Badules	36,88	0,2	1016,7	1053,78
50041	Bagüés	1490,07	1001,82	327,03	2818,92
50042	Balconchán	327,1	2	1021,38	1350,48
50043	Bárboles	29,49	83,41	1142,53	1255,43
50044	Bardallur	38,25	283,28	1230,04	1551,57
50045	Belchite	3011,18	5076,82	17745,06	25833,06
50046	Belmonte de Gracián	75,03	971,44	609,38	1655,85
50047	Berdejo		100	192,61	292,61
50048	Berrueco	4,7	22,64	485,2	512,54
50050	Bijuesca	206,31	781,98	914,93	1903,22
50051	Biota	1049,23	256,03	7003,75	8309,01
50052	Bisimbre	2,7	3,9	856,44	863,04
50053	Boquiñeni	69,72	1,2	910,64	981,56
50054	Bordalba	38	130,69	2093,66	2262,35
50055	Borja	275,76	3694,39	4528,41	8498,56
50056	Botorrita	222,77	39,01	1071,12	1332,9
50057	Brea de Aragón	20,93	1005,88	159,47	1186,28
50058	Bubierca	5,4	601,49	71,73	678,62
50059	Bujaraloz	278,11	123,42	10356,45	10757,98
50060	Bulbuente	89,78	394,85	1602,02	2086,65
50061	Bureta	13,93	51,86	931,51	997,3
