Municipio código	Municipio nombre	Otras tierrras	Pastizales permanentes	Tierras labradas	Superficie total
22001	Abiego	1260,23	305,78	1934,69	3500,7
22002	Abizanda	491,58	499,74	614,35	1605,67
22003	Adahuesca	298,6	936,21	1092,39	2327,2
22004	Agüero	269,2	306,04	320,87	896,11
22006	Aísa	1547,71	6145,5	176,82	7870,03
22007	Albalate de Cinca	338,99	605,96	2602,67	3547,62
22008	Albalatillo	33,15	265,97	610,68	909,8
22009	Albelda	148,11	766	3289,06	4203,17
22011	Albero Alto	16,18		1641,8	1657,98
22012	Albero Bajo	79,45	50,48	1413,27	1543,2
22013	Alberuela de Tubo	39,33	441,1	1695,75	2176,18
22014	Alcalá de Gurrea	203,46	558,71	5508,14	6270,31
22015	Alcalá del Obispo	121,02	721,07	3716,43	4558,52
22016	Alcampell	200,16	774,96	3284,79	4259,91
22017	Alcolea de Cinca	363,49	579,36	4605,42	5548,27
22018	Alcubierre	150,79	483,04	4250,41	4884,24
22019	Alerre	35,85	202,96	455,87	694,68
22020	Alfántega	125,16	291,35	269,24	685,75
22021	Almudévar	940,87	1396,45	14148,08	16485,4
22022	Almunia de San Juan	571,54	609,69	2128,53	3309,76
22023	Almuniente	58,72	146,07	2981,47	3186,26
22024	Alquézar	377,96	242,88	532,39	1153,23
22025	Altorricón	98,71	674,11	2300,02	3072,84
22027	Angüés	204,29	215,87	3216,69	3636,85
22028	Ansó	14425,78	11628,65	67,69	26122,12
22029	Antillón	139,48	203,38	1797,15	2140,01
22032	Aragüés del Puerto	5112,65	1313,45	57,02	6483,12
22035	Arén	1783,19	3652,58	2099,96	7535,73
22036	Argavieso	20,84	55,25	808,23	884,32
22037	Arguis	458,47	1253,93	634,73	2347,13
22039	Ayerbe	593,98	218,25	3458,51	4270,74
22040	Azanuy-Alins	68,68	350,16	2257,43	2676,27
22041	Azara	51,1		911,55	962,65
22042	Azlor	85,44	189,96	789,97	1065,37
22043	Baells	319,52	215,43	1337,34	1872,29
22044	Bailo	5753,08	5154,52	2022,59	12930,19
22045	Baldellou	200,45	31,85	684,55	916,85
22046	Ballobar	529,27	2400,87	6903,71	9833,85
22047	Banastás	10,51	12,38	301,81	324,7
22048	Barbastro	1110,71	1048,67	6672,42	8831,8
22049	Barbués	107,88	118,33	1436,95	1663,16
22050	Barbuñales	473,32	2,75	1406,79	1882,86
22051	Bárcabo	1119,18	1717,92	1331,91	4169,01
22052	Belver de Cinca	376,9	777,87	6075,54	7230,31
22053	Benabarre	1838,41	2693,29	4601,55	9133,25
22054	Benasque	8967,8	2419,47	133,73	11521
22055	Berbegal	155,34	161,94	3124,39	3441,67
22057	Bielsa	12216,75	7198,68	8,34	19423,77
22058	Bierge	4037,86	2826,47	1426,82	8291,15
22059	Biescas	8676,9	6300,87	852,28	15830,05
22060	Binaced	364,91	590,55	5932	6887,46
22061	Binéfar	83,62	521,62	1375,45	1980,69
22062	Bisaurri	1166,69	4134,48	52,74	5353,91
22063	Biscarrués	203,56	39,59	2173,31	2416,46
22064	Blecua y Torres	55,53	72,53	2888,94	3017
22066	Boltaña	5120,35	2644,66	726,67	8491,68
22067	Bonansa	145,71	1114,31	186,42	1446,44
22068	Borau	2674,91	935,25	2,05	3612,21
22069	Broto	7584,25	4555,69	65,43	12205,37
22072	Caldearenas	10085,32	2774,59	1418,68	14278,59
22074	Campo	116,72	436,3	67,11	620,13
22075	Camporrells	931,43	257,02	534,79	1723,24
22076	Canal de Berdún	919,3	1692,42	4361,54	6973,26
22077	Candasnos	140,17	778,68	6267,43	7186,28
22078	Canfranc	3349,11	3433,65	43,01	6825,77
22079	Capdesaso	30	88,15	757,6	875,75
22080	Capella	732,53	912,97	1417,71	3063,21
22081	Casbas de Huesca	467,23	885,74	3147,07	4500,04
22082	Castejón del Puente	242,68	358,95	1450,06	2051,69
22083	Castejón de Monegros	300,89	720,12	9046,04	10067,05
22084	Castejón de Sos	238,45	1830,22	39,33	2108
22085	Castelflorite	103,18	58,44	1715,04	1876,66
22086	Castiello de Jaca	919,1	540,19	104,51	1563,8
