Mes y año	Municipio código	Municipio nombre	Temporalidad	Sexo	Afiliaciones en alta
Marzo 2010	22128	Ilche	Indefinido	Hombres	33
Marzo 2010	22128	Ilche	Indefinido	Mujeres	9
Marzo 2010	22129	Isábena	Indefinido	Hombres	3
Marzo 2010	22129	Isábena	Indefinido	Mujeres	9
Marzo 2010	22130	Jaca	Indefinido	Hombres	921
Marzo 2010	22130	Jaca	Indefinido	Mujeres	1073
Marzo 2010	22131	Jasa	Indefinido	Hombres	6
Marzo 2010	22131	Jasa	Indefinido	Mujeres	1
Marzo 2010	22133	Labuerda	Indefinido	Hombres	17
Marzo 2010	22133	Labuerda	Indefinido	Mujeres	10
Marzo 2010	22135	Laluenga	Indefinido	Hombres	4
Marzo 2010	22136	Lalueza	Indefinido	Hombres	29
Marzo 2010	22136	Lalueza	Indefinido	Mujeres	17
Marzo 2010	22137	Lanaja	Indefinido	Hombres	43
Marzo 2010	22137	Lanaja	Indefinido	Mujeres	14
Marzo 2010	22141	Lascellas-Ponzano	Indefinido	Hombres	5
Marzo 2010	22141	Lascellas-Ponzano	Indefinido	Mujeres	1
Marzo 2010	22142	Lascuarre	Indefinido	Hombres	5
Marzo 2010	22143	Laspaúles	Indefinido	Hombres	8
Marzo 2010	22143	Laspaúles	Indefinido	Mujeres	2
Marzo 2010	22144	Laspuña	Indefinido	Hombres	3
Marzo 2010	22144	Laspuña	Indefinido	Mujeres	1
Marzo 2010	22149	Loarre	Indefinido	Hombres	6
Marzo 2010	22149	Loarre	Indefinido	Mujeres	12
Marzo 2010	22150	Loporzano	Indefinido	Hombres	47
Marzo 2010	22150	Loporzano	Indefinido	Mujeres	18
Marzo 2010	22156	Monflorite-Lascasas	Indefinido	Hombres	41
Marzo 2010	22156	Monflorite-Lascasas	Indefinido	Mujeres	22
Marzo 2010	22157	Montanuy	Indefinido	Hombres	6
Marzo 2010	22157	Montanuy	Indefinido	Mujeres	3
Marzo 2010	22158	Monzón	Indefinido	Hombres	2192
Marzo 2010	22158	Monzón	Indefinido	Mujeres	1221
Marzo 2010	22160	Naval	Indefinido	Mujeres	4
Marzo 2010	22162	Novales	Indefinido	Hombres	18
Marzo 2010	22162	Novales	Indefinido	Mujeres	5
Marzo 2010	22163	Nueno	Indefinido	Hombres	14
Marzo 2010	22163	Nueno	Indefinido	Mujeres	11
Marzo 2010	22164	Olvena	Indefinido	Mujeres	1
Marzo 2010	22165	Ontiñena	Indefinido	Hombres	26
Marzo 2010	22165	Ontiñena	Indefinido	Mujeres	4
Marzo 2010	22167	Osso de Cinca	Indefinido	Hombres	9
Marzo 2010	22167	Osso de Cinca	Indefinido	Mujeres	6
Marzo 2010	22168	Palo	Indefinido	Hombres	1
Marzo 2010	22168	Palo	Indefinido	Mujeres	2
Marzo 2010	22170	Panticosa	Indefinido	Hombres	183
Marzo 2010	22170	Panticosa	Indefinido	Mujeres	160
Marzo 2010	22172	Peñalba	Indefinido	Hombres	88
Marzo 2010	22172	Peñalba	Indefinido	Mujeres	27
Marzo 2010	22173	Peñas de Riglos (Las)	Indefinido	Hombres	25
Marzo 2010	22173	Peñas de Riglos (Las)	Indefinido	Mujeres	4
Marzo 2010	22174	Peralta de Alcofea	Indefinido	Hombres	25
Marzo 2010	22174	Peralta de Alcofea	Indefinido	Mujeres	10
Marzo 2010	22175	Peralta de Calasanz	Indefinido	Hombres	12
Marzo 2010	22175	Peralta de Calasanz	Indefinido	Mujeres	6
Marzo 2010	22176	Peraltilla	Indefinido	Mujeres	1
Marzo 2010	22178	Pertusa	Indefinido	Hombres	17
Marzo 2010	22178	Pertusa	Indefinido	Mujeres	5
Marzo 2010	22181	Piracés	Indefinido	Hombres	4
Marzo 2010	22181	Piracés	Indefinido	Mujeres	1
Marzo 2010	22182	Plan	Indefinido	Hombres	1
Marzo 2010	22182	Plan	Indefinido	Mujeres	4
Marzo 2010	22184	Poleñino	Indefinido	Hombres	26
Marzo 2010	22184	Poleñino	Indefinido	Mujeres	6
Marzo 2010	22186	Pozán de Vero	Indefinido	Hombres	1
Marzo 2010	22186	Pozán de Vero	Indefinido	Mujeres	34
Marzo 2010	22187	Puebla de Castro (La)	Indefinido	Hombres	48
Marzo 2010	22187	Puebla de Castro (La)	Indefinido	Mujeres	29
Marzo 2010	22188	Puente de Montañana	Indefinido	Hombres	7
Marzo 2010	22188	Puente de Montañana	Indefinido	Mujeres	13
Marzo 2010	22189	Puértolas	Indefinido	Hombres	11
Marzo 2010	22189	Puértolas	Indefinido	Mujeres	8
Marzo 2010	22190	Pueyo de Araguás (El)	Indefinido	Hombres	1
Marzo 2010	22193	Pueyo de Santa Cruz	Indefinido	Hombres	4
Marzo 2010	22193	Pueyo de Santa Cruz	Indefinido	Mujeres	1
Marzo 2010	22195	Quicena	Indefinido	Hombres	35
Marzo 2010	22195	Quicena	Indefinido	Mujeres	10
Marzo 2010	22197	Robres	Indefinido	Hombres	22
Marzo 2010	22197	Robres	Indefinido	Mujeres	3
Marzo 2010	22199	Sabiñánigo	Indefinido	Hombres	1100
Marzo 2010	22199	Sabiñánigo	Indefinido	Mujeres	777
Marzo 2010	22200	Sahún	Indefinido	Hombres	25
Marzo 2010	22200	Sahún	Indefinido	Mujeres	13
Marzo 2010	22201	Salas Altas	Indefinido	Hombres	4
Marzo 2010	22202	Salas Bajas	Indefinido	Hombres	31
Marzo 2010	22202	Salas Bajas	Indefinido	Mujeres	22
Marzo 2010	22203	Salillas	Indefinido	Hombres	5
Marzo 2010	22204	Sallent de Gállego	Indefinido	Hombres	356
Marzo 2010	22204	Sallent de Gállego	Indefinido	Mujeres	281
Marzo 2010	22205	San Esteban de Litera	Indefinido	Hombres	27
Marzo 2010	22205	San Esteban de Litera	Indefinido	Mujeres	11
Marzo 2010	22206	Sangarrén	Indefinido	Hombres	5
Marzo 2010	22206	Sangarrén	Indefinido	Mujeres	2
Marzo 2010	22207	San Juan de Plan	Indefinido	Hombres	2
Marzo 2010	22207	San Juan de Plan	Indefinido	Mujeres	3
Marzo 2010	22208	Santa Cilia	Indefinido	Hombres	17
Marzo 2010	22208	Santa Cilia	Indefinido	Mujeres	4
Marzo 2010	22209	Santa Cruz de la Serós	Indefinido	Hombres	4
Marzo 2010	22209	Santa Cruz de la Serós	Indefinido	Mujeres	8
Marzo 2010	22212	Santaliestra y San Quílez	Indefinido	Mujeres	2
Marzo 2010	22213	Sariñena	Indefinido	Hombres	363
Marzo 2010	22213	Sariñena	Indefinido	Mujeres	238
Marzo 2010	22214	Secastilla	Indefinido	Hombres	12
Marzo 2010	22214	Secastilla	Indefinido	Mujeres	50
Marzo 2010	22215	Seira	Indefinido	Mujeres	2
Marzo 2010	22217	Sena	Indefinido	Hombres	3
Marzo 2010	22217	Sena	Indefinido	Mujeres	6
Marzo 2010	22218	Senés de Alcubierre	Indefinido	Hombres	2
Marzo 2010	22218	Senés de Alcubierre	Indefinido	Mujeres	1
Marzo 2010	22220	Sesa	Indefinido	Hombres	17
Marzo 2010	22220	Sesa	Indefinido	Mujeres	1
Marzo 2010	22221	Sesué	Indefinido	Hombres	11
Marzo 2010	22221	Sesué	Indefinido	Mujeres	7
Marzo 2010	22222	Siétamo	Indefinido	Hombres	13
Marzo 2010	22222	Siétamo	Indefinido	Mujeres	9
Marzo 2010	22225	Tamarite de Litera	Indefinido	Hombres	232
Marzo 2010	22225	Tamarite de Litera	Indefinido	Mujeres	153
Marzo 2010	22226	Tardienta	Indefinido	Hombres	100
Marzo 2010	22226	Tardienta	Indefinido	Mujeres	31
Marzo 2010	22227	Tella-Sin	Indefinido	Hombres	4
Marzo 2010	22227	Tella-Sin	Indefinido	Mujeres	2
Marzo 2010	22228	Tierz	Indefinido	Hombres	26
Marzo 2010	22228	Tierz	Indefinido	Mujeres	6
Marzo 2010	22229	Tolva	Indefinido	Hombres	4
Marzo 2010	22229	Tolva	Indefinido	Mujeres	1
Marzo 2010	22230	Torla-Ordesa	Indefinido	Hombres	13
Marzo 2010	22230	Torla-Ordesa	Indefinido	Mujeres	31
Marzo 2010	22232	Torralba de Aragón	Indefinido	Mujeres	4
Marzo 2010	22233	Torre la Ribera	Indefinido	Mujeres	3
Marzo 2010	22234	Torrente de Cinca	Indefinido	Hombres	21
Marzo 2010	22234	Torrente de Cinca	Indefinido	Mujeres	22
Marzo 2010	22235	Torres de Alcanadre	Indefinido	Hombres	1
Marzo 2010	22236	Torres de Barbués	Indefinido	Hombres	7
Marzo 2010	22236	Torres de Barbués	Indefinido	Mujeres	2
Marzo 2010	22239	Tramaced	Indefinido	Hombres	1
Marzo 2010	22242	Valfarta	Indefinido	Hombres	3
Marzo 2010	22243	Valle de Bardají	Indefinido	Hombres	1
Marzo 2010	22245	Velilla de Cinca	Indefinido	Hombres	15
Marzo 2010	22245	Velilla de Cinca	Indefinido	Mujeres	20
Marzo 2010	22246	Beranuy	Indefinido	Hombres	11
Marzo 2010	22247	Viacamp y Litera	Indefinido	Hombres	2
Marzo 2010	22248	Vicién	Indefinido	Hombres	4
Marzo 2010	22249	Villanova	Indefinido	Hombres	3
Marzo 2010	22249	Villanova	Indefinido	Mujeres	4
Marzo 2010	22250	Villanúa	Indefinido	Hombres	22
Marzo 2010	22250	Villanúa	Indefinido	Mujeres	24
Marzo 2010	22251	Villanueva de Sigena	Indefinido	Hombres	19
Marzo 2010	22251	Villanueva de Sigena	Indefinido	Mujeres	5
Marzo 2010	22252	Yebra de Basa	Indefinido	Hombres	1
Marzo 2010	22254	Zaidín	Indefinido	Hombres	66
Marzo 2010	22254	Zaidín	Indefinido	Mujeres	54
Marzo 2010	22901	Valle de Hecho	Indefinido	Hombres	38
Marzo 2010	22901	Valle de Hecho	Indefinido	Mujeres	20
Marzo 2010	22902	Puente la Reina de Jaca	Indefinido	Hombres	15
Marzo 2010	22902	Puente la Reina de Jaca	Indefinido	Mujeres	13
Marzo 2010	22903	San Miguel del Cinca	Indefinido	Hombres	90
Marzo 2010	22903	San Miguel del Cinca	Indefinido	Mujeres	35
Marzo 2010	22904	Sotonera (La)	Indefinido	Hombres	109
Marzo 2010	22904	Sotonera (La)	Indefinido	Mujeres	33
Marzo 2010	22905	Lupiñén-Ortilla	Indefinido	Hombres	7
Marzo 2010	22905	Lupiñén-Ortilla	Indefinido	Mujeres	1
Marzo 2010	22906	Santa María de Dulcis	Indefinido	Hombres	7
Marzo 2010	22906	Santa María de Dulcis	Indefinido	Mujeres	1
Marzo 2010	22907	Aínsa-Sobrarbe	Indefinido	Hombres	242
Marzo 2010	22907	Aínsa-Sobrarbe	Indefinido	Mujeres	191
Marzo 2010	22908	Hoz y Costeán	Indefinido	Hombres	4
Marzo 2010	22908	Hoz y Costeán	Indefinido	Mujeres	4
Marzo 2010	22909	Vencillón	Indefinido	Hombres	19
Marzo 2010	22909	Vencillón	Indefinido	Mujeres	7
Marzo 2010	44001	Ababuj	Indefinido	Hombres	4
Marzo 2010	44004	Aguaviva	Indefinido	Hombres	45
Marzo 2010	44004	Aguaviva	Indefinido	Mujeres	17
Marzo 2010	44005	Aguilar del Alfambra	Indefinido	Mujeres	1
Marzo 2010	44006	Alacón	Indefinido	Hombres	2
Marzo 2010	44006	Alacón	Indefinido	Mujeres	2
Marzo 2010	44007	Alba	Indefinido	Hombres	1
Marzo 2010	44007	Alba	Indefinido	Mujeres	2
Marzo 2010	44008	Albalate del Arzobispo	Indefinido	Hombres	141
Marzo 2010	44008	Albalate del Arzobispo	Indefinido	Mujeres	82
Marzo 2010	44009	Albarracín	Indefinido	Hombres	59
Marzo 2010	44009	Albarracín	Indefinido	Mujeres	73
Marzo 2010	44010	Albentosa	Indefinido	Hombres	82
Marzo 2010	44010	Albentosa	Indefinido	Mujeres	40
Marzo 2010	44012	Alcalá de la Selva	Indefinido	Hombres	39
Marzo 2010	44012	Alcalá de la Selva	Indefinido	Mujeres	29
Marzo 2010	44013	Alcañiz	Indefinido	Hombres	1534
Marzo 2010	44013	Alcañiz	Indefinido	Mujeres	1255
Marzo 2010	44014	Alcorisa	Indefinido	Hombres	211
Marzo 2010	44014	Alcorisa	Indefinido	Mujeres	112
Marzo 2010	44016	Alfambra	Indefinido	Hombres	14
Marzo 2010	44016	Alfambra	Indefinido	Mujeres	15
Marzo 2010	44017	Aliaga	Indefinido	Hombres	18
Marzo 2010	44017	Aliaga	Indefinido	Mujeres	8
Marzo 2010	44019	Alobras	Indefinido	Hombres	1
Marzo 2010	44021	Allepuz	Indefinido	Hombres	1
Marzo 2010	44021	Allepuz	Indefinido	Mujeres	3
Marzo 2010	44022	Alloza	Indefinido	Hombres	23
Marzo 2010	44022	Alloza	Indefinido	Mujeres	11
Marzo 2010	44025	Andorra	Indefinido	Hombres	910
Marzo 2010	44025	Andorra	Indefinido	Mujeres	438
Marzo 2010	44026	Arcos de las Salinas	Indefinido	Hombres	2
Marzo 2010	44026	Arcos de las Salinas	Indefinido	Mujeres	2
Marzo 2010	44027	Arens de Lledó	Indefinido	Mujeres	1
Marzo 2010	44028	Argente	Indefinido	Mujeres	1
Marzo 2010	44029	Ariño	Indefinido	Hombres	252
Marzo 2010	44029	Ariño	Indefinido	Mujeres	26
Marzo 2010	44031	Azaila	Indefinido	Hombres	8
Marzo 2010	44031	Azaila	Indefinido	Mujeres	13
Marzo 2010	44033	Báguena	Indefinido	Hombres	1
Marzo 2010	44033	Báguena	Indefinido	Mujeres	2
Marzo 2010	44034	Bañón	Indefinido	Hombres	2
Marzo 2010	44035	Barrachina	Indefinido	Hombres	1
Marzo 2010	44035	Barrachina	Indefinido	Mujeres	1
Marzo 2010	44037	Beceite	Indefinido	Hombres	28
Marzo 2010	44037	Beceite	Indefinido	Mujeres	14
Marzo 2010	44038	Belmonte de San José	Indefinido	Hombres	3
Marzo 2010	44038	Belmonte de San José	Indefinido	Mujeres	1
Marzo 2010	44039	Bello	Indefinido	Hombres	3
Marzo 2010	44039	Bello	Indefinido	Mujeres	3
Marzo 2010	44040	Berge	Indefinido	Hombres	3
Marzo 2010	44040	Berge	Indefinido	Mujeres	2
Marzo 2010	44041	Bezas	Indefinido	Hombres	1
Marzo 2010	44041	Bezas	Indefinido	Mujeres	1
Marzo 2010	44042	Blancas	Indefinido	Hombres	3
Marzo 2010	44042	Blancas	Indefinido	Mujeres	1
Marzo 2010	44044	Bordón	Indefinido	Hombres	5
Marzo 2010	44045	Bronchales	Indefinido	Hombres	27
Marzo 2010	44045	Bronchales	Indefinido	Mujeres	19
Marzo 2010	44047	Burbáguena	Indefinido	Hombres	1
Marzo 2010	44047	Burbáguena	Indefinido	Mujeres	26
Marzo 2010	44048	Cabra de Mora	Indefinido	Hombres	2
Marzo 2010	44048	Cabra de Mora	Indefinido	Mujeres	1
Marzo 2010	44049	Calaceite	Indefinido	Hombres	54
Marzo 2010	44049	Calaceite	Indefinido	Mujeres	29
Marzo 2010	44050	Calamocha	Indefinido	Hombres	401
Marzo 2010	44050	Calamocha	Indefinido	Mujeres	254
Marzo 2010	44051	Calanda	Indefinido	Hombres	307
Marzo 2010	44051	Calanda	Indefinido	Mujeres	152
Marzo 2010	44053	Camañas	Indefinido	Hombres	4
Marzo 2010	44054	Camarena de la Sierra	Indefinido	Hombres	4
Marzo 2010	44054	Camarena de la Sierra	Indefinido	Mujeres	5
Marzo 2010	44055	Camarillas	Indefinido	Hombres	1
Marzo 2010	44055	Camarillas	Indefinido	Mujeres	1
Marzo 2010	44056	Caminreal	Indefinido	Hombres	34
Marzo 2010	44056	Caminreal	Indefinido	Mujeres	12
Marzo 2010	44059	Cantavieja	Indefinido	Hombres	50
Marzo 2010	44059	Cantavieja	Indefinido	Mujeres	31
Marzo 2010	44060	Cañada de Benatanduz	Indefinido	Mujeres	3
Marzo 2010	44061	Cañada de Verich (La)	Indefinido	Hombres	10
Marzo 2010	44063	Cañizar del Olivar	Indefinido	Hombres	12
Marzo 2010	44063	Cañizar del Olivar	Indefinido	Mujeres	22
Marzo 2010	44066	Castel de Cabra	Indefinido	Hombres	5
Marzo 2010	44066	Castel de Cabra	Indefinido	Mujeres	1
Marzo 2010	44067	Castelnou	Indefinido	Hombres	36
Marzo 2010	44067	Castelnou	Indefinido	Mujeres	5
Marzo 2010	44068	Castelserás	Indefinido	Hombres	34
Marzo 2010	44068	Castelserás	Indefinido	Mujeres	14
Marzo 2010	44071	Castellote	Indefinido	Hombres	27
Marzo 2010	44071	Castellote	Indefinido	Mujeres	27
Marzo 2010	44074	Cedrillas	Indefinido	Hombres	87
Marzo 2010	44074	Cedrillas	Indefinido	Mujeres	39
