Año	Residencia provincia código	Residencia provincia nombre	Sexo	% de población de 0 a 19 años	% de población de 20 a 64 años	% de población de 65 y más años	% de población menor de 15	% de población menor de 25	% de población menor de 35	% de población menor de 45	Edad media de la población	Índice de envejecimiento	Índice de juventud	Índice de vejez	Índice de ancianidad	Índice de sobreenvejecimiento	Tasa global de dependencia	Tasa global de dependencia ancianos	Tasa global de dependencia jóvenes	Índice estructura de población activa total	Índice reemplazamiento edad activa total	Tasa de masculinidad	Índice de maternidad	Índice de potencialidad	Personas
1998	22	Huesca	Mujeres	18,2470386502947	56,1808936279244	25,5720677217809	12,322368291385	24,8122671817411	38,8513313755248	52,4725545459921	44,6178035753001	140,143659537697	48,1868280087865	207,525591810621	35,4849897876604	12,9908667000655	61,0161692134368	41,1751638342775	19,8410053791593	114,910971503939	78,5314349704047	0	7,77603641125829	106,353324177222	101474
1998	44	Teruel	Mujeres	18,7924906723296	52,6626259051158	28,5448834225545	13,2902712029377	24,56901001342	37,7132828975505	50,1865534073648	45,7668819773186	151,89515812603	46,5592064476131	214,780292942743	34,2426121099401	14,4916305021699	71,9251540275348	49,0758347912071	22,8493192363277	111,610998742688	64,2948992713245	0	9,14243469689502	108,315745040101	67809
1998	50	Zaragoza	Mujeres	18,6028813728614	59,755430517439	21,6416881096995	12,4463131459664	26,1114308408681	40,8895251775293	54,8545282453495	42,9360965911523	116,335140110452	57,5108239379354	173,880311831244	34,6223159930551	11,9711654688908	51,7174443273824	32,8342161093391	18,8832282180433	114,572508266415	86,1968408262454	0	7,59820737777908	109,087734410467	420494
1999	22	Huesca	Mujeres	17,7438564452737	56,1425622295446	26,1135813251816	12,1441899241733	24,269522410576	38,0572869109532	51,999880900393	44,9524395569495	147,169705783645	46,5052639580404	215,029421379536	35,9165368096994	13,4430466344875	61,9637030011735	42,2945233004871	19,6691797006864	113,183100553795	80,8221564187424	0	7,94660162459984	103,31650681474	100756
1999	44	Teruel	Mujeres	18,3395921542812	52,4080252547166	29,2523825910023	12,9983991382277	24,1281287870854	36,9993566630261	49,7643591316447	46,1106614401771	159,50399738946	44,4353518821604	225,046040515654	34,9324877250409	14,5407119476268	73,1625171636571	50,6541620249229	22,5083551387342	110,99732858415	69,1698656429942	0	8,75802997858672	104,124227750877	66839
1999	50	Zaragoza	Mujeres	17,8796644896313	59,8376834968845	22,2826520134842	12,0780919605977	25,2570480151158	40,0420560090395	54,1809861829366	43,4090638435535	124,625671954897	54,2040146446156	184,488179806685	35,135504776333	12,2838025501831	52,3478571428571	33,9471428571429	18,4007142857143	112,71013184592	87,498396682201	0	7,18821584945052	107,878130883779	426574
2000	22	Huesca	Mujeres	17,2640253689856	56,4362056140626	26,2997690169518	11,9523940022707	23,7579767450965	37,6600242727949	51,8791841208942	45,1374251262577	152,338567946029	45,4467641695508	220,037667867671	36,1467753340032	14,0523240668379	61,9489926928625	42,592211003503	19,3567816893595	112,261990223225	83,9204545454545	0	7,87688092638969	101,887253703613	102172
2000	44	Teruel	Mujeres	17,9050804315333	52,6482470809347	29,446672487532	12,7047785358057	23,6381394935847	36,5234635135335	49,8956683882616	46,2964275672236	164,459872716753	43,1450397024827	231,776354105999	35,6266961503669	15,0366871042316	72,8651829112305	50,9030442568432	21,9621386543873	111,381890196941	75,9328358208955	0	8,24479239479938	100,511304625709	67573
2000	50	Zaragoza	Mujeres	17,5135262563067	59,9065815839529	22,5798921597404	12,0519463710805	24,7147410192823	39,6032144070519	54,0151198237947	43,6066407504906	128,928302783166	53,37468525456	187,354734783109	35,6465843722492	12,7187864644107	52,9796735175881	34,5426453065944	18,4370282109938	111,666388099616	88,4583827149239	0	7,50867121157756	106,41303984769	432677
2001	22	Huesca	Mujeres	16,8447523434901	56,552965811464	26,6022818450459	11,8319340887297	23,2626861582418	37,0339928374332	51,4970938765925	45,4192841347189	157,926227127505	44,4771398094678	224,834601389348	36,5579137087579	14,7423400890131	62,4278834692223	43,2095233554252	19,2183601137971	109,537328061104	82,625786163522	0	7,88882469991655	98,3413564653734	102198
2001	44	Teruel	Mujeres	17,5700351846078	52,5171098145756	29,9128550008165	12,5090930684838	23,2099645184756	35,9788595436393	49,5598212562538	46,5495553675084	170,249260667512	41,8184525286615	239,128886779017	35,7983026452926	15,4002680033749	73,6772896039604	51,9518358085809	21,7254537953795	110,089266034825	77,7620796835264	0	8,06564490167262	97,1101887383507	67359
2001	50	Zaragoza	Mujeres	17,0219441479982	60,1755623445566	22,8024935074453	11,8379769794849	24,0595528725261	39,1747241523037	53,790873323043	43,8444512130886	133,959395643575	51,9152739836092	192,621539532994	36,153181745139	13,0453559376507	52,9998773629531	34,8877871020866	18,1120902608665	110,399676787024	84,591411155415	0	7,41512086372479	105,252219707521	436654
2002	22	Huesca	Mujeres	16,7567724402062	56,6824956236641	26,5607319361297	11,8920278151204	23,0606303857946	37,0987552830353	51,6562376084413	45,3643190808244	158,507445457694	44,7729672650475	223,349056603774	37,2828897061501	14,743473036449	62,4768220245765	43,1550331562903	19,3217888682862	109,476676141114	85,8906150244733	0	8,2602569764263	97,873429502094	103397
2002	44	Teruel	Mujeres	17,4150162577594	52,9101389299438	29,6748448122968	12,3721548921076	23,1347916050842	35,9518179130949	49,8684599467928	46,4513892994384	170,398031061699	41,6923996413985	239,851869549636	36,6221735232593	15,0762028090447	72,5536201576088	51,2050189997705	21,3486011578384	109,338479099853	83,0171358629131	0	8,04511020464128	94,8785838565701	67660
2002	50	Zaragoza	Mujeres	16,923765316315	60,2831173644413	22,7931173192438	11,9531663133726	23,7189888407284	39,0771115158802	53,8876660444473	43,8343962287176	134,681123811559	52,441998810232	190,686858374454	36,6051953202459	13,1350386674598	53,2479766163692	34,9299910995363	18,317985516833	110,215065671443	86,3483523873571	0	7,73982981699499	103,788207642058	442502
2003	22	Huesca	Mujeres	16,7066063417814	56,8661094283195	26,4272842298992	11,9761512211955	22,8758483186994	36,958897281546	51,5921552087727	45,3871496491699	158,184634804062	45,3173739571999	220,665919641428	38,0848748639826	15,1142546245919	62,3467164643635	42,9038281979458	19,4428882664177	108,054022082019	86,5322055953155	0	8,43370983203434	96,3736714865666	104324
2003	44	Teruel	Mujeres	17,3591005951944	53,1559997060769	29,4848996987288	12,4182526269381	23,1523256668381	35,8880152840032	50,0433536630171	46,3807553824675	169,852692177447	42,117330409211	237,431952662722	37,4769476150127	14,9479140706774	72,1263786299707	50,751290094101	21,3750885358697	108,775510204082	88,1068752036494	0	8,13473256601219	92,9108327192336	68045
2003	50	Zaragoza	Mujeres	16,9390249625149	60,474491129827	22,5864839076581	12,1246181658104	23,4966291331386	38,9371434445187	53,8494025845175	43,8274265883967	133,33992929133	53,6808571682974	186,286146077148	37,336881783195	13,1543278886394	53,1653974501583	34,5946778471806	18,5707196029777	108,323995286395	82,5990670498987	0	8,10078844962888	102,136224516263	447511
