Comarca código	Comarca nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
01	La Jacetania	Nacionalidad española	Europa	01	UE-15	16256
01	La Jacetania	Nacionalidad extranjera	Europa	01	UE-15	91
01	La Jacetania	Nacionalidad extranjera	Europa	02	Resto de Europa	43
01	La Jacetania	Nacionalidad extranjera	África	03	Magreb	24
01	La Jacetania	Nacionalidad extranjera	África	04	Resto de África	5
01	La Jacetania	Nacionalidad extranjera	América	05	América del Norte	4
01	La Jacetania	Nacionalidad extranjera	América	06	Resto de América	243
01	La Jacetania	Nacionalidad extranjera	Asia	07	Asia	8
01	La Jacetania	Nacionalidad extranjera	Oceanía	08	Oceanía	2
02	Alto Gállego	Nacionalidad española	Europa	01	UE-15	11959
02	Alto Gállego	Nacionalidad extranjera	Europa	01	UE-15	59
02	Alto Gállego	Nacionalidad extranjera	Europa	02	Resto de Europa	29
02	Alto Gállego	Nacionalidad extranjera	África	03	Magreb	20
02	Alto Gállego	Nacionalidad extranjera	América	06	Resto de América	107
02	Alto Gállego	Nacionalidad extranjera	Asia	07	Asia	2
03	Sobrarbe	Nacionalidad española	Europa	01	UE-15	6666
03	Sobrarbe	Nacionalidad extranjera	Europa	01	UE-15	67
03	Sobrarbe	Nacionalidad extranjera	Europa	02	Resto de Europa	11
03	Sobrarbe	Nacionalidad extranjera	África	03	Magreb	9
03	Sobrarbe	Nacionalidad extranjera	África	04	Resto de África	3
03	Sobrarbe	Nacionalidad extranjera	América	05	América del Norte	2
03	Sobrarbe	Nacionalidad extranjera	América	06	Resto de América	42
03	Sobrarbe	Nacionalidad extranjera	Asia	07	Asia	3
04	La Ribagorza	Nacionalidad española	Europa	01	UE-15	11393
04	La Ribagorza	Nacionalidad extranjera	Europa	01	UE-15	107
04	La Ribagorza	Nacionalidad extranjera	Europa	02	Resto de Europa	92
04	La Ribagorza	Nacionalidad extranjera	África	03	Magreb	19
04	La Ribagorza	Nacionalidad extranjera	África	04	Resto de África	13
04	La Ribagorza	Nacionalidad extranjera	América	05	América del Norte	2
04	La Ribagorza	Nacionalidad extranjera	América	06	Resto de América	160
04	La Ribagorza	Nacionalidad extranjera	Asia	07	Asia	3
04	La Ribagorza	Nacionalidad extranjera	Oceanía	08	Oceanía	3
05	Cinco Villas	Nacionalidad española	Europa	01	UE-15	30868
05	Cinco Villas	Nacionalidad extranjera	Europa	01	UE-15	56
05	Cinco Villas	Nacionalidad extranjera	Europa	02	Resto de Europa	367
05	Cinco Villas	Nacionalidad extranjera	África	03	Magreb	601
05	Cinco Villas	Nacionalidad extranjera	África	04	Resto de África	46
05	Cinco Villas	Nacionalidad extranjera	América	05	América del Norte	6
05	Cinco Villas	Nacionalidad extranjera	América	06	Resto de América	265
06	Hoya de Huesca / Plana de Uesca	Nacionalidad española	Europa	01	UE-15	58902
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	Europa	01	UE-15	177
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	Europa	02	Resto de Europa	166
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	África	03	Magreb	219
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	África	04	Resto de África	256
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	América	05	América del Norte	21
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	América	06	Resto de América	454
06	Hoya de Huesca / Plana de Uesca	Nacionalidad extranjera	Asia	07	Asia	59
07	Somontano de Barbastro	Nacionalidad española	Europa	01	UE-15	22111
07	Somontano de Barbastro	Nacionalidad extranjera	Europa	01	UE-15	72
07	Somontano de Barbastro	Nacionalidad extranjera	Europa	02	Resto de Europa	97
07	Somontano de Barbastro	Nacionalidad extranjera	África	03	Magreb	215
07	Somontano de Barbastro	Nacionalidad extranjera	África	04	Resto de África	64
07	Somontano de Barbastro	Nacionalidad extranjera	América	05	América del Norte	3
07	Somontano de Barbastro	Nacionalidad extranjera	América	06	Resto de América	194
07	Somontano de Barbastro	Nacionalidad extranjera	Asia	07	Asia	14
07	Somontano de Barbastro	Nacionalidad extranjera	Oceanía	08	Oceanía	2
08	Cinca Medio	Nacionalidad española	Europa	01	UE-15	21153
08	Cinca Medio	Nacionalidad extranjera	Europa	01	UE-15	34
08	Cinca Medio	Nacionalidad extranjera	Europa	02	Resto de Europa	172
08	Cinca Medio	Nacionalidad extranjera	África	03	Magreb	400
08	Cinca Medio	Nacionalidad extranjera	África	04	Resto de África	263
08	Cinca Medio	Nacionalidad extranjera	América	05	América del Norte	5
08	Cinca Medio	Nacionalidad extranjera	América	06	Resto de América	81
08	Cinca Medio	Nacionalidad extranjera	Asia	07	Asia	9
08	Cinca Medio	Nacionalidad extranjera	Oceanía	08	Oceanía	15
09	La Litera / La Llitera	Nacionalidad española	Europa	01	UE-15	17861
09	La Litera / La Llitera	Nacionalidad extranjera	Europa	01	UE-15	29
09	La Litera / La Llitera	Nacionalidad extranjera	Europa	02	Resto de Europa	85
09	La Litera / La Llitera	Nacionalidad extranjera	África	03	Magreb	59
09	La Litera / La Llitera	Nacionalidad extranjera	África	04	Resto de África	277
09	La Litera / La Llitera	Nacionalidad extranjera	América	05	América del Norte	3
09	La Litera / La Llitera	Nacionalidad extranjera	América	06	Resto de América	163
09	La Litera / La Llitera	Nacionalidad extranjera	Asia	07	Asia	7
09	La Litera / La Llitera	Nacionalidad extranjera	Oceanía	08	Oceanía	3
10	Los Monegros	Nacionalidad española	Europa	01	UE-15	20564
10	Los Monegros	Nacionalidad extranjera	Europa	01	UE-15	44
10	Los Monegros	Nacionalidad extranjera	Europa	02	Resto de Europa	127
10	Los Monegros	Nacionalidad extranjera	África	03	Magreb	92
10	Los Monegros	Nacionalidad extranjera	África	04	Resto de África	27
10	Los Monegros	Nacionalidad extranjera	América	05	América del Norte	7
10	Los Monegros	Nacionalidad extranjera	América	06	Resto de América	128
11	Bajo Cinca / Baix Cinca	Nacionalidad española	Europa	01	UE-15	21382
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	Europa	01	UE-15	21
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	263
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	África	03	Magreb	371
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	África	04	Resto de África	105
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	América	05	América del Norte	6
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	América	06	Resto de América	98
