Provincia codigo	Provincia nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22	Huesca	511	a) No hay SAU
22	Huesca	2806	b) < 10% de la SAU en propiedad
22	Huesca	713	c) >=10% a < 25%  de la SAU en propiedad
22	Huesca	1048	d) >=25% a < 50%  de la SAU en propiedad
22	Huesca	1327	e) >=50% a < 75%  de la SAU en propiedad
22	Huesca	773	f) >= 75% a < 90%  de la SAU en propiedad
22	Huesca	9102	g) >= 90%  de la SAU en propiedad
44	Teruel	406	a) No hay SAU
44	Teruel	1681	b) < 10% de la SAU en propiedad
44	Teruel	610	c) >=10% a < 25%  de la SAU en propiedad
44	Teruel	767	d) >=25% a < 50%  de la SAU en propiedad
44	Teruel	1068	e) >=50% a < 75%  de la SAU en propiedad
44	Teruel	590	f) >= 75% a < 90%  de la SAU en propiedad
44	Teruel	6699	g) >= 90%  de la SAU en propiedad
50	Zaragoza	560	a) No hay SAU
50	Zaragoza	3609	b) < 10% de la SAU en propiedad
50	Zaragoza	1199	c) >=10% a < 25%  de la SAU en propiedad
50	Zaragoza	1693	d) >=25% a < 50%  de la SAU en propiedad
50	Zaragoza	2258	e) >=50% a < 75%  de la SAU en propiedad
50	Zaragoza	1097	f) >= 75% a < 90%  de la SAU en propiedad
50	Zaragoza	14257	g) >= 90%  de la SAU en propiedad
