Municipio código	Municipio nombre	Número total de explotaciones	Producción estándar total (euros)
22001	Abiego	53	2353624,08
22002	Abizanda	27	1428801,75
22003	Adahuesca	56	3766203,91
22004	Agüero	26	189080,35
22006	Aísa	20	589936,43
22007	Albalate de Cinca	154	12000428,73
22008	Albalatillo	17	4224769,99
22009	Albelda	259	26170775,75
22011	Albero Alto	21	2934335,7
22012	Albero Bajo	32	1886949,91
22013	Alberuela de Tubo	41	2890935,93
22014	Alcalá de Gurrea	44	2925982,62
22015	Alcalá del Obispo	80	12347100
22016	Alcampell	195	13684679,58
22017	Alcolea de Cinca	164	15125140,82
22018	Alcubierre	79	15710627,8
22019	Alerre	14	369865,43
22020	Alfántega	23	3636820,47
22021	Almudévar	331	13544840,6
22022	Almunia de San Juan	77	6030847,93
22023	Almuniente	107	12519798,09
22024	Alquézar	55	662889,87
22025	Altorricón	180	27659719,45
22027	Angüés	65	3754231,75
22028	Ansó	25	994063,92
22029	Antillón	40	3212012,71
22032	Aragüés del Puerto	9	137231,27
22035	Arén	85	7442878,35
22036	Argavieso	28	1950084,06
22037	Arguis	14	896042,05
22039	Ayerbe	91	1918568,68
22040	Azanuy-Alins	62	2244233,04
22041	Azara	39	1104576,09
22042	Azlor	40	949471,65
22043	Baells	46	1753972,33
22044	Bailo	71	2350867,25
22045	Baldellou	51	1556054,45
22046	Ballobar	147	7515892,48
22047	Banastás	5	144930,39
22048	Barbastro	374	12018617,07
22049	Barbués	31	3349315,56
22050	Barbuñales	25	481330,89
22051	Bárcabo	68	4974107,77
22052	Belver de Cinca	231	27397678,16
22053	Benabarre	164	17293757,03
22054	Benasque	40	4050384,86
22055	Berbegal	89	4535897,07
22057	Bielsa	25	376253,87
22058	Bierge	111	4678922,3
22059	Biescas	84	2221009,64
22060	Binaced	272	26795055,38
22061	Binéfar	181	8039926,51
22062	Bisaurri	48	1076126,07
22063	Biscarrués	50	3220967,26
22064	Blecua y Torres	43	4860291,04
22066	Boltaña	46	2042048,4
22067	Bonansa	13	796643,1
22068	Borau	6	211022,51
22069	Broto	49	1259409,91
22072	Caldearenas	64	2570774,03
22074	Campo	13	2025907,48
22075	Camporrells	48	2703955,7
22076	Canal de Berdún	102	2785527,22
22077	Candasnos	102	10525377,28
22078	Canfranc	4	63580,2
22079	Capdesaso	23	1400079,8
22080	Capella	65	8507997,4
22081	Casbas de Huesca	99	4543167,38
22082	Castejón del Puente	53	2243302,47
22083	Castejón de Monegros	127	12501733,78
22084	Castejón de Sos	28	942907,56
22085	Castelflorite	42	3615347,49
22086	Castiello de Jaca	15	1067783,99
22087	Castigaleu	20	1250253,61
22088	Castillazuelo	46	1438759,01
22089	Castillonroy	77	7221061,98
22090	Colungo	43	653684,39
22094	Chalamera	28	3608434,81
22095	Chía	12	309134,48
22096	Chimillas	12	402691,1
22099	Esplús	117	18046506,19
22102	Estada	31	2131777,09
22103	Estadilla	131	10090604,66
22105	Estopiñán del Castillo	85	13653526,53
22106	Fago	1	109,41
22107	Fanlo	31	1844936,37
22109	Fiscal	36	1107645,07
22110	Fonz	180	17651755,44
22111	Foradada del Toscar	69	4768383,32
22112	Fraga	831	103188832,32
22113	Fueva (La)	128	8877537,51
22114	Gistaín	34	529109,28
22115	Grado (El)	104	3284974,7
22116	Grañén	206	36024057,45
22117	Graus	283	14957517,64
22119	Gurrea de Gállego	211	12933075,03
22122	Hoz de Jaca	5	149531,98
22124	Huerto	87	4951750,64
22125	Huesca	316	43704768,13
22126	Ibieca	23	1924812,45
22127	Igriés	31	15346407,23
22128	Ilche	88	6883908,68
22129	Isábena	53	3279255,28
22130	Jaca	206	9258981,5
22131	Jasa	6	163764,68
22133	Labuerda	9	312538,73
22135	Laluenga	58	5879068,67
22136	Lalueza	196	18817944,54
22137	Lanaja	234	17843052,59
22139	Laperdiguera	21	3535851,56
22141	Lascellas-Ponzano	48	3022028,63
22142	Lascuarre	29	2791132,3
22143	Laspaúles	38	1426099,49
22144	Laspuña	32	1730933,5
22149	Loarre	81	3994710,88
22150	Loporzano	116	16959239,22
22151	Loscorrales	37	1068973,69
22155	Monesma y Cajigar	32	1939422,42
22156	Monflorite-Lascasas	45	3958587,59
22157	Montanuy	98	6617314,21
22158	Monzón	477	28783024,54
22160	Naval	38	3623742,31
22162	Novales	24	2200207,32
22163	Nueno	68	12224471,45
22164	Olvena	23	515562,72
22165	Ontiñena	138	5763237,49
22167	Osso de Cinca	124	17912693,07
22168	Palo	12	4118421,3
22170	Panticosa	19	476347,2
22172	Peñalba	137	16652307,33
22173	Peñas de Riglos (Las)	50	828094,48
22174	Peralta de Alcofea	141	17977373,66
22175	Peralta de Calasanz	106	2784866,19
22176	Peraltilla	37	1668218,96
22177	Perarrúa	25	1492407
22178	Pertusa	33	3303255,65
22181	Piracés	25	1727776,11
22182	Plan	40	896775,33
22184	Poleñino	55	8602191,08
22186	Pozán de Vero	60	882050,13
22187	Puebla de Castro (La)	40	727753,79
22188	Puente de Montañana	10	398676,04
22189	Puértolas	25	1587083,16
22190	Pueyo de Araguás (El)	36	2739442,37
22193	Pueyo de Santa Cruz	36	4211906,93
22195	Quicena	15	383946,49
22197	Robres	131	20407845,44
22199	Sabiñánigo	170	6829277,34
22200	Sahún	25	431784,2
22201	Salas Altas	97	1452242,1
22202	Salas Bajas	45	453844,25
22203	Salillas	21	5467095,2
22204	Sallent de Gállego	64	1645091,31
22205	San Esteban de Litera	240	11128236,79
22206	Sangarrén	47	3764861,5
22207	San Juan de Plan	24	656009,17
22208	Santa Cilia	31	1297799,83
22209	Santa Cruz de la Serós	22	708948,42
22212	Santaliestra y San Quílez	14	437075,3
22213	Sariñena	383	34771693,64
22214	Secastilla	25	1480158,3
22215	Seira	23	219856,63
22217	Sena	132	9569532,9
22218	Senés de Alcubierre	21	3057697,61
22220	Sesa	34	3543199,85
22221	Sesué	11	214639,73
22222	Siétamo	60	5449124,71
22223	Sopeira	22	519581,46
22225	Tamarite de Litera	480	60748733,19
22226	Tardienta	78	3101651,22
22227	Tella-Sin	22	738515,66
22228	Tierz	16	1351138,1
22229	Tolva	60	3821725,66
22230	Torla	35	747435,58
22232	Torralba de Aragón	46	2860836,28
22233	Torre la Ribera	23	754029,33
22234	Torrente de Cinca	92	7334918,03
22235	Torres de Alcanadre	23	2552898,34
22236	Torres de Barbués	46	4360966,79
22239	Tramaced	29	4906003,15
22242	Valfarta	30	1642364,83
22243	Valle de Bardají	29	2636635,81
22244	Valle de Lierp	34	2425795,83
22245	Velilla de Cinca	53	5162177,49
22246	Veracruz	20	303503,84
22247	Viacamp y Litera	42	3345932,44
22248	Vicién	11	1000942,34
22249	Villanova	8	128884,52
22250	Villanúa	13	327337,31
22251	Villanueva de Sigena	122	15129020,18
22252	Yebra de Basa	26	910579,11
