Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	01	La Jacetania		37956	26197	156065	156065
2003	02	Alto Gállego		16188	11910	77747	77747
2003	03	Sobrarbe		27867	19470	125756	125756
2003	04	La Ribagorza		33225	29665	191935	191935
2003	05	Cinco Villas		237201	209231	1301228	1301228
2003	06	Hoya de Huesca / Plana de Uesca		134788	129452	750617	750617
2003	07	Somontano de Barbastro		56749	55166	350139	350139
2003	08	Cinca Medio		92505	90939	567878	567878
2003	09	La Litera / La Llitera		77040	75895	526283	526283
2003	10	Los Monegros		196758	184854	1173103	1173103
2003	11	Bajo Cinca / Baix Cinca		134542	128419	790067	790067
2003	12	Tarazona y el Moncayo		27067	25259	146231	146231
2003	13	Campo de Borja		42505	40092	260099	260099
2003	14	Aranda		8884	7122	31421	31421
2003	15	Ribera Alta del Ebro		69815	66937	385084	385084
2003	16	Valdejalón		91959	84437	497610	497610
2003	17	D.C. Zaragoza		160818	144589	893840	893840
2003	18	Ribera Baja del Ebro		57739	53440	307941	307941
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp		44602	41508	268490	268490
2003	20	Comunidad de Calatayud		83909	76009	394724	394724
2003	21	Campo de Cariñena		40130	38398	240362	240362
2003	22	Campo de Belchite		29670	27103	180978	180978
2003	23	Bajo Martín		30162	29942	192023	192023
2003	24	Campo de Daroca		32270	27899	125992	125992
2003	25	Jiloca		52543	51719	295990	295990
2003	26	Cuencas Mineras		24424	22890	134590	134590
2003	27	Andorra-Sierra de Arcos		12206	11433	81682	81682
2003	28	Bajo Aragón		40909	39266	190863	190863
2003	29	Comunidad de Teruel		66882	64436	353619	353619
2003	30	Maestrazgo		17941	14562	81942	81942
2003	31	Sierra de Albarracín		40421	12477	55261	55261
2003	32	Gúdar-Javalambre		35965	19767	123730	123730
2003	33	Matarraña / Matarranya		21441	15795	85588	85588
2004	01	La Jacetania		38703	26291	146637	119534
2004	02	Alto Gállego		17205	12224	81410	59475
2004	03	Sobrarbe		30428	21697	140277	110142
2004	04	La Ribagorza		33910	29431	195436	177589
