Provincia código	Provincia nombre	Año de construcción	Combustible	Número hogares
22	Huesca	1997	Electricidad	57
22	Huesca	1997	Derivados del petróleo	242
22	Huesca	1997	Madera	8
22	Huesca	1997	Otros	3
22	Huesca	1998	Gas	396
22	Huesca	1998	Electricidad	65
22	Huesca	1998	Derivados del petróleo	331
22	Huesca	1998	Madera	8
22	Huesca	1998	Derivados del carbón	1
22	Huesca	1999	Gas	616
22	Huesca	1999	Electricidad	52
22	Huesca	1999	Derivados del petróleo	291
22	Huesca	1999	Madera	9
22	Huesca	1999	Otros	6
22	Huesca	2000	Gas	506
22	Huesca	2000	Electricidad	55
22	Huesca	2000	Derivados del petróleo	266
22	Huesca	2000	Madera	13
22	Huesca	2000	Otros	1
22	Huesca	2001	Gas	363
22	Huesca	2001	Electricidad	31
22	Huesca	2001	Derivados del petróleo	205
22	Huesca	2001	Madera	3
44	Teruel	 Antes de 1900	Gas	125
44	Teruel	 Antes de 1900	Electricidad	248
44	Teruel	 Antes de 1900	Derivados del petróleo	2050
44	Teruel	 Antes de 1900	Madera	365
44	Teruel	 Antes de 1900	Derivados del carbón	77
44	Teruel	 Antes de 1900	Otros	13
44	Teruel	1900 - 1920	Gas	79
44	Teruel	1900 - 1920	Electricidad	109
44	Teruel	1900 - 1920	Derivados del petróleo	662
44	Teruel	1900 - 1920	Madera	87
44	Teruel	1900 - 1920	Derivados del carbón	37
44	Teruel	1900 - 1920	Otros	18
44	Teruel	1921 - 1940	Gas	108
44	Teruel	1921 - 1940	Electricidad	108
44	Teruel	1921 - 1940	Derivados del petróleo	843
44	Teruel	1921 - 1940	Madera	92
44	Teruel	1921 - 1940	Derivados del carbón	23
44	Teruel	1921 - 1940	Otros	24
44	Teruel	1941 - 1950	Gas	176
44	Teruel	1941 - 1950	Electricidad	169
44	Teruel	1941 - 1950	Derivados del petróleo	865
44	Teruel	1941 - 1950	Madera	104
44	Teruel	1941 - 1950	Derivados del carbón	43
44	Teruel	1941 - 1950	Otros	25
44	Teruel	1951 - 1960	Gas	310
44	Teruel	1951 - 1960	Electricidad	317
44	Teruel	1951 - 1960	Derivados del petróleo	1387
44	Teruel	1951 - 1960	Madera	143
44	Teruel	1951 - 1960	Derivados del carbón	86
44	Teruel	1951 - 1960	Otros	33
44	Teruel	1961 - 1970	Gas	742
44	Teruel	1961 - 1970	Electricidad	387
44	Teruel	1961 - 1970	Derivados del petróleo	1943
44	Teruel	1961 - 1970	Madera	188
44	Teruel	1961 - 1970	Derivados del carbón	81
44	Teruel	1961 - 1970	Otros	54
44	Teruel	1971 - 1980	Gas	1187
44	Teruel	1971 - 1980	Electricidad	689
44	Teruel	1971 - 1980	Derivados del petróleo	4507
44	Teruel	1971 - 1980	Madera	397
44	Teruel	1971 - 1980	Derivados del carbón	148
44	Teruel	1971 - 1980	Otros	112
44	Teruel	1981 - 1990	Gas	746
44	Teruel	1981 - 1990	Electricidad	958
44	Teruel	1981 - 1990	Derivados del petróleo	4343
44	Teruel	1981 - 1990	Madera	359
44	Teruel	1981 - 1990	Derivados del carbón	178
44	Teruel	1981 - 1990	Otros	71
44	Teruel	1991	Gas	76
44	Teruel	1991	Electricidad	177
44	Teruel	1991	Derivados del petróleo	399
44	Teruel	1991	Madera	16
44	Teruel	1991	Derivados del carbón	6
44	Teruel	1991	Otros	1
44	Teruel	1992	Gas	98
44	Teruel	1992	Electricidad	127
44	Teruel	1992	Derivados del petróleo	373
44	Teruel	1992	Madera	20
44	Teruel	1992	Derivados del carbón	2
44	Teruel	1992	Otros	2
44	Teruel	1993	Gas	94
44	Teruel	1993	Electricidad	173
44	Teruel	1993	Derivados del petróleo	359
44	Teruel	1993	Madera	10
44	Teruel	1993	Derivados del carbón	3
44	Teruel	1993	Otros	4
44	Teruel	1994	Gas	87
44	Teruel	1994	Electricidad	126
44	Teruel	1994	Derivados del petróleo	328
44	Teruel	1994	Madera	17
44	Teruel	1994	Derivados del carbón	2
44	Teruel	1994	Otros	2
44	Teruel	1995	Gas	182
44	Teruel	1995	Electricidad	84
44	Teruel	1995	Derivados del petróleo	321
44	Teruel	1995	Madera	11
44	Teruel	1995	Derivados del carbón	3
44	Teruel	1995	Otros	2
44	Teruel	1996	Gas	203
44	Teruel	1996	Electricidad	85
44	Teruel	1996	Derivados del petróleo	255
44	Teruel	1996	Madera	14
44	Teruel	1996	Derivados del carbón	5
44	Teruel	1996	Otros	4
44	Teruel	1997	Gas	97
44	Teruel	1997	Electricidad	50
44	Teruel	1997	Derivados del petróleo	219
44	Teruel	1997	Madera	11
44	Teruel	1997	Derivados del carbón	2
44	Teruel	1997	Otros	2
44	Teruel	1998	Gas	126
44	Teruel	1998	Electricidad	54
44	Teruel	1998	Derivados del petróleo	245
44	Teruel	1998	Madera	9
44	Teruel	1998	Derivados del carbón	1
44	Teruel	1998	Otros	3
44	Teruel	1999	Gas	154
44	Teruel	1999	Electricidad	68
44	Teruel	1999	Derivados del petróleo	331
44	Teruel	1999	Madera	8
44	Teruel	1999	Derivados del carbón	4
44	Teruel	1999	Otros	1
44	Teruel	2000	Gas	125
44	Teruel	2000	Electricidad	47
44	Teruel	2000	Derivados del petróleo	255
44	Teruel	2000	Madera	5
44	Teruel	2000	Derivados del carbón	1
44	Teruel	2000	Otros	3
44	Teruel	2001	Gas	247
44	Teruel	2001	Electricidad	43
44	Teruel	2001	Derivados del petróleo	215
44	Teruel	2001	Madera	6
44	Teruel	2001	Derivados del carbón	2
44	Teruel	2001	Otros	1
50	Zaragoza	 Antes de 1900	Gas	1027
50	Zaragoza	 Antes de 1900	Electricidad	949
50	Zaragoza	 Antes de 1900	Derivados del petróleo	4499
50	Zaragoza	 Antes de 1900	Madera	595
50	Zaragoza	 Antes de 1900	Derivados del carbón	99
50	Zaragoza	 Antes de 1900	Otros	30
50	Zaragoza	1900 - 1920	Gas	666
50	Zaragoza	1900 - 1920	Electricidad	399
50	Zaragoza	1900 - 1920	Derivados del petróleo	2043
50	Zaragoza	1900 - 1920	Madera	187
50	Zaragoza	1900 - 1920	Derivados del carbón	95
50	Zaragoza	1900 - 1920	Otros	28
50	Zaragoza	1921 - 1940	Gas	1795
50	Zaragoza	1921 - 1940	Electricidad	686
50	Zaragoza	1921 - 1940	Derivados del petróleo	2832
50	Zaragoza	1921 - 1940	Madera	206
50	Zaragoza	1921 - 1940	Derivados del carbón	230
50	Zaragoza	1921 - 1940	Otros	32
50	Zaragoza	1941 - 1950	Gas	3352
50	Zaragoza	1941 - 1950	Electricidad	947
50	Zaragoza	1941 - 1950	Derivados del petróleo	3242
50	Zaragoza	1941 - 1950	Madera	246
50	Zaragoza	1941 - 1950	Derivados del carbón	630
50	Zaragoza	1941 - 1950	Otros	42
50	Zaragoza	1951 - 1960	Gas	9878
50	Zaragoza	1951 - 1960	Electricidad	2990
50	Zaragoza	1951 - 1960	Derivados del petróleo	7024
50	Zaragoza	1951 - 1960	Madera	494
50	Zaragoza	1951 - 1960	Derivados del carbón	1247
50	Zaragoza	1951 - 1960	Otros	108
50	Zaragoza	1961 - 1970	Gas	22124
50	Zaragoza	1961 - 1970	Electricidad	4950
50	Zaragoza	1961 - 1970	Derivados del petróleo	13306
50	Zaragoza	1961 - 1970	Madera	556
50	Zaragoza	1961 - 1970	Derivados del carbón	3844
50	Zaragoza	1961 - 1970	Otros	288
50	Zaragoza	1971 - 1980	Gas	17620
50	Zaragoza	1971 - 1980	Electricidad	3134
50	Zaragoza	1971 - 1980	Derivados del petróleo	36138
50	Zaragoza	1971 - 1980	Madera	619
50	Zaragoza	1971 - 1980	Derivados del carbón	3915
50	Zaragoza	1971 - 1980	Otros	434
50	Zaragoza	1981 - 1990	Gas	24080
50	Zaragoza	1981 - 1990	Electricidad	3426
50	Zaragoza	1981 - 1990	Derivados del petróleo	19583
50	Zaragoza	1981 - 1990	Madera	468
50	Zaragoza	1981 - 1990	Derivados del carbón	389
50	Zaragoza	1981 - 1990	Otros	175
50	Zaragoza	1991	Gas	4160
50	Zaragoza	1991	Electricidad	734
50	Zaragoza	1991	Derivados del petróleo	1412
50	Zaragoza	1991	Madera	33
50	Zaragoza	1991	Derivados del carbón	26
50	Zaragoza	1991	Otros	3
50	Zaragoza	1992	Gas	2665
50	Zaragoza	1992	Electricidad	583
50	Zaragoza	1992	Derivados del petróleo	1119
50	Zaragoza	1992	Madera	29
50	Zaragoza	1992	Derivados del carbón	17
50	Zaragoza	1992	Otros	13
50	Zaragoza	1993	Gas	2286
50	Zaragoza	1993	Electricidad	491
50	Zaragoza	1993	Derivados del petróleo	1042
50	Zaragoza	1993	Madera	31
50	Zaragoza	1993	Derivados del carbón	11
50	Zaragoza	1993	Otros	7
50	Zaragoza	1994	Gas	2669
50	Zaragoza	1994	Electricidad	532
50	Zaragoza	1994	Derivados del petróleo	1000
50	Zaragoza	1994	Madera	29
50	Zaragoza	1994	Derivados del carbón	17
50	Zaragoza	1994	Otros	13
50	Zaragoza	1995	Gas	2339
50	Zaragoza	1995	Electricidad	575
50	Zaragoza	1995	Derivados del petróleo	965
50	Zaragoza	1995	Madera	12
50	Zaragoza	1995	Derivados del carbón	8
50	Zaragoza	1995	Otros	13
50	Zaragoza	1996	Gas	2981
50	Zaragoza	1996	Electricidad	392
50	Zaragoza	1996	Derivados del petróleo	1265
50	Zaragoza	1996	Madera	18
50	Zaragoza	1996	Derivados del carbón	13
50	Zaragoza	1996	Otros	12
50	Zaragoza	1997	Gas	3120
50	Zaragoza	1997	Electricidad	296
50	Zaragoza	1997	Derivados del petróleo	795
50	Zaragoza	1997	Madera	18
50	Zaragoza	1997	Derivados del carbón	16
50	Zaragoza	1997	Otros	5
50	Zaragoza	1998	Gas	2968
50	Zaragoza	1998	Electricidad	491
50	Zaragoza	1998	Derivados del petróleo	1047
50	Zaragoza	1998	Madera	23
50	Zaragoza	1998	Derivados del carbón	20
50	Zaragoza	1998	Otros	13
50	Zaragoza	1999	Gas	2668
50	Zaragoza	1999	Electricidad	296
50	Zaragoza	1999	Derivados del petróleo	1000
50	Zaragoza	1999	Madera	19
50	Zaragoza	1999	Derivados del carbón	16
50	Zaragoza	1999	Otros	7
50	Zaragoza	2000	Gas	2584
50	Zaragoza	2000	Electricidad	296
50	Zaragoza	2000	Derivados del petróleo	853
50	Zaragoza	2000	Madera	13
50	Zaragoza	2000	Derivados del carbón	16
50	Zaragoza	2000	Otros	11
50	Zaragoza	2001	Gas	1649
50	Zaragoza	2001	Electricidad	243
50	Zaragoza	2001	Derivados del petróleo	682
50	Zaragoza	2001	Madera	21
50	Zaragoza	2001	Derivados del carbón	14
50	Zaragoza	2001	Otros	8
