Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
31	Sierra de Albarracín	2015	Regadío	405	286	119	0	10	10	0	2	2	0	0	0	0	0	0	0	0	417
31	Sierra de Albarracín	2015	Secano	15813	8716	7095	2	46107	667	28698	76548	38329	38219	0	2515	16742	0	194	1837	484	140983
32	Gúdar-Javalambre	2015	Regadío	1289	551	724	14	137	137	0	26	26	0	0	0	0	0	0	0	0	1452
32	Gúdar-Javalambre	2015	Secano	17167	8682	8144	341	77671	1461	48785	130017	71001	58440	576	10103	27425	0	696	7270	2137	234958
33	Matarraña / Matarranya	2015	Regadío	1098	113	479	506	0	0	0	8	8	0	0	0	0	0	0	0	0	1106
33	Matarraña / Matarranya	2015	Secano	26303	3042	4541	18720	12777	0	928	50084	39751	8947	1386	3030	11849	0	526	1536	968	92194
01	La Jacetania	2014	Regadío	1313	1086	227	0	0	0	0	2	2	0	0	0	0		0	0	0	1315
01	La Jacetania	2014	Secano	21143	18372	2690	81	14295	1472	12823	115234	79219	16059	19956	33778	24755		1146	3131	4746	184450
02	Alto Gállego	2014	Regadío	638	581	31	26	0	0	0	2	2	0	0	0	0		0	0	0	640
02	Alto Gállego	2014	Secano	6538	5214	1322	2	6614	660	5954	92496	65668	11162	15666	29693	24721		232	2323	2417	135341
03	Sobrarbe	2014	Regadío	1199	1020	178	1	1	1	0	5	4	0	1	0	0		0	0	0	1205
03	Sobrarbe	2014	Secano	10432	8491	1595	346	14484	1679	12805	146762	101592	19112	26058	47337	39091		238	1949	6059	219015
04	La Ribagorza	2014	Regadío	1109	842	260	7	0	0	0	9	5	0	4	0	0		0	0	0	1118
04	La Ribagorza	2014	Secano	27396	22598	3805	993	28724	2721	26003	138257	79451	25127	33679	50542	41461		290	3237	5554	244919
05	Cinco Villas	2014	Regadío	72715	68247	3282	1186	1	1	0	131	115	0	16	0	0		0	0	0	72847
05	Cinco Villas	2014	Secano	78342	59755	17186	1401	10428	1777	8651	84279	64738	5469	14072	63437	46093		2962	7408	6974	236486
06	Hoya de Huesca / Plana de Uesca	2014	Regadío	24039	21246	2013	780	0	0	0	27	26	0	1	0	0		0	0	0	24066
06	Hoya de Huesca / Plana de Uesca	2014	Secano	100572	84872	9965	5735	7441	854	6587	79971	48894	13013	18064	40506	28314		922	6269	5001	228490
07	Somontano de Barbastro	2014	Regadío	16517	13365	1554	1598	0	0	0	39	35	0	4	0	0		0	0	0	16556
07	Somontano de Barbastro	2014	Secano	36641	23098	5717	7826	6674	502	6172	36113	16607	7955	11551	20689	14187		594	3276	2632	100117
08	Cinca Medio	2014	Regadío	34534	27625	4261	2648	0	0	0	99	94	0	5	0	0		0	0	0	34633
08	Cinca Medio	2014	Secano	6044	3476	2207	361	666	139	527	6185	1206	1824	3155	10135	4726		166	2839	2404	23030
09	La Litera / La Llitera	2014	Regadío	27026	22473	2818	1735	0	0	0	2	2	0	0	0	0		0	0	0	27028
09	La Litera / La Llitera	2014	Secano	16569	12570	2430	1569	4426	172	4254	15501	7098	3763	4640	9862	6089		366	2292	1115	46358
10	Los Monegros	2014	Regadío	76430	69850	5695	885	0	0	0	298	264	0	34	0	0		0	0	0	76728
10	Los Monegros	2014	Secano	105582	67435	36813	1334	4210	1240	2970	44934	19047	9652	16235	44988	29746		2146	8250	4846	199714
11	Bajo Cinca / Baix Cinca	2014	Regadío	32413	14786	4074	13553	0	0	0	48	41	0	7	0	0		0	0	0	32461
11	Bajo Cinca / Baix Cinca	2014	Secano	40131	17252	20031	2848	9244	396	8848	33728	14025	11397	8306	26399	17197		558	3939	4705	109502
12	Tarazona y el Moncayo	2014	Regadío	4577	3075	696	806	0	0	0	90	90	0	0	0	0		0	0	0	4667
12	Tarazona y el Moncayo	2014	Secano	8596	4202	3627	767	1237	338	899	12515	8548	545	3422	18203	15847		571	1368	417	40551
13	Campo de Borja	2014	Regadío	10516	5266	1085	4165	0	0	0	21	21	0	0	0	0		0	0	0	10537
13	Campo de Borja	2014	Secano	24918	9252	7281	8385	2934	546	2388	11982	6536	1864	3582	18707	14368		901	1901	1537	58541
14	Aranda	2014	Regadío	327	93	30	204	0	0	0	6	6	0	0	0	0		0	0	0	333
14	Aranda	2014	Secano	6548	2374	1521	2653	4800	1130	3670	18671	10042	2396	6233	25748	24022		195	954	577	55767
15	Ribera Alta del Ebro	2014	Regadío	15102	13942	543	617	0	0	0	384	369	0	15	0	0		0	0	0	15486
15	Ribera Alta del Ebro	2014	Secano	9981	6347	3578	56	439	160	279	3797	2194	121	1482	11868	5882		1837	2162	1987	26085
16	Valdejalón	2014	Regadío	15467	5851	794	8822	0	0	0	108	102	0	6	0	0		0	0	0	15575
16	Valdejalón	2014	Secano	35205	18189	11461	5555	2455	997	1458	11479	5240	607	5632	28617	21070		2420	4115	1012	77756
17	Central	2014	Regadío	27434	25021	857	1556	0	0	0	117	101	0	16	0	0		0	0	0	27551
17	Central	2014	Secano	56824	34529	21769	526	4077	1198	2879	33949	15450	1385	17114	103344	76204		9412	15445	2283	198194
18	Ribera Baja del Ebro	2014	Regadío	14606	12364	281	1961	0	0	0	6	6	0	0	0	0		0	0	0	14612
18	Ribera Baja del Ebro	2014	Secano	41246	25602	15516	128	2954	1262	1692	10673	2286	1491	6896	29505	23389		1118	2824	2174	84378
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2014	Regadío	11917	4622	625	6670	0	0	0	0	0	0	0	0	0		0	0	0	11917
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2014	Secano	24412	8181	7241	8990	5831	871	4960	23997	13010	4728	6259	33563	24850		529	2617	5567	87803
20	Comunidad de Calatayud	2014	Regadío	8020	3367	706	3947	0	0	0	110	87	0	23	0	0		0	0	0	8130
20	Comunidad de Calatayud	2014	Secano	62832	31580	16537	14715	13392	2387	11005	65059	36337	6923	21799	102495	89116		2565	6356	4458	243778
21	Campo de Cariñena	2014	Regadío	7571	2084	226	5261	0	0	0	20	17	0	3	0	0		0	0	0	7591
21	Campo de Cariñena	2014	Secano	36525	14896	10657	10972	1136	321	815	14477	10636	334	3507	17466	13400		727	2490	849	69604
22	Campo de Belchite	2014	Regadío	4095	1312	821	1962	0	0	0	20	11	0	9	0	0		0	0	0	4115
22	Campo de Belchite	2014	Secano	61777	38270	21811	1696	1601	836	765	11151	4671	364	6116	25728	21685		454	2773	816	100257
23	Bajo Martín	2014	Regadío	4852	2303	1661	888	0	0	0	6	6	0	0	0	0		0	0	0	4858
23	Bajo Martín	2014	Secano	45532	24065	17986	3481	361	120	241	12319	4845	2880	4594	16586	13849		627	1667	443	74798
24	Campo de Daroca	2014	Regadío	1680	1482	120	78	0	0	0	48	43	0	5	0	0		0	0	0	1728
24	Campo de Daroca	2014	Secano	54697	41670	10081	2946	4484	465	4019	27352	19204	3256	4892	23560	18202		396	2856	2106	110093
25	Jiloca	2014	Regadío	6816	4813	1972	31	0	0	0	57	41	0	16	0	0		0	0	0	6873
25	Jiloca	2014	Secano	93814	57883	34714	1217	11513	697	10816	38101	12721	8936	16444	42761	34662		1482	5435	1182	186189
26	Cuencas Mineras	2014	Regadío	1649	490	1152	7	0	0	0	1	0	0	1	0	0		0	0	0	1650
26	Cuencas Mineras	2014	Secano	34032	16833	16354	845	8269	944	7325	44963	15242	11079	18642	52345	48373		681	2312	979	139609
27	Andorra-Sierra de Arcos	2014	Regadío	694	191	411	92	0	0	0	38	38	0	0	0	0		0	0	0	732
27	Andorra-Sierra de Arcos	2014	Secano	16875	7288	6621	2966	3802	317	3485	25238	9320	3787	12131	21061	16691		2076	1896	398	66976
28	Bajo Aragón	2014	Regadío	9889	5186	1094	3609	3	3	0	76	61	0	15	0	0		0	0	0	9968
28	Bajo Aragón	2014	Secano	49407	14490	17996	16921	5974	847	5127	26929	10273	6438	10218	38256	32077		1680	3100	1399	120566
29	Comunidad de Teruel	2014	Regadío	9101	6114	2966	21	104	104	0	235	216	0	19	0	0		0	0	0	9440
29	Comunidad de Teruel	2014	Secano	96189	55788	39869	532	22114	1197	20917	60808	14990	18186	27632	90129	77565		1978	7368	3218	269240
30	Maestrazgo	2014	Regadío	865	295	421	149	19	19	0	1	1	0	0	0	0		0	0	0	885
30	Maestrazgo	2014	Secano	9962	5535	3583	844	12919	2990	9929	48992	20840	9718	18434	47693	43577		464	2520	1132	119566
31	Sierra de Albarracín	2014	Regadío	510	280	229	1	82	82	0	37	37	0	0	0	0		0	0	0	629
31	Sierra de Albarracín	2014	Secano	15865	8765	7098	2	31000	1610	29390	60881	24209	10196	26476	33315	30789		198	1842	486	141061
32	Gúdar-Javalambre	2014	Regadío	1869	512	1343	14	137	137	0	67	14	0	53	0	0		0	0	0	2073
32	Gúdar-Javalambre	2014	Secano	17156	9603	7174	379	42529	2219	40310	108418	46154	15884	46380	63923	53812		689	7275	2147	232026
33	Matarraña / Matarranya	2014	Regadío	1296	143	640	513	19	19	0	17	17	0	0	0	0		0	0	0	1332
33	Matarraña / Matarranya	2014	Secano	26303	3399	3973	18931	6486	254	6232	46731	30537	2517	13677	12347	9313		520	1546	968	91867
01	La Jacetania	2013	Regadío	1329	1073	256	0	0	0	0	2	2	0	0	0	0		0	0	0	1331
01	La Jacetania	2013	Secano	21349	17810	3456	83	15264	1359	13905	114107	74760	18210	21137	32450	23588		1119	3070	4673	183170
02	Alto Gállego	2013	Regadío	622	568	30	24	0	0	0	3	3	0	0	0	0		0	0	0	625
02	Alto Gállego	2013	Secano	6555	5197	1357	1	8794	923	7871	87636	57532	12192	17912	31198	26144		236	2412	2406	134183
03	Sobrarbe	2013	Regadío	1199	1026	172	1	8	8	0	5	4	0	1	0	0		0	0	0	1212
03	Sobrarbe	2013	Secano	10461	8567	1538	356	15118	1976	13142	143702	93073	22925	27704	49753	41437		267	1973	6076	219034
04	La Ribagorza	2013	Regadío	1103	828	268	7	0	0	0	9	5	0	4	0	0		0	0	0	1112
04	La Ribagorza	2013	Secano	27452	22640	3776	1036	30142	2903	27239	137537	76915	26190	34432	49891	40909		268	3164	5550	245022
05	Cinco Villas	2013	Regadío	72409	66534	4788	1087	1	1	0	148	132	0	16	0	0		0	0	0	72558
05	Cinco Villas	2013	Secano	76773	55445	19993	1335	12514	1685	10829	81172	57687	7473	16012	65317	47671		2642	8099	6905	235776
06	Hoya de Huesca / Plana de Uesca	2013	Regadío	24001	20816	2144	1041	0	0	0	20	19	0	1	0	0		0	0	0	24021
06	Hoya de Huesca / Plana de Uesca	2013	Secano	100589	81992	12781	5816	8601	951	7650	77679	44393	15227	18059	43101	28470		2532	6431	5668	229970
07	Somontano de Barbastro	2013	Regadío	16509	13227	1664	1618	0	0	0	39	35	0	4	0	0		0	0	0	16548
07	Somontano de Barbastro	2013	Secano	36878	22516	6330	8032	6718	505	6213	35968	16586	8154	11228	20699	14302		484	3282	2631	100263
08	Cinca Medio	2013	Regadío	34557	28121	3821	2615	0	0	0	113	109	0	4	0	0		0	0	0	34670
08	Cinca Medio	2013	Secano	5935	3451	2088	396	692	125	567	6005	1296	1782	2927	10284	4934		169	2771	2410	22916
09	La Litera / La Llitera	2013	Regadío	27083	22930	2447	1706	0	0	0	11	11	0	0	0	0		0	0	0	27094
09	La Litera / La Llitera	2013	Secano	16573	12579	2359	1635	4330	181	4149	15504	7601	3538	4365	9822	6360		376	1975	1111	46229
10	Los Monegros	2013	Regadío	76775	68904	7022	849	0	0	0	272	246	0	26	0	0		0	0	0	77047
10	Los Monegros	2013	Secano	105907	63631	40946	1330	4849	1261	3588	42111	14061	11299	16751	45881	31358		2063	8137	4323	198748
11	Bajo Cinca / Baix Cinca	2013	Regadío	31941	14352	4305	13284	0	0	0	50	43	0	7	0	0		0	0	0	31991
11	Bajo Cinca / Baix Cinca	2013	Secano	40523	16221	21322	2980	9078	404	8674	34247	13807	12453	7987	25980	17122		464	3731	4663	109828
12	Tarazona y el Moncayo	2013	Regadío	4786	3023	928	835	0	0	0	89	89	0	0	0	0		0	0	0	4875
12	Tarazona y el Moncayo	2013	Secano	9439	4136	4523	780	1096	238	858	15391	8170	1076	6145	14377	12150		524	1309	394	40303
13	Campo de Borja	2013	Regadío	10818	5118	1525	4175	0	0	0	17	17	0	0	0	0		0	0	0	10835
13	Campo de Borja	2013	Secano	25700	9116	8048	8536	3011	434	2577	12562	5608	2152	4802	16970	13210		666	1858	1236	58243
14	Aranda	2013	Regadío	338	84	43	211	0	0	0	6	6	0	0	0	0		0	0	0	344
14	Aranda	2013	Secano	8428	2447	3284	2697	4731	787	3944	18498	8249	3365	6884	24099	22393		185	944	577	55756
15	Ribera Alta del Ebro	2013	Regadío	15385	14350	376	659	0	0	0	394	380	0	14	0	0		0	0	0	15779
15	Ribera Alta del Ebro	2013	Secano	10211	6373	3776	62	444	147	297	3813	2111	121	1581	11311	5280		1712	2348	1971	25779
16	Valdejalón	2013	Regadío	15300	5505	562	9233	0	0	0	124	113	0	11	0	0		0	0	0	15424
16	Valdejalón	2013	Secano	36336	18206	12565	5565	2280	823	1457	12517	4386	1431	6700	26764	20580		1669	3706	809	77897
17	Central	2013	Regadío	28636	26114	924	1598	0	0	0	114	98	0	16	0	0		0	0	0	28750
17	Central	2013	Secano	75715	37236	37799	680	3788	1101	2687	35686	16374	1397	17915	84921	57371		9145	16177	2228	200110
18	Ribera Baja del Ebro	2013	Regadío	14510	12003	558	1949	0	0	0	6	6	0	0	0	0		0	0	0	14516
18	Ribera Baja del Ebro	2013	Secano	41859	25182	16546	131	3320	1238	2082	10778	1897	2062	6819	28516	22507		1039	2815	2155	84473
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2013	Regadío	12072	4727	805	6540	0	0	0	0	0	0	0	0	0		0	0	0	12072
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2013	Secano	25085	8572	7226	9287	6396	944	5452	21090	8473	5208	7409	34065	25474		478	2456	5657	86636
20	Comunidad de Calatayud	2013	Regadío	7963	3308	821	3834	0	0	0	116	93	0	23	0	0		0	0	0	8079
20	Comunidad de Calatayud	2013	Secano	72085	31926	25480	14679	14194	2031	12163	67638	33542	11139	22957	89112	77404		1347	6209	4152	243029
21	Campo de Cariñena	2013	Regadío	7792	2229	266	5297	0	0	0	8	5	0	3	0	0		0	0	0	7800
21	Campo de Cariñena	2013	Secano	37576	15541	10954	11081	1044	307	737	14075	9444	426	4205	16700	12802		718	2334	846	69395
22	Campo de Belchite	2013	Regadío	4094	1369	794	1931	0	0	0	20	11	0	9	0	0		0	0	0	4114
22	Campo de Belchite	2013	Secano	63097	37582	23814	1701	1503	780	723	11081	4465	326	6290	24577	21284		416	2061	816	100258
23	Bajo Martín	2013	Regadío	4855	2278	1737	840	42	42	0	7	7	0	0	0	0		0	0	0	4904
23	Bajo Martín	2013	Secano	47306	24772	19034	3500	663	188	475	11777	4225	2937	4615	15006	12296		608	1659	443	74752
24	Campo de Daroca	2013	Regadío	1639	1429	146	64	0	0	0	49	44	0	5	0	0		0	0	0	1688
24	Campo de Daroca	2013	Secano	56089	42034	11096	2959	4538	408	4130	26683	18012	3200	5471	21420	16155		334	2839	2092	108730
25	Jiloca	2013	Regadío	6921	4873	2014	34	0	0	0	48	34	0	14	0	0		0	0	0	6969
25	Jiloca	2013	Secano	94026	57879	34924	1223	12903	1013	11890	37516	12761	8809	15946	41648	33568		1444	5454	1182	186093
26	Cuencas Mineras	2013	Regadío	1668	531	1131	6	0	0	0	2	1	0	1	0	0		0	0	0	1670
26	Cuencas Mineras	2013	Secano	34007	16742	16406	859	8247	1057	7190	43264	14968	10639	17657	54071	49807		981	2302	981	139589
27	Andorra-Sierra de Arcos	2013	Regadío	724	187	442	95	41	41	0	5	5	0	0	0	0		0	0	0	770
27	Andorra-Sierra de Arcos	2013	Secano	16844	7153	6710	2981	3822	333	3489	25364	9449	3793	12122	20908	16539		2076	1895	398	66938
28	Bajo Aragón	2013	Regadío	9453	4917	1020	3516	3	3	0	74	59	0	15	0	0		0	0	0	9530
28	Bajo Aragón	2013	Secano	50113	14240	18836	17037	6696	985	5711	27382	10080	6483	10819	36813	30765		1605	3042	1401	121004
29	Comunidad de Teruel	2013	Regadío	9111	6073	3017	21	1	1	0	114	96	0	18	0	0		0	0	0	9226
29	Comunidad de Teruel	2013	Secano	96354	54219	41599	536	24519	1829	22690	60709	14658	18037	28014	87872	75407		1952	7290	3223	269454
30	Maestrazgo	2013	Regadío	864	294	419	151	19	19	0	1	1	0	0	0	0		0	0	0	884
30	Maestrazgo	2013	Secano	10002	5597	3559	846	12864	1891	10973	46986	19361	9767	17858	49715	45702		408	2473	1132	119567
31	Sierra de Albarracín	2013	Regadío	505	304	201	0	72	72	0	12	12	0	0	0	0		0	0	0	589
31	Sierra de Albarracín	2013	Secano	16098	9021	7075	2	27365	1426	25939	60090	24391	10074	25625	37548	35005		192	1865	486	141101
32	Gúdar-Javalambre	2013	Regadío	1870	531	1326	13	136	136	0	21	8	0	13	0	0		0	0	0	2027
32	Gúdar-Javalambre	2013	Secano	19429	9661	9387	381	43025	3134	39891	105512	46120	15821	43571	64106	54024		687	7247	2148	232072
33	Matarraña / Matarranya	2013	Regadío	1279	130	638	511	24	24	0	13	13	0	0	0	0		0	0	0	1316
33	Matarraña / Matarranya	2013	Secano	27383	3311	5062	19010	6664	377	6287	46465	32757	2536	11172	11371	8345		513	1547	966	91883
01	La Jacetania	2012	Regadío	1302	1110	192	0	0	0	0	2	2	0	0	0	0		0	0	0	1304
01	La Jacetania	2012	Secano	21397	18441	2873	83	15232	1327	13905	113981	74062	18954	20965	32587	23708		1131	3078	4670	183197
02	Alto Gállego	2012	Regadío	572	530	42	0	0	0	0	0	0	0	0	0	0		0	0	0	572
02	Alto Gállego	2012	Secano	6594	5094	1499	1	8745	917	7828	87761	57602	12259	17900	31136	26146		235	2412	2343	134236
03	Sobrarbe	2012	Regadío	1204	1028	175	1	8	8	0	7	6	0	1	0	0		0	0	0	1219
03	Sobrarbe	2012	Secano	10491	8448	1676	367	15889	1983	13906	141447	91921	22380	27146	51200	42770		264	2087	6079	219027
04	La Ribagorza	2012	Regadío	1123	816	300	7	0	0	0	8	4	0	4	0	0		0	0	0	1131
04	La Ribagorza	2012	Secano	27540	22667	3812	1061	30312	2864	27448	136447	75209	27098	34140	50704	41692		334	3144	5534	245003
05	Cinco Villas	2012	Regadío	71160	64613	5533	1014	1	1	0	153	137	0	16	0	0		0	0	0	71314
05	Cinco Villas	2012	Secano	76874	56327	19215	1332	12537	1781	10756	81491	57463	7794	16234	66118	48513		2657	8078	6870	237020
06	Hoya de Huesca / Plana de Uesca	2012	Regadío	23986	20669	2384	933	0	0	0	20	19	0	1	0	0		0	0	0	24006
06	Hoya de Huesca / Plana de Uesca	2012	Secano	100621	82611	12221	5789	8489	948	7541	77081	44042	14791	18248	43794	29137		2556	6439	5662	229985
07	Somontano de Barbastro	2012	Regadío	16466	12606	2171	1689	0	0	0	41	37	0	4	0	0		0	0	0	16507
07	Somontano de Barbastro	2012	Secano	36888	22074	6509	8305	8580	594	7986	33596	14848	8686	10062	21240	14846		483	3287	2624	100304
08	Cinca Medio	2012	Regadío	34572	26176	5740	2656	0	0	0	99	96	0	3	0	0		0	0	0	34671
08	Cinca Medio	2012	Secano	6091	3348	2337	406	714	133	581	5919	1305	1673	2941	10191	4837		169	2770	2415	22915
09	La Litera / La Llitera	2012	Regadío	27066	23150	1821	2095	0	0	0	11	11	0	0	0	0		0	0	0	27077
09	La Litera / La Llitera	2012	Secano	16558	12293	2597	1668	4174	178	3996	15599	7181	4035	4383	9915	6443		377	1983	1112	46246
10	Los Monegros	2012	Regadío	75759	64182	10749	828	0	0	0	85	59	0	26	0	0		0	0	0	75844
10	Los Monegros	2012	Secano	105912	64589	39962	1361	6176	1407	4769	40476	13871	9856	16749	47387	32841		2114	8107	4325	199951
11	Bajo Cinca / Baix Cinca	2012	Regadío	31286	13570	4152	13564	0	0	0	43	36	0	7	0	0		0	0	0	31329
11	Bajo Cinca / Baix Cinca	2012	Secano	41014	15605	22085	3324	9049	389	8660	34651	13816	12829	8006	25776	17062		438	3638	4638	110490
12	Tarazona y el Moncayo	2012	Regadío	4744	3133	764	847	0	0	0	91	91	0	0	0	0		0	0	0	4835
12	Tarazona y el Moncayo	2012	Secano	9482	4132	4561	789	1152	265	887	15398	8128	1176	6094	14311	12093		522	1301	395	40343
13	Campo de Borja	2012	Regadío	10711	5391	1292	4028	0	0	0	18	18	0	0	0	0		0	0	0	10729
13	Campo de Borja	2012	Secano	25714	8638	8538	8538	3090	503	2587	12457	5584	2049	4824	17088	13354		654	1845	1235	58349
14	Aranda	2012	Regadío	332	81	32	219	0	0	0	5	5	0	0	0	0		0	0	0	337
14	Aranda	2012	Secano	8426	2401	3307	2718	4726	780	3946	18489	8184	3326	6979	24122	22424		182	939	577	55763
15	Ribera Alta del Ebro	2012	Regadío	14985	14012	358	615	0	0	0	401	387	0	14	0	0		0	0	0	15386
15	Ribera Alta del Ebro	2012	Secano	10379	6145	4171	63	454	153	301	3812	2111	122	1579	11527	5511		1736	2314	1966	26172
16	Valdejalón	2012	Regadío	15039	5215	1021	8803	0	0	0	108	97	0	11	0	0		0	0	0	15147
16	Valdejalón	2012	Secano	36483	17733	13105	5645	2520	840	1680	12761	4402	1647	6712	26410	20333		1677	3623	777	78174
17	Central	2012	Regadío	28232	25468	1210	1554	0	0	0	109	93	0	16	0	0		0	0	0	28341
17	Central	2012	Secano	75699	34388	40608	703	3847	1153	2694	35625	16258	1548	17819	85348	57889		9133	16086	2240	200519
18	Ribera Baja del Ebro	2012	Regadío	14074	11802	481	1791	0	0	0	7	7	0	0	0	0		0	0	0	14081
18	Ribera Baja del Ebro	2012	Secano	42178	25525	16500	153	3316	1215	2101	10864	1896	2156	6812	28550	22533		1045	2814	2158	84908
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2012	Regadío	11132	4020	961	6151	0	0	0	3	3	0	0	0	0		0	0	0	11135
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2012	Secano	25443	7664	8145	9634	6560	1029	5531	21036	8276	5291	7469	34534	25974		510	2410	5640	87573
20	Comunidad de Calatayud	2012	Regadío	7679	3055	1062	3562	0	0	0	130	107	0	23	0	0		0	0	0	7809
20	Comunidad de Calatayud	2012	Secano	72164	30879	26466	14819	14235	1994	12241	67570	33301	11173	23096	89330	77703		1332	6146	4149	243299
21	Campo de Cariñena	2012	Regadío	7268	1885	220	5163	0	0	0	6	4	0	2	0	0		0	0	0	7274
21	Campo de Cariñena	2012	Secano	37647	14607	12095	10945	1020	282	738	14056	9418	394	4244	17198	13384		739	2232	843	69921
22	Campo de Belchite	2012	Regadío	4067	1245	896	1926	0	0	0	20	11	0	9	0	0		0	0	0	4087
22	Campo de Belchite	2012	Secano	62955	38380	22852	1723	1506	797	709	11021	4346	322	6353	24803	21528		408	2054	813	100285
23	Bajo Martín	2012	Regadío	4874	2036	1932	906	0	0	0	18	18	0	0	0	0		0	0	0	4892
23	Bajo Martín	2012	Secano	45302	23260	18544	3498	0	0	0	12309	5581	1281	5447	17153	14577		488	1645	443	74764
24	Campo de Daroca	2012	Regadío	1447	1271	114	62	0	0	0	46	41	0	5	0	0		0	0	0	1493
24	Campo de Daroca	2012	Secano	56143	42478	10722	2943	4396	425	3971	26596	17715	3235	5646	21790	16535		332	2829	2094	108925
25	Jiloca	2012	Regadío	6913	4807	2057	49	0	0	0	194	187	0	7	0	0		0	0	0	7107
25	Jiloca	2012	Secano	93992	57630	35076	1286	10859	72	10787	36460	9806	3901	22753	44283	36363		1364	5373	1183	185594
26	Cuencas Mineras	2012	Regadío	1709	532	1171	6	0	0	0	24	24	0	0	0	0		0	0	0	1733
26	Cuencas Mineras	2012	Secano	34041	16966	16202	873	6813	184	6629	42068	18338	3143	20587	56604	52447		915	2302	940	139526
27	Andorra-Sierra de Arcos	2012	Regadío	743	172	468	103	41	41	0	107	107	0	0	0	0		0	0	0	891
27	Andorra-Sierra de Arcos	2012	Secano	16836	7205	6621	3010	2254	0	2254	26323	10988	4682	10653	21404	17169		1971	1870	394	66817
28	Bajo Aragón	2012	Regadío	8940	4385	1080	3475	71	71	0	147	138	0	9	0	0		0	0	0	9158
28	Bajo Aragón	2012	Secano	48604	14355	17073	17176	1329	35	1294	35796	11887	7646	16263	35647	29675		1582	2990	1400	121376
29	Comunidad de Teruel	2012	Regadío	9156	5994	3139	23	276	276	0	1122	1106	0	16	0	0		0	0	0	10554
29	Comunidad de Teruel	2012	Secano	96138	53193	42382	563	22314	585	21729	62080	13996	15351	32733	87660	75334		1885	7219	3222	268192
30	Maestrazgo	2012	Regadío	863	302	405	156	32	32	0	86	86	0	0	0	0		0	0	0	981
30	Maestrazgo	2012	Secano	9844	5801	3164	879	21941	4433	17508	40576	19128	8008	13440	47109	43149		381	2494	1085	119470
31	Sierra de Albarracín	2012	Regadío	506	268	238	0	4	4	0	145	145	0	0	0	0		0	0	0	655
31	Sierra de Albarracín	2012	Secano	16109	8703	7404	2	33074	4842	28232	58883	26659	14876	17348	32969	30453		185	1848	483	141035
32	Gúdar-Javalambre	2012	Regadío	1989	592	1384	13	389	389	0	106	93	0	13	0	0		0	0	0	2484
32	Gúdar-Javalambre	2012	Secano	17801	9472	7929	400	45675	3306	42369	106264	46952	24762	34550	61875	51847		647	7239	2142	231615
33	Matarraña / Matarranya	2012	Regadío	1372	139	721	512	24	24	0	75	75	0	0	0	0		0	0	0	1471
33	Matarraña / Matarranya	2012	Secano	27375	3104	5213	19058	4533	160	4373	46876	25375	4829	16672	12944	10010		459	1514	961	91728
01	La Jacetania	2011	Regadío	1310	1111	199	0	0	0	0	1	1	0	0	0	0		0	0	0	1311
01	La Jacetania	2011	Secano	21451	18375	2990	86	16298	1458	14840	110504	73056	17376	20072	34847	25774		1687	2845	4541	183100
02	Alto Gállego	2011	Regadío	563	514	49	0	0	0	0	1	1	0	0	0	0		0	0	0	564
02	Alto Gállego	2011	Secano	6700	5201	1498	1	11860	1222	10638	83562	57035	8864	17663	32122	26752		719	2376	2275	134244
03	Sobrarbe	2011	Regadío	1227	1025	201	1	8	8	0	9	6	0	3	0	0		0	0	0	1244
03	Sobrarbe	2011	Secano	10876	8584	1910	382	19635	2404	17231	135611	89897	17167	28547	52880	42205		2529	2119	6027	219002
04	La Ribagorza	2011	Regadío	1135	852	277	6	0	0	0	8	4	0	4	0	0		0	0	0	1143
04	La Ribagorza	2011	Secano	27604	23073	3495	1036	22861	3261	19600	141299	73755	39443	28101	53227	42677		1805	3251	5494	244991
05	Cinco Villas	2011	Regadío	70741	66105	3706	930	1	1	0	137	116	0	21	0	0		0	0	0	70879
05	Cinco Villas	2011	Secano	75019	54737	18960	1322	15514	1686	13828	76568	57372	5252	13944	63049	46125		2395	7709	6820	230150
06	Hoya de Huesca / Plana de Uesca	2011	Regadío	23951	21225	1823	903	0	0	0	26	25	0	1	0	0		0	0	0	23977
06	Hoya de Huesca / Plana de Uesca	2011	Secano	100885	81268	13729	5888	11051	1172	9879	75319	46030	11332	17957	42589	28549		2207	6305	5528	229844
07	Somontano de Barbastro	2011	Regadío	16486	13029	1705	1752	0	0	0	41	37	0	4	0	0		0	0	0	16527
07	Somontano de Barbastro	2011	Secano	36976	21466	6982	8528	6637	673	5964	35097	14506	11107	9484	21574	14691		961	3321	2601	100284
