Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
20	Comunidad de Calatayud	2017	Regadío	12225	3438	4622	4165	0	0	0	74	74	0	0	0	0	0	0	0	0	12299
20	Comunidad de Calatayud	2017	Secano	68935	31029	23257	14649	90659	0	48093	67347	37505	14118	15724	12003	42566	0	1479	6331	4193	238944
21	Campo de Cariñena	2017	Regadío	8378	1935	1055	5388	0	0	0	11	11	0	0	0	0	0	0	0	0	8389
21	Campo de Cariñena	2017	Secano	37694	13362	13047	11285	15673	0	9601	11461	10756	705	0	4119	6072	0	755	2508	856	68947
22	Campo de Belchite	2017	Regadío	4960	1376	1535	2049	0	0	0	11	11	0	0	0	0	0	0	0	0	4971
22	Campo de Belchite	2017	Secano	63419	31790	29724	1905	26793	0	9460	5545	4815	730	0	3445	17333	0	499	2131	815	99202
23	Bajo Martín	2017	Regadío	5157	2419	1875	863	0	0	0	5	5	0	0	0	0	0	0	0	0	5162
23	Bajo Martín	2017	Secano	47034	21432	22566	3036	17187	0	5671	7321	6537	784	0	2831	11516	0	671	1710	450	74373
24	Campo de Daroca	2017	Regadío	1840	1404	373	63	0	0	0	28	28	0	0	0	0	0	0	0	0	1868
24	Campo de Daroca	2017	Secano	55812	39708	13099	3005	10000	0	2363	38483	19010	6570	12903	5342	7637	0	397	2859	2086	109637
25	Jiloca	2017	Regadío	6702	4732	1928	42	0	0	0	34	34	0	0	0	0	0	0	0	0	6736
25	Jiloca	2017	Secano	88027	56860	29581	1586	21767	0	7398	67320	20142	16184	30994	8253	14369	0	1512	5513	1228	185367
26	Cuencas Mineras	2017	Regadío	1437	490	932	15	0	0	0	3	3	0	0	0	0	0	0	0	0	1440
26	Cuencas Mineras	2017	Secano	31656	15857	14583	1216	62485	0	48796	41227	23626	7210	10391	4078	13689	0	729	2360	989	139446
27	Andorra-Sierra de Arcos	2017	Regadío	842	177	582	83	0	0	0	35	35	0	0	0	0	0	0	0	0	877
27	Andorra-Sierra de Arcos	2017	Secano	16912	6737	7528	2647	27514	0	16488	17896	13379	4517	0	4452	11026	0	2142	1928	382	66774
28	Bajo Aragón	2017	Regadío	10613	5225	1859	3529	0	0	0	49	49	0	0	0	0	0	0	0	0	10662
28	Bajo Aragón	2017	Secano	45276	13441	14657	17178	42861	0	19944	25145	16170	8975	0	6426	22917	0	1776	3243	1407	119708
29	Comunidad de Teruel	2017	Regadío	8957	5767	3073	117	0	0	0	109	109	0	0	0	0	0	0	0	0	9066
