Municipio código	Municipio nombre	Estudios en curso	Personas residentes viviendas familiares
22001	Abiego	Con estudios en curso	20
22001	Abiego	Sin estudios en curso	107
22002	Abizanda	Con estudios en curso	10
22002	Abizanda	Sin estudios en curso	58
22003	Adahuesca	Con estudios en curso	6
22003	Adahuesca	Sin estudios en curso	61
22004	Agüero	Con estudios en curso	3
22004	Agüero	Sin estudios en curso	56
22006	Aísa	Con estudios en curso	43
22006	Aísa	Sin estudios en curso	206
22007	Albalate de Cinca	Con estudios en curso	67
22007	Albalate de Cinca	Sin estudios en curso	548
22008	Albalatillo	Con estudios en curso	17
22008	Albalatillo	Sin estudios en curso	94
22009	Albelda	Con estudios en curso	74
22009	Albelda	Sin estudios en curso	307
22011	Albero Alto	Con estudios en curso	7
22011	Albero Alto	Sin estudios en curso	42
22012	Albero Bajo	Con estudios en curso	9
22012	Albero Bajo	Sin estudios en curso	42
22013	Alberuela de Tubo	Con estudios en curso	34
22013	Alberuela de Tubo	Sin estudios en curso	139
22014	Alcalá de Gurrea	Con estudios en curso	23
22014	Alcalá de Gurrea	Sin estudios en curso	101
22015	Alcalá del Obispo	Con estudios en curso	33
22015	Alcalá del Obispo	Sin estudios en curso	137
22016	Alcampell	Con estudios en curso	55
22016	Alcampell	Sin estudios en curso	293
22017	Alcolea de Cinca	Con estudios en curso	88
22017	Alcolea de Cinca	Sin estudios en curso	492
22018	Alcubierre	Con estudios en curso	22
22018	Alcubierre	Sin estudios en curso	171
22019	Alerre	Con estudios en curso	33
22019	Alerre	Sin estudios en curso	86
22020	Alfántega	Con estudios en curso	4
22020	Alfántega	Sin estudios en curso	42
22021	Almudévar	Con estudios en curso	199
22021	Almudévar	Sin estudios en curso	859
22022	Almunia de San Juan	Con estudios en curso	44
22022	Almunia de San Juan	Sin estudios en curso	243
22023	Almuniente	Con estudios en curso	42
22023	Almuniente	Sin estudios en curso	264
22024	Alquézar	Con estudios en curso	11
22024	Alquézar	Sin estudios en curso	123
22025	Altorricón	Con estudios en curso	107
22025	Altorricón	Sin estudios en curso	601
22027	Angüés	Con estudios en curso	24
22027	Angüés	Sin estudios en curso	159
22028	Ansó	Con estudios en curso	31
22028	Ansó	Sin estudios en curso	224
22029	Antillón	Con estudios en curso	14
22029	Antillón	Sin estudios en curso	66
22032	Aragüés del Puerto	Con estudios en curso	25
22032	Aragüés del Puerto	Sin estudios en curso	45
22035	Arén	Con estudios en curso	26
22035	Arén	Sin estudios en curso	129
22036	Argavieso	Con estudios en curso	3
22036	Argavieso	Sin estudios en curso	42
22037	Arguis	Con estudios en curso	7
22037	Arguis	Sin estudios en curso	29
22039	Ayerbe	Con estudios en curso	95
22039	Ayerbe	Sin estudios en curso	398
22040	Azanuy-Alins	Con estudios en curso	11
22040	Azanuy-Alins	Sin estudios en curso	59
22041	Azara	Con estudios en curso	10
22041	Azara	Sin estudios en curso	83
22042	Azlor	Con estudios en curso	11
22042	Azlor	Sin estudios en curso	55
22043	Baells	Con estudios en curso	13
22043	Baells	Sin estudios en curso	50
22044	Bailo	Con estudios en curso	21
22044	Bailo	Sin estudios en curso	124
22045	Baldellou	Con estudios en curso	6
22045	Baldellou	Sin estudios en curso	48
22046	Ballobar	Con estudios en curso	71
22046	Ballobar	Sin estudios en curso	357
22047	Banastás	Con estudios en curso	23
22047	Banastás	Sin estudios en curso	83
22048	Barbastro	Con estudios en curso	1444
22048	Barbastro	Sin estudios en curso	6319
22049	Barbués	Con estudios en curso	9
22049	Barbués	Sin estudios en curso	29
22050	Barbuñales	Con estudios en curso	4
22050	Barbuñales	Sin estudios en curso	38
22051	Bárcabo	Con estudios en curso	1
22051	Bárcabo	Sin estudios en curso	51
22052	Belver de Cinca	Con estudios en curso	76
22052	Belver de Cinca	Sin estudios en curso	512
22053	Benabarre	Con estudios en curso	80
22053	Benabarre	Sin estudios en curso	403
22054	Benasque	Con estudios en curso	133
22054	Benasque	Sin estudios en curso	867
22055	Berbegal	Con estudios en curso	32
22055	Berbegal	Sin estudios en curso	163
22057	Bielsa	Con estudios en curso	29
22057	Bielsa	Sin estudios en curso	187
22058	Bierge	Con estudios en curso	5
22058	Bierge	Sin estudios en curso	92
22059	Biescas	Con estudios en curso	107
22059	Biescas	Sin estudios en curso	504
22060	Binaced	Con estudios en curso	140
22060	Binaced	Sin estudios en curso	687
22061	Binéfar	Con estudios en curso	637
22061	Binéfar	Sin estudios en curso	3704
22062	Bisaurri	Con estudios en curso	13
22062	Bisaurri	Sin estudios en curso	106
22063	Biscarrués	Con estudios en curso	15
22063	Biscarrués	Sin estudios en curso	75
22064	Blecua y Torres	Con estudios en curso	12
22064	Blecua y Torres	Sin estudios en curso	86
22066	Boltaña	Con estudios en curso	76
22066	Boltaña	Sin estudios en curso	347
22067	Bonansa	Con estudios en curso	3
22067	Bonansa	Sin estudios en curso	41
22068	Borau	Con estudios en curso	3
22068	Borau	Sin estudios en curso	39
22069	Broto	Con estudios en curso	19
22069	Broto	Sin estudios en curso	238
22072	Caldearenas	Con estudios en curso	15
22072	Caldearenas	Sin estudios en curso	103
22074	Campo	Con estudios en curso	27
22074	Campo	Sin estudios en curso	146
22075	Camporrells	Con estudios en curso	9
22075	Camporrells	Sin estudios en curso	93
22076	Canal de Berdún	Con estudios en curso	21
22076	Canal de Berdún	Sin estudios en curso	164
22077	Candasnos	Con estudios en curso	32
22077	Candasnos	Sin estudios en curso	275
22078	Canfranc	Con estudios en curso	51
22078	Canfranc	Sin estudios en curso	315
22079	Capdesaso	Con estudios en curso	13
22079	Capdesaso	Sin estudios en curso	55
22080	Capella	Con estudios en curso	17
22080	Capella	Sin estudios en curso	140
22081	Casbas de Huesca	Con estudios en curso	22
22081	Casbas de Huesca	Sin estudios en curso	113
22082	Castejón del Puente	Con estudios en curso	22
22082	Castejón del Puente	Sin estudios en curso	172
22083	Castejón de Monegros	Con estudios en curso	25
22083	Castejón de Monegros	Sin estudios en curso	253
22084	Castejón de Sos	Con estudios en curso	90
22084	Castejón de Sos	Sin estudios en curso	249
22085	Castelflorite	Con estudios en curso	13
22085	Castelflorite	Sin estudios en curso	56
22086	Castiello de Jaca	Con estudios en curso	14
22086	Castiello de Jaca	Sin estudios en curso	81
22087	Castigaleu	Con estudios en curso	11
22087	Castigaleu	Sin estudios en curso	39
22088	Castillazuelo	Con estudios en curso	10
22088	Castillazuelo	Sin estudios en curso	72
22089	Castillonroy	Con estudios en curso	34
22089	Castillonroy	Sin estudios en curso	164
22090	Colungo	Con estudios en curso	5
22090	Colungo	Sin estudios en curso	46
22094	Chalamera	Con estudios en curso	6
22094	Chalamera	Sin estudios en curso	51
22095	Chía	Con estudios en curso	4
22095	Chía	Sin estudios en curso	40
22096	Chimillas	Con estudios en curso	30
22096	Chimillas	Sin estudios en curso	94
22099	Esplús	Con estudios en curso	37
22099	Esplús	Sin estudios en curso	298
22102	Estada	Con estudios en curso	10
22102	Estada	Sin estudios en curso	75
22103	Estadilla	Con estudios en curso	71
22103	Estadilla	Sin estudios en curso	345
22105	Estopiñán del Castillo	Con estudios en curso	15
22105	Estopiñán del Castillo	Sin estudios en curso	84
22106	Fago	Sin estudios en curso	16
22107	Fanlo	Con estudios en curso	8
22107	Fanlo	Sin estudios en curso	106
22109	Fiscal	Con estudios en curso	12
22109	Fiscal	Sin estudios en curso	109
22110	Fonz	Con estudios en curso	70
22110	Fonz	Sin estudios en curso	364
22111	Foradada del Toscar	Con estudios en curso	18
22111	Foradada del Toscar	Sin estudios en curso	108
22112	Fraga	Con estudios en curso	923
22112	Fraga	Sin estudios en curso	5309
22113	Fueva (La)	Con estudios en curso	40
22113	Fueva (La)	Sin estudios en curso	238
22114	Gistaín	Con estudios en curso	9
22114	Gistaín	Sin estudios en curso	76
22115	Grado (El)	Con estudios en curso	41
22115	Grado (El)	Sin estudios en curso	204
22116	Grañén	Con estudios en curso	143
22116	Grañén	Sin estudios en curso	756
22117	Graus	Con estudios en curso	244
22117	Graus	Sin estudios en curso	1195
22119	Gurrea de Gállego	Con estudios en curso	124
22119	Gurrea de Gállego	Sin estudios en curso	713
22122	Hoz de Jaca	Con estudios en curso	7
22122	Hoz de Jaca	Sin estudios en curso	41
22124	Huerto	Con estudios en curso	15
22124	Huerto	Sin estudios en curso	94
22125	Huesca	Con estudios en curso	6256
22125	Huesca	Sin estudios en curso	19364
22126	Ibieca	Con estudios en curso	1
22126	Ibieca	Sin estudios en curso	46
22127	Igriés	Con estudios en curso	26
22127	Igriés	Sin estudios en curso	113
22128	Ilche	Con estudios en curso	23
22128	Ilche	Sin estudios en curso	105
22129	Isábena	Con estudios en curso	13
22129	Isábena	Sin estudios en curso	96
22130	Jaca	Con estudios en curso	1351
22130	Jaca	Sin estudios en curso	4767
22131	Jasa	Con estudios en curso	13
22131	Jasa	Sin estudios en curso	46
22133	Labuerda	Con estudios en curso	7
22133	Labuerda	Sin estudios en curso	73
22135	Laluenga	Con estudios en curso	11
22135	Laluenga	Sin estudios en curso	93
22136	Lalueza	Con estudios en curso	69
22136	Lalueza	Sin estudios en curso	465
22137	Lanaja	Con estudios en curso	100
22137	Lanaja	Sin estudios en curso	533
22139	Laperdiguera	Con estudios en curso	15
22139	Laperdiguera	Sin estudios en curso	31
22141	Lascellas-Ponzano	Con estudios en curso	5
22141	Lascellas-Ponzano	Sin estudios en curso	65
22142	Lascuarre	Con estudios en curso	15
22142	Lascuarre	Sin estudios en curso	58
22143	Laspaúles	Con estudios en curso	22
22143	Laspaúles	Sin estudios en curso	126
22144	Laspuña	Con estudios en curso	23
22144	Laspuña	Sin estudios en curso	103
22149	Loarre	Con estudios en curso	33
22149	Loarre	Sin estudios en curso	142
22150	Loporzano	Con estudios en curso	49
22150	Loporzano	Sin estudios en curso	213
22151	Loscorrales	Con estudios en curso	10
22151	Loscorrales	Sin estudios en curso	36
22155	Monesma y Cajigar	Con estudios en curso	5
22155	Monesma y Cajigar	Sin estudios en curso	37
22156	Monflorite-Lascasas	Con estudios en curso	17
22156	Monflorite-Lascasas	Sin estudios en curso	91
22157	Montanuy	Con estudios en curso	13
22157	Montanuy	Sin estudios en curso	127
22158	Monzón	Con estudios en curso	1427
22158	Monzón	Sin estudios en curso	6186
22160	Naval	Con estudios en curso	24
