Año	CCAA código	CCAA nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	02	Aragón		2077081	1876278	11338878	11338878
2004	02	Aragón		2148897	1914497	11934403	11821291
2005	02	Aragón	353020	2201929	1961623	12344969	12194477
2006	02	Aragón	342479	2040633		13044372	12543959
2007	02	Aragón	350047	2319570	2176715	14097058	13414552
2008	02	Aragón	355375	2429405	2288037	15021799	14343548
2009	02	Aragón	381023	2647977	2536293	16847912	15731440
2010	02	Aragón	378399	2799238	2632275	17595547	16405292
2011	02	Aragón	370259	2875835	2753820	18451936	17068325
2012	02	Aragón	410414	2744837	2656381	18116639	17562374
2013	02	Aragón	417310	3423286	3224673	22103270	21436229
2014	02	Aragón	374809	3333545	3242535	22143499	21182359
2015	02	Aragón	353615	3623000	3390138	23239997	22613357
2016	02	Aragón	354108	3893802,47	3673001,69	24810554	22827283
2017	02	Aragón	380761	4107548	4010365	27024138	25304974
