Municipio código	Municipio nombre	Salario Percepciones	Salario Retribución	Salario medio por percepción	Pensión Percepciones	Pensión Retribución	Pensión media por percepción	Desempleo Perceptores	Desempleo Retribución	Desempleo prestación media anual	Año
22001	Abiego	75	617321,1	8230,948	94	456885,63	4860,48542553191				1999
22001	Abiego	68	657877,3	9674,66617647059	87	453728,64	5215,27172413793				2000
22001	Abiego	74	671212,55	9070,43986486486	90	472915,45	5254,61611111111	8	18988,28	2373,535	2001
22001	Abiego	76	712629,45	9376,70328947368	84	466729	5556,29761904762	7	14508,83	2072,69	2002
22001	Abiego	79	756680,75	9578,23734177215	81	490677,02	6057,74098765432	9	22532,32	2503,59111111111	2003
22001	Abiego	86	858450,19	9981,97895348837	86	490415,34	5702,50395348837	8	26400,76	3300,095	2004
22001	Abiego	82	889527,71	10847,898902439	81	506580,56	6254,08098765432	8	21292,39	2661,54875	2005
22001	Abiego	83	1058398,17	12751,7851807229	80	521475,76	6518,447	9	24160,47	2684,49666666667	2006
22001	Abiego	105	1112476,03	10595,0098095238	82	563704,01	6874,43914634146	10	39173,47	3917,347	2007
22001	Abiego	89	1171682,28	13164,9694382022	93	772261,28	8303,8847311828	11	32853,92	2986,72	2008
22001	Abiego	81	1170852,16	14454,9649382716	91	719874,85	7910,71263736264	10	37266,92	3726,692	2009
22001	Abiego	93	1276748,11	13728,4743010753	90	713187,42	7924,30466666667	11	46670,09	4242,73545454545	2010
22002	Abizanda	36	174023,69	4833,99138888889	25	103495,2	4139,808				1999
22002	Abizanda	37	219380,8	5929,21081081081	23	113984,22	4955,83565217391				2000
22002	Abizanda	32	253503,91	7921,9971875	27	152002,86	5629,73555555556				2001
22002	Abizanda	40	277953,29	6948,83225	25	143513,02	5740,5208				2002
22002	Abizanda	43	311006,77	7232,71558139535	26	138824,7	5339,41153846154				2003
22002	Abizanda	41	342487,67	8353,35780487805	22	146413,75	6655,17045454545				2004
22002	Abizanda	33	311903,53	9451,62212121212	23	179843,21	7819,27				2005
22002	Abizanda	27	303131,36	11227,0874074074	26	219881	8456,96153846154				2006
22002	Abizanda	36	413597,76	11488,8266666667	23	182130,95	7918,73695652174				2007
22002	Abizanda	35	374691,66	10705,476	32	271858,88	8495,59				2008
22002	Abizanda	27	381967,11	14146,93	29	257436,57	8877,12310344828				2009
22002	Abizanda	25	381152,2	15246,088	29	240046,53	8277,46655172414				2010
22003	Adahuesca	52	438405,32	8430,87153846154	66	317592,42	4812,00636363636				1999
22003	Adahuesca	41	445982,87	10877,6309756098	65	359958,69	5537,826				2000
22003	Adahuesca	39	525329,13	13469,9776923077	66	370093,45	5607,47651515152				2001
22003	Adahuesca	39	562742,82	14429,3030769231	56	361623,39	6457,56053571429				2002
22003	Adahuesca	35	517100,26	14774,2931428571	52	370754,7	7129,89807692308				2003
22003	Adahuesca	46	625593,13	13599,8506521739	54	410984,45	7610,82314814815				2004
22003	Adahuesca	54	655045,07	12130,4642592593	54	418420	7748,51851851852				2005
22003	Adahuesca	57	608250,96	10671,0694736842	48	394253,23	8213,60895833333				2006
22003	Adahuesca	50	633285,52	12665,7104	46	400246,63	8701,01369565217				2007
22003	Adahuesca	46	719266,05	15636,2184782609	48	429074,65	8939,05520833333				2008
22003	Adahuesca	42	616566,64	14680,1580952381	48	441545,89	9198,87270833333	8	20551,57	2568,94625	2009
22003	Adahuesca	46	667323,54	14507,0334782609	51	460707,69	9033,48411764706	7	8880,16	1268,59428571429	2010
22004	Agüero	63	286400,09	4546,03317460317	70	304079,93	4343,999				1999
22004	Agüero	42	274274,25	6530,33928571429	68	309639,73	4553,52544117647	7	13699,93	1957,13285714286	2000
22004	Agüero	29	265940,64	9170,36689655172	67	328913,53	4909,1571641791	7	13442,3	1920,32857142857	2001
22004	Agüero	29	261124,45	9004,29137931034	63	334198,32	5304,73523809524				2002
22004	Agüero	38	336798,77	8863,12552631579	62	363064,24	5855,87483870968				2003
22004	Agüero	54	379171,43	7021,69314814815	62	391466,36	6313,9735483871				2004
22004	Agüero	46	397877,36	8649,50782608696	61	397885,92	6522,72				2005
22004	Agüero	43	537585,68	12501,9925581395	62	430995,75	6951,54435483871				2006
22004	Agüero	42	399813,18	9519,36142857143	58	450499,57	7767,23396551724				2007
22004	Agüero	45	506399,44	11253,3208888889	61	504871,63	8276,58409836066	7	19374,26	2767,75142857143	2008
22004	Agüero	43	493891,35	11485,8453488372	57	499125,31	8756,58438596491	7	15189,59	2169,94142857143	2009
22004	Agüero	51	505731,44	9916,30274509804	64	534422,9	8350,3578125	10	19757,32	1975,732	2010
22006	Aísa	125	950791,77	7606,33416	57	302287,92	5303,29684210526	18	31364,78	1742,48777777778	1999
22006	Aísa	133	969261,67	7287,68172932331	62	318075,79	5130,25467741935	16	39128,11	2445,506875	2000
22006	Aísa	184	1105586,81	6008,6239673913	57	330040,19	5790,17877192982	15	28976,41	1931,76066666667	2001
22006	Aísa	153	1149460,52	7512,81385620915	55	362566,38	6592,116	11	26918,6	2447,14545454545	2002
22006	Aísa	155	1275776,95	8230,81903225806	56	377616,56	6743,15285714286	14	35587,33	2541,95214285714	2003
22006	Aísa	198	1378923,88	6964,26202020202	50	329097,41	6581,9482	17	28598,71	1682,27705882353	2004
22006	Aísa	171	1474935,36	8625,35298245614	60	429063,27	7151,0545	15	39847,97	2656,53133333333	2005
22006	Aísa	157	1474622,05	9392,49713375796	61	462292,25	7578,56147540984	21	59129,1	2815,67142857143	2006
22006	Aísa	168	1505391,6	8960,66428571429	62	463161,46	7470,34612903226	26	64557	2482,96153846154	2007
22006	Aísa	152	1525693,12	10037,4547368421	63	568714,29	9027,21095238095	15	32311,52	2154,10133333333	2008
22006	Aísa	142	1540603,75	10849,3221830986	63	540622,65	8581,3119047619	18	44205,35	2455,85277777778	2009
22006	Aísa	149	1691912,88	11355,12	61	573585,64	9403,04327868852	23	70230,56	3053,50260869565	2010
22007	Albalate de Cinca	494	3303541,49	6687,330951417	287	1364700,92	4755,05547038328	20	36371,87	1818,5935	1999
22007	Albalate de Cinca	560	3816015,01	6814,31251785714	290	1458193,9	5028,25482758621	24	48019,2	2000,8	2000
22007	Albalate de Cinca	583	4276974,57	7336,14849056604	288	1521698,56	5283,67555555556	32	79368,06	2480,251875	2001
22007	Albalate de Cinca	654	4853725,51	7421,59863914373	286	1634784,08	5716,02825174825	38	102121,43	2687,40605263158	2002
22007	Albalate de Cinca	706	5197080,29	7361,30352691218	292	1809427,75	6196,67037671233	43	120790,67	2809,08534883721	2003
22007	Albalate de Cinca	653	5399934,41	8269,42482388974	303	1923137,42	6346,98818481848	49	117519,29	2398,35285714286	2004
22007	Albalate de Cinca	718	6100658,19	8496,73842618384	317	1979000,45	6242,90362776025	46	103128,35	2241,92065217391	2005
22007	Albalate de Cinca	809	6749813,99	8343,40419035847	307	2141446,37	6975,39534201954	51	102578,01	2011,33352941176	2006
