Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22001	Abiego	Presupuestos	Consolidada	460940,9	15065	208678	14942,84	98973	7000	116282,06
2010	22002	Abizanda	Presupuestos	Consolidada	628412,25	0	0	26000	476150,66	0	126261,59
2010	22003	Adahuesca	Presupuestos	Consolidada	430890,57	6005	87816	2010	157747,98	56542	120769,59
2010	22004	Agüero	Presupuestos	Consolidada	374864	51400	90314	139000	10200	0	83950
2010	22006	Aísa	Presupuestos	Consolidada	1014715,04	61767,13	257163,03	630	34530	165374,77	495250,11
2010	22007	Albalate de Cinca	Presupuestos	Consolidada	1394842,05	71354,31	366926	61200	551873,96	103514,26	239973,52
2010	22008	Albalatillo	Presupuestos	Consolidada	294371	6250	0	7450	211561	0	69110
2010	22009	Albelda	Presupuestos	Consolidada	1060720	54891,76	340723,99	0	200193,22	228071,75	236839,28
2010	22011	Albero Alto	Presupuestos	Consolidada	223685,75	0	90776,95	0	61743,64	46565,31	24599,85
2010	22012	Albero Bajo	Presupuestos	Consolidada	153425	4050	42395	0	7000	99980	0
2010	22013	Alberuela de Tubo	Presupuestos	Consolidada	434051	10800	0	15394	310276	9000	88581
2010	22014	Alcalá de Gurrea	Presupuestos	Consolidada	963731	0	348515	125518	304465	13700	171533
2010	22015	Alcalá del Obispo	Presupuestos	Clasificación Económica de la Administración General							
2010	22016	Alcampell	Presupuestos	Consolidada	645498	66500	89000	52000	118348	81840	237810
2010	22017	Alcolea de Cinca	Presupuestos	Consolidada	1322262,91	80138,06	107077,45	60300	555960,41	53500	465286,99
2010	22018	Alcubierre	Presupuestos	Consolidada	571532,75	32761,96	56738,74	6939,56	258492,65	34200	182399,84
2010	22019	Alerre	Presupuestos	Consolidada	402305,06	491,93	314045,71	0	19741,5	8000	60025,92
2010	22020	Alfántega	Presupuestos	Sin información							
2010	22021	Almudévar	Presupuestos	Consolidada	3433954	190734,77	315300	484592,12	1168428,36	49000	1225898,75
2010	22022	Almunia de San Juan	Presupuestos	Consolidada	639526	24737,01	121256	30500	315429,67	0	147603,32
2010	22023	Almuniente	Presupuestos	Consolidada	895909,06	67871,62	0	0	45000	483811,97	299225,47
2010	22024	Alquézar	Presupuestos	Consolidada	904486,64	0	505115,13	28148,7	198336,96	12005	160880,85
2010	22025	Altorricón	Presupuestos	Consolidada	1543545	70000	499349	7000	647999	57000	262197
2010	22027	Angüés	Presupuestos	Consolidada	508242,14	11000	0	20955,71	293660,45	15000	167625,98
2010	22028	Ansó	Presupuestos	Consolidada	905280	18700	0	26430	87000	479700	293450
2010	22029	Antillón	Presupuestos	Consolidada	326060,46	19927,15	0	0	39745,3	22200	244188,01
2010	22032	Aragüés del Puerto	Presupuestos	Consolidada	258792	17700	116767	0	20000	0	104325
2010	22035	Arén	Presupuestos	Sin información							
2010	22036	Argavieso	Presupuestos	Consolidada	155130	3510	17900	0	103080	500	30140
2010	22037	Arguis	Presupuestos	Sin información							
2010	22039	Ayerbe	Presupuestos	Consolidada	2360842,23	78778	1543183,92	0	59600	6000	673280,31
2010	22040	Azanuy-Alins	Presupuestos	Sin información							
2010	22041	Azara	Presupuestos	Consolidada	387400	3600	107900	1000	213300	5000	56600
2010	22042	Azlor	Presupuestos	Consolidada	572665	11450	347900	54900	98350	0	60065
2010	22043	Baells	Presupuestos	Sin información							
2010	22044	Bailo	Presupuestos	Consolidada	638300,54	68648,59	0	30005,14	210642,84	152074,69	176929,28
2010	22045	Baldellou	Presupuestos	Sin información							
2010	22046	Ballobar	Presupuestos	Sin información							
2010	22047	Banastás	Presupuestos	Consolidada	134453,88	0	20000	0	44441,5	3200	66812,38
2010	22048	Barbastro	Presupuestos	Consolidada	16057610,47	1422993,75	5257224,09	1781196,86	4107002,8	565071,54	2924121,43
2010	22049	Barbués	Presupuestos	Consolidada	205553,76	100	26500	4800	5700	146553,76	21900
2010	22050	Barbuñales	Presupuestos	Consolidada	221213	2935	189643	2950	6400	0	19285
2010	22051	Bárcabo	Presupuestos	Consolidada	329147,8	5096	88287,55	9600,08	167101,11	0	59063,06
2010	22052	Belver de Cinca	Presupuestos	Sin información							
2010	22053	Benabarre	Presupuestos	Consolidada	3364045	147800	874883,17	1082500	830083,51	200535	228243,32
2010	22054	Benasque	Presupuestos	Consolidada	4165500	371600	1362800	400000	1047420	185000	798680
2010	22055	Berbegal	Presupuestos	Sin información							
