CCAA código	CCAA nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
02	Aragón	01	a) Sin SAU	1477
02	Aragón	02	b) <2 Ha de SAU	175
02	Aragón	03	b) <2 Ha de SAU	492
02	Aragón	04	b) <2 Ha de SAU	559
02	Aragón	05	b) <2 Ha de SAU	5555
02	Aragón	06	c) >=2 a <5 Ha de SAU	3617
02	Aragón	07	c) >=2 a <5 Ha de SAU	2790
02	Aragón	08	c) >=2 a <5 Ha de SAU	2171
02	Aragón	09	d) >=5 a < 10 Ha de SAU	7105
02	Aragón	10	e) >=10 a <20 Ha de SAU	7564
02	Aragón	11	f) >=20 a < 30 Ha de SAU	4454
02	Aragón	12	g) >=30 a < 50 Ha de SAU	5507
02	Aragón	13	h) >=50 a < 100 Ha de SAU	2986
02	Aragón	14	h) >=50 a < 100 Ha de SAU	2715
02	Aragón	15	i) >=100 Ha de SAU	2432
02	Aragón	16	i) >=100 Ha de SAU	1157
02	Aragón	17	i) >=100 Ha de SAU	1013
02	Aragón	18	i) >=100 Ha de SAU	593
02	Aragón	19	i) >=100 Ha de SAU	290
02	Aragón	20	i) >=100 Ha de SAU	92
02	Aragón	21	i) >=100 Ha de SAU	30
