Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
03	Sobrarbe	Asia	07	Asia	Segundo grado	2
04	La Ribagorza	Europa	01	UE-15	Analfabetos	7
04	La Ribagorza	Europa	01	UE-15	Sin estudios	10
04	La Ribagorza	Europa	01	UE-15	Primer grado	15
04	La Ribagorza	Europa	01	UE-15	Segundo grado	39
04	La Ribagorza	Europa	01	UE-15	Tercer grado	33
04	La Ribagorza	Europa	02	Resto de Europa	Analfabetos	3
04	La Ribagorza	Europa	02	Resto de Europa	Sin estudios	7
04	La Ribagorza	Europa	02	Resto de Europa	Primer grado	12
04	La Ribagorza	Europa	02	Resto de Europa	Segundo grado	57
04	La Ribagorza	Europa	02	Resto de Europa	Tercer grado	10
04	La Ribagorza	África	03	Magreb	Analfabetos	2
04	La Ribagorza	África	03	Magreb	Sin estudios	1
04	La Ribagorza	África	03	Magreb	Primer grado	7
04	La Ribagorza	África	03	Magreb	Segundo grado	7
04	La Ribagorza	África	03	Magreb	Tercer grado	1
04	La Ribagorza	África	04	Resto de África	Analfabetos	3
04	La Ribagorza	África	04	Resto de África	Primer grado	4
04	La Ribagorza	África	04	Resto de África	Segundo grado	4
04	La Ribagorza	África	04	Resto de África	Tercer grado	2
04	La Ribagorza	América	05	América del Norte	Analfabetos	2
04	La Ribagorza	América	06	Resto de América	Analfabetos	15
04	La Ribagorza	América	06	Resto de América	Sin estudios	14
04	La Ribagorza	América	06	Resto de América	Primer grado	36
04	La Ribagorza	América	06	Resto de América	Segundo grado	77
04	La Ribagorza	América	06	Resto de América	Tercer grado	11
04	La Ribagorza	Asia	07	Asia	Segundo grado	1
04	La Ribagorza	Asia	07	Asia	Tercer grado	2
04	La Ribagorza	Oceanía	08	Oceanía	Segundo grado	3
05	Cinco Villas	Europa	01	UE-15	Analfabetos	3
05	Cinco Villas	Europa	01	UE-15	Sin estudios	4
05	Cinco Villas	Europa	01	UE-15	Primer grado	9
05	Cinco Villas	Europa	01	UE-15	Segundo grado	29
05	Cinco Villas	Europa	01	UE-15	Tercer grado	11
05	Cinco Villas	Europa	02	Resto de Europa	Analfabetos	22
05	Cinco Villas	Europa	02	Resto de Europa	Sin estudios	33
05	Cinco Villas	Europa	02	Resto de Europa	Primer grado	131
05	Cinco Villas	Europa	02	Resto de Europa	Segundo grado	161
05	Cinco Villas	Europa	02	Resto de Europa	Tercer grado	20
05	Cinco Villas	África	03	Magreb	Analfabetos	14
05	Cinco Villas	África	03	Magreb	Sin estudios	42
05	Cinco Villas	África	03	Magreb	Primer grado	120
05	Cinco Villas	África	03	Magreb	Segundo grado	205
05	Cinco Villas	África	03	Magreb	Tercer grado	29
05	Cinco Villas	África	04	Resto de África	Analfabetos	3
05	Cinco Villas	África	04	Resto de África	Sin estudios	11
05	Cinco Villas	África	04	Resto de África	Primer grado	17
05	Cinco Villas	África	04	Resto de África	Segundo grado	15
05	Cinco Villas	América	05	América del Norte	Analfabetos	2
05	Cinco Villas	América	05	América del Norte	Primer grado	1
05	Cinco Villas	América	05	América del Norte	Segundo grado	2
05	Cinco Villas	América	05	América del Norte	Tercer grado	1
05	Cinco Villas	América	06	Resto de América	Analfabetos	26
05	Cinco Villas	América	06	Resto de América	Sin estudios	38
05	Cinco Villas	América	06	Resto de América	Primer grado	69
05	Cinco Villas	América	06	Resto de América	Segundo grado	107
05	Cinco Villas	América	06	Resto de América	Tercer grado	25
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	Analfabetos	5
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	Sin estudios	19
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	Primer grado	30
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	Segundo grado	72
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	Tercer grado	49
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	Analfabetos	7
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	Sin estudios	16
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	Primer grado	30
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	Segundo grado	85
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	Tercer grado	28
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	Analfabetos	11
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	Sin estudios	54
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	Primer grado	70
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	Segundo grado	67
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	Tercer grado	16
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	Analfabetos	33
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	Sin estudios	72
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	Primer grado	53
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	Segundo grado	86
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	Tercer grado	8
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	Analfabetos	2
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	Primer grado	4
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	Segundo grado	7
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	Tercer grado	8
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	Analfabetos	34
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	Sin estudios	53
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	Primer grado	105
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	Segundo grado	211
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	Tercer grado	43
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	Analfabetos	7
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	Sin estudios	8
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	Primer grado	16
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	Segundo grado	22
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	Tercer grado	6
07	Somontano de Barbastro	Europa	01	UE-15	Analfabetos	4
07	Somontano de Barbastro	Europa	01	UE-15	Sin estudios	4
07	Somontano de Barbastro	Europa	01	UE-15	Primer grado	16
07	Somontano de Barbastro	Europa	01	UE-15	Segundo grado	25
07	Somontano de Barbastro	Europa	01	UE-15	Tercer grado	22
07	Somontano de Barbastro	Europa	02	Resto de Europa	Analfabetos	6
07	Somontano de Barbastro	Europa	02	Resto de Europa	Sin estudios	7
07	Somontano de Barbastro	Europa	02	Resto de Europa	Primer grado	29
07	Somontano de Barbastro	Europa	02	Resto de Europa	Segundo grado	48
07	Somontano de Barbastro	Europa	02	Resto de Europa	Tercer grado	7
07	Somontano de Barbastro	África	03	Magreb	Analfabetos	40
07	Somontano de Barbastro	África	03	Magreb	Sin estudios	58
07	Somontano de Barbastro	África	03	Magreb	Primer grado	71
07	Somontano de Barbastro	África	03	Magreb	Segundo grado	43
07	Somontano de Barbastro	África	03	Magreb	Tercer grado	3
07	Somontano de Barbastro	África	04	Resto de África	Analfabetos	18
07	Somontano de Barbastro	África	04	Resto de África	Sin estudios	19
07	Somontano de Barbastro	África	04	Resto de África	Primer grado	8
07	Somontano de Barbastro	África	04	Resto de África	Segundo grado	13
07	Somontano de Barbastro	América	05	América del Norte	Sin estudios	1
07	Somontano de Barbastro	América	05	América del Norte	Primer grado	1
07	Somontano de Barbastro	América	05	América del Norte	Tercer grado	1
07	Somontano de Barbastro	América	06	Resto de América	Analfabetos	16
07	Somontano de Barbastro	América	06	Resto de América	Sin estudios	21
07	Somontano de Barbastro	América	06	Resto de América	Primer grado	52
07	Somontano de Barbastro	América	06	Resto de América	Segundo grado	96
07	Somontano de Barbastro	América	06	Resto de América	Tercer grado	8
07	Somontano de Barbastro	Asia	07	Asia	Analfabetos	5
07	Somontano de Barbastro	Asia	07	Asia	Sin estudios	2
