Tipo de hogar, código	Tipo de hogar	Provincia: 	Provincia nombre	Nº hogares
1	Hogares unipersonales	22	Huesca	22316,6910893541
1	Hogares unipersonales	44	Teruel	13856,9070573292
1	Hogares unipersonales	50	Zaragoza	100346,15150834
2	Hogares multipersonales no forman familia	22	Huesca	1390,1619118009
2	Hogares multipersonales no forman familia	44	Teruel	470,8550150219
2	Hogares multipersonales no forman familia	50	Zaragoza	5276,6311987253
3	Hogares multipersonales forman una familia sin otras personas	22	Huesca	2101,7848858084
3	Hogares multipersonales forman una familia sin otras personas	44	Teruel	1280,2986853839
3	Hogares multipersonales forman una familia sin otras personas	50	Zaragoza	7309,0989078983
4	Hogares multipersonales forman una familia sin otras personas	22	Huesca	55556,2767537277
4	Hogares multipersonales forman una familia sin otras personas	44	Teruel	36176,3772846456
4	Hogares multipersonales forman una familia sin otras personas	50	Zaragoza	255034,914144674
5	Hogares multipersonales forman una familia sin otras personas	22	Huesca	5378,9576192202
5	Hogares multipersonales forman una familia sin otras personas	44	Teruel	2873,124579147
5	Hogares multipersonales forman una familia sin otras personas	50	Zaragoza	16783,3227914735
6	Hogares multipersonales forman una familia sin otras personas	22	Huesca	1520,9265337604
6	Hogares multipersonales forman una familia sin otras personas	44	Teruel	804,1318398414
6	Hogares multipersonales forman una familia sin otras personas	50	Zaragoza	4059,1019639201
7	Hogares multipersonales forman una familia con otras personas no emparentadas	22	Huesca	781,419219395
7	Hogares multipersonales forman una familia con otras personas no emparentadas	44	Teruel	594,2099189475
7	Hogares multipersonales forman una familia con otras personas no emparentadas	50	Zaragoza	4316,6508704548
8	Hogares multipersonales con dos o más familias	22	Huesca	133,7283532117
8	Hogares multipersonales con dos o más familias	44	Teruel	52,7583462806
8	Hogares multipersonales con dos o más familias	50	Zaragoza	455,9782797706
