Año	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	CCAA
2018	Hombres	11139	Leves	1	Aragón
2018	Mujeres	4307	Leves	1	Aragón
2017	Hombres	10360	Leves	1	Aragón
2017	Mujeres	4078	Leves	1	Aragón
2016	Hombres	9668	Leves	1	Aragón
2016	Mujeres	4091	Leves	1	Aragón
2015	Hombres	8708	Leves	1	Aragón
2015	Mujeres	3668	Leves	1	Aragón
2014	Hombres	7832	Leves	1	Aragón
2014	Mujeres	3398	Leves	1	Aragón
2013	Hombres	7556	Leves	1	Aragón
2013	Mujeres	3290	Leves	1	Aragón
2012	Hombres	8144	Leves	1	Aragón
2012	Mujeres	2913	Leves	1	Aragón
2011	Hombres	9917	Leves	1	Aragón
2011	Mujeres	3713	Leves	1	Aragón
2010	Hombres	11020	Leves	1	Aragón
2010	Mujeres	4045	Leves	1	Aragón
2009	Hombres	11750	Leves	1	Aragón
2009	Mujeres	4101	Leves	1	Aragón
2008	Hombres	17375	Leves	1	Aragón
2008	Mujeres	5504	Leves	1	Aragón
2007	Hombres	19242	Leves	1	Aragón
2007	Mujeres	5501	Leves	1	Aragón
2006	Hombres	18194	Leves	1	Aragón
2006	Mujeres	4955	Leves	1	Aragón
2005	Hombres	17071	Leves	1	Aragón
2005	Mujeres	4685	Leves	1	Aragón
2004	Hombres	16328	Leves	1	Aragón
2004	Mujeres	4204	Leves	1	Aragón
2003	Hombres	16459	Leves	1	Aragón
2003	Mujeres	4089	Leves	1	Aragón
2018	Hombres	99	Graves o muy graves	2	Aragón
2018	Mujeres	9	Graves o muy graves	2	Aragón
2017	Hombres	92	Graves o muy graves	2	Aragón
2017	Mujeres	10	Graves o muy graves	2	Aragón
2016	Hombres	72	Graves o muy graves	2	Aragón
2016	Mujeres	7	Graves o muy graves	2	Aragón
2015	Hombres	73	Graves o muy graves	2	Aragón
2015	Mujeres	7	Graves o muy graves	2	Aragón
2014	Hombres	73	Graves o muy graves	2	Aragón
2014	Mujeres	7	Graves o muy graves	2	Aragón
2013	Hombres	63	Graves o muy graves	2	Aragón
2013	Mujeres	9	Graves o muy graves	2	Aragón
2012	Hombres	75	Graves o muy graves	2	Aragón
2012	Mujeres	12	Graves o muy graves	2	Aragón
2011	Hombres	73	Graves o muy graves	2	Aragón
2011	Mujeres	7	Graves o muy graves	2	Aragón
2010	Hombres	97	Graves o muy graves	2	Aragón
2010	Mujeres	7	Graves o muy graves	2	Aragón
2009	Hombres	116	Graves o muy graves	2	Aragón
2009	Mujeres	15	Graves o muy graves	2	Aragón
2008	Hombres	132	Graves o muy graves	2	Aragón
2008	Mujeres	9	Graves o muy graves	2	Aragón
2007	Hombres	181	Graves o muy graves	2	Aragón
2007	Mujeres	9	Graves o muy graves	2	Aragón
2006	Hombres	157	Graves o muy graves	2	Aragón
2006	Mujeres	11	Graves o muy graves	2	Aragón
2005	Hombres	182	Graves o muy graves	2	Aragón
2005	Mujeres	16	Graves o muy graves	2	Aragón
2004	Hombres	201	Graves o muy graves	2	Aragón
2004	Mujeres	25	Graves o muy graves	2	Aragón
2003	Hombres	211	Graves o muy graves	2	Aragón
2003	Mujeres	17	Graves o muy graves	2	Aragón
2018	Hombres	26	Mortales	3	Aragón
2017	Hombres	26	Mortales	3	Aragón
2016	Hombres	22	Mortales	3	Aragón
2016	Mujeres	1	Mortales	3	Aragón
2015	Hombres	24	Mortales	3	Aragón
2015	Mujeres	4	Mortales	3	Aragón
2014	Hombres	13	Mortales	3	Aragón
2014	Mujeres	2	Mortales	3	Aragón
2013	Hombres	16	Mortales	3	Aragón
2013	Mujeres	1	Mortales	3	Aragón
2012	Hombres	18	Mortales	3	Aragón
2012	Mujeres	1	Mortales	3	Aragón
2011	Hombres	21	Mortales	3	Aragón
2011	Mujeres	2	Mortales	3	Aragón
2010	Hombres	24	Mortales	3	Aragón
2010	Mujeres	1	Mortales	3	Aragón
2009	Hombres	36	Mortales	3	Aragón
2008	Hombres	29	Mortales	3	Aragón
2008	Mujeres	1	Mortales	3	Aragón
2007	Hombres	38	Mortales	3	Aragón
2007	Mujeres	1	Mortales	3	Aragón
2006	Hombres	33	Mortales	3	Aragón
2006	Mujeres	1	Mortales	3	Aragón
2005	Hombres	34	Mortales	3	Aragón
2005	Mujeres	1	Mortales	3	Aragón
2004	Hombres	42	Mortales	3	Aragón
2004	Mujeres	2	Mortales	3	Aragón
2003	Hombres	31	Mortales	3	Aragón
2003	Mujeres	1	Mortales	3	Aragón
