Comarca codigo	Comarca nombre	Nivel estudios, código	Nivel estudios	Sexo, código	Sexo	Personas
13	Campo de Borja	5	Bachillerato Superior	6	Mujer	487,8391487202
14	Aranda	5	Bachillerato Superior	6	Mujer	129,5531798385
15	Ribera Alta del Ebro	5	Bachillerato Superior	6	Mujer	864,4200439538
16	Valdejalón	5	Bachillerato Superior	6	Mujer	1351,994568485
17	D.C. Zaragoza	5	Bachillerato Superior	6	Mujer	34316,3668301987
18	Ribera Baja del Ebro	5	Bachillerato Superior	6	Mujer	250,2617762656
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Bachillerato Superior	6	Mujer	364,5999116458
20	Comunidad de Calatayud	5	Bachillerato Superior	6	Mujer	1103,7762127704
21	Campo de Cariñena	5	Bachillerato Superior	6	Mujer	345,7334777016
22	Campo de Belchite	5	Bachillerato Superior	6	Mujer	106,7991998792
23	Bajo Martín	5	Bachillerato Superior	6	Mujer	108,8252667363
24	Campo de Daroca	5	Bachillerato Superior	6	Mujer	214,5583205969
25	Jiloca	5	Bachillerato Superior	6	Mujer	322,7277878048
26	Cuencas Mineras	5	Bachillerato Superior	6	Mujer	176,2721840524
27	Andorra-Sierra de Arcos	5	Bachillerato Superior	6	Mujer	323,8223867849
28	Bajo Aragón	5	Bachillerato Superior	6	Mujer	911,3864424254
29	Comunidad de Teruel	5	Bachillerato Superior	6	Mujer	1976,3316551828
30	Maestrazgo	5	Bachillerato Superior	6	Mujer	85,5675621282
31	Sierra de Albarracín	5	Bachillerato Superior	6	Mujer	91,0395617309
32	Gúdar-Javalambre	5	Bachillerato Superior	6	Mujer	234,9402476138
33	Matarraña / Matarranya	5	Bachillerato Superior	6	Mujer	225,3954704327
01	La Jacetania	6	FP Grado Medio	6	Mujer	458,3158968064
02	Alto Gállego	6	FP Grado Medio	6	Mujer	352,8005670713
03	Sobrarbe	6	FP Grado Medio	6	Mujer	149,2850971541
04	La Ribagorza	6	FP Grado Medio	6	Mujer	285,9273102834
05	Cinco Villas	6	FP Grado Medio	6	Mujer	838,6172846825
06	Hoya de Huesca / Plana de Uesca	6	FP Grado Medio	6	Mujer	1591,6490031023
07	Somontano de Barbastro	6	FP Grado Medio	6	Mujer	470,7777115896
08	Cinca Medio	6	FP Grado Medio	6	Mujer	612,3429644328
09	La Litera / La Llitera	6	FP Grado Medio	6	Mujer	424,00108117
10	Los Monegros	6	FP Grado Medio	6	Mujer	372,1829016275
11	Bajo Cinca / Baix Cinca	6	FP Grado Medio	6	Mujer	559,2517304771
12	Tarazona y el Moncayo	6	FP Grado Medio	6	Mujer	278,0140421413
13	Campo de Borja	6	FP Grado Medio	6	Mujer	309,1946381971
14	Aranda	6	FP Grado Medio	6	Mujer	73,0940896091
15	Ribera Alta del Ebro	6	FP Grado Medio	6	Mujer	935,0551996971
16	Valdejalón	6	FP Grado Medio	6	Mujer	590,1200370906
17	D.C. Zaragoza	6	FP Grado Medio	6	Mujer	19493,2758273511
18	Ribera Baja del Ebro	6	FP Grado Medio	6	Mujer	288,104606143
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	FP Grado Medio	6	Mujer	308,1856482686
20	Comunidad de Calatayud	6	FP Grado Medio	6	Mujer	915,7991178545
21	Campo de Cariñena	6	FP Grado Medio	6	Mujer	172,2368963151
22	Campo de Belchite	6	FP Grado Medio	6	Mujer	82,5667758499
23	Bajo Martín	6	FP Grado Medio	6	Mujer	80,7905358195
24	Campo de Daroca	6	FP Grado Medio	6	Mujer	111,9035816791
25	Jiloca	6	FP Grado Medio	6	Mujer	272,6965153134
26	Cuencas Mineras	6	FP Grado Medio	6	Mujer	173,3377777208
27	Andorra-Sierra de Arcos	6	FP Grado Medio	6	Mujer	242,5246620473
28	Bajo Aragón	6	FP Grado Medio	6	Mujer	724,3290890529
29	Comunidad de Teruel	6	FP Grado Medio	6	Mujer	899,29884376
30	Maestrazgo	6	FP Grado Medio	6	Mujer	54,7189507028
31	Sierra de Albarracín	6	FP Grado Medio	6	Mujer	71,3517610476
32	Gúdar-Javalambre	6	FP Grado Medio	6	Mujer	189,8809455638
33	Matarraña / Matarranya	6	FP Grado Medio	6	Mujer	174,3426439528
01	La Jacetania	7	FP Grado Superior	6	Mujer	396,8243181031
02	Alto Gállego	7	FP Grado Superior	6	Mujer	396,5026633924
03	Sobrarbe	7	FP Grado Superior	6	Mujer	120,0391266252
04	La Ribagorza	7	FP Grado Superior	6	Mujer	207,4364080628
05	Cinco Villas	7	FP Grado Superior	6	Mujer	684,349914365
06	Hoya de Huesca / Plana de Uesca	7	FP Grado Superior	6	Mujer	1138,2252144496
07	Somontano de Barbastro	7	FP Grado Superior	6	Mujer	669,3163340072
08	Cinca Medio	7	FP Grado Superior	6	Mujer	535,8371149541
09	La Litera / La Llitera	7	FP Grado Superior	6	Mujer	333,3013911836
10	Los Monegros	7	FP Grado Superior	6	Mujer	339,8050098206
11	Bajo Cinca / Baix Cinca	7	FP Grado Superior	6	Mujer	468,1131447563
12	Tarazona y el Moncayo	7	FP Grado Superior	6	Mujer	320,9672543251
13	Campo de Borja	7	FP Grado Superior	6	Mujer	212,7364690353
14	Aranda	7	FP Grado Superior	6	Mujer	58,4285163625
15	Ribera Alta del Ebro	7	FP Grado Superior	6	Mujer	713,912106171
16	Valdejalón	7	FP Grado Superior	6	Mujer	561,6913691349
17	D.C. Zaragoza	7	FP Grado Superior	6	Mujer	17531,1358820152
18	Ribera Baja del Ebro	7	FP Grado Superior	6	Mujer	134,0953788352
19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	FP Grado Superior	6	Mujer	336,7946125866
20	Comunidad de Calatayud	7	FP Grado Superior	6	Mujer	745,8779304763
21	Campo de Cariñena	7	FP Grado Superior	6	Mujer	146,8721201846
22	Campo de Belchite	7	FP Grado Superior	6	Mujer	49,5424414747
23	Bajo Martín	7	FP Grado Superior	6	Mujer	126,8788470715
24	Campo de Daroca	7	FP Grado Superior	6	Mujer	104,6640897032
25	Jiloca	7	FP Grado Superior	6	Mujer	134,7049830919
26	Cuencas Mineras	7	FP Grado Superior	6	Mujer	98,77864912
27	Andorra-Sierra de Arcos	7	FP Grado Superior	6	Mujer	205,2351569468
28	Bajo Aragón	7	FP Grado Superior	6	Mujer	510,6117666309
29	Comunidad de Teruel	7	FP Grado Superior	6	Mujer	976,2734607028
30	Maestrazgo	7	FP Grado Superior	6	Mujer	53,4787494629
31	Sierra de Albarracín	7	FP Grado Superior	6	Mujer	60,4490127234
32	Gúdar-Javalambre	7	FP Grado Superior	6	Mujer	119,9710078585
33	Matarraña / Matarranya	7	FP Grado Superior	6	Mujer	100,7166616767
01	La Jacetania	8	Diplomatura	6	Mujer	702,3062153262
02	Alto Gállego	8	Diplomatura	6	Mujer	527,4884735488
03	Sobrarbe	8	Diplomatura	6	Mujer	271,1745083893
04	La Ribagorza	8	Diplomatura	6	Mujer	536,4713518645
05	Cinco Villas	8	Diplomatura	6	Mujer	917,4534049717
06	Hoya de Huesca / Plana de Uesca	8	Diplomatura	6	Mujer	3853,8771314176
07	Somontano de Barbastro	8	Diplomatura	6	Mujer	895,7386359391
08	Cinca Medio	8	Diplomatura	6	Mujer	669,3362560019
09	La Litera / La Llitera	8	Diplomatura	6	Mujer	518,2719626869
10	Los Monegros	8	Diplomatura	6	Mujer	551,3919303578
11	Bajo Cinca / Baix Cinca	8	Diplomatura	6	Mujer	737,9901908885
12	Tarazona y el Moncayo	8	Diplomatura	6	Mujer	480,1290889282
13	Campo de Borja	8	Diplomatura	6	Mujer	223,5818890588
14	Aranda	8	Diplomatura	6	Mujer	96,3725253131
15	Ribera Alta del Ebro	8	Diplomatura	6	Mujer	597,8977332539
16	Valdejalón	8	Diplomatura	6	Mujer	626,9705225533
17	D.C. Zaragoza	8	Diplomatura	6	Mujer	31905,0839480997
18	Ribera Baja del Ebro	8	Diplomatura	6	Mujer	168,0951121025
19	Bajo Aragón-Caspe / Baix Aragó-Casp	8	Diplomatura	6	Mujer	221,8469572462
20	Comunidad de Calatayud	8	Diplomatura	6	Mujer	1133,9614388224
21	Campo de Cariñena	8	Diplomatura	6	Mujer	190,8731513394
22	Campo de Belchite	8	Diplomatura	6	Mujer	88,5521358932
23	Bajo Martín	8	Diplomatura	6	Mujer	101,5248700691
24	Campo de Daroca	8	Diplomatura	6	Mujer	147,2968137901
25	Jiloca	8	Diplomatura	6	Mujer	351,1517275594
26	Cuencas Mineras	8	Diplomatura	6	Mujer	144,8570221497
27	Andorra-Sierra de Arcos	8	Diplomatura	6	Mujer	164,0565869275
28	Bajo Aragón	8	Diplomatura	6	Mujer	943,3055184009
29	Comunidad de Teruel	8	Diplomatura	6	Mujer	1848,1516166213
30	Maestrazgo	8	Diplomatura	6	Mujer	60,6820453235
31	Sierra de Albarracín	8	Diplomatura	6	Mujer	105,962803885
32	Gúdar-Javalambre	8	Diplomatura	6	Mujer	173,9581672225
33	Matarraña / Matarranya	8	Diplomatura	6	Mujer	164,3480719659
01	La Jacetania	9	Licenciatura y Grado	6	Mujer	113,0537603463
02	Alto Gállego	9	Licenciatura y Grado	6	Mujer	93,2690810446
03	Sobrarbe	9	Licenciatura y Grado	6	Mujer	70,3955809256
04	La Ribagorza	9	Licenciatura y Grado	6	Mujer	85,5692927583
05	Cinco Villas	9	Licenciatura y Grado	6	Mujer	112,6380052325
06	Hoya de Huesca / Plana de Uesca	9	Licenciatura y Grado	6	Mujer	509,3851884604
07	Somontano de Barbastro	9	Licenciatura y Grado	6	Mujer	73,3258139127
08	Cinca Medio	9	Licenciatura y Grado	6	Mujer	87,3259923714
09	La Litera / La Llitera	9	Licenciatura y Grado	6	Mujer	59,4901187005
10	Los Monegros	9	Licenciatura y Grado	6	Mujer	78,9754991568
11	Bajo Cinca / Baix Cinca	9	Licenciatura y Grado	6	Mujer	98,1533289005
12	Tarazona y el Moncayo	9	Licenciatura y Grado	6	Mujer	49,4656751569
13	Campo de Borja	9	Licenciatura y Grado	6	Mujer	39,7306558751
14	Aranda	9	Licenciatura y Grado	6	Mujer	11,2719316534
15	Ribera Alta del Ebro	9	Licenciatura y Grado	6	Mujer	122,7486086668
16	Valdejalón	9	Licenciatura y Grado	6	Mujer	163,0850612038
17	D.C. Zaragoza	9	Licenciatura y Grado	6	Mujer	5749,3448011614
18	Ribera Baja del Ebro	9	Licenciatura y Grado	6	Mujer	33,1934050273
19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Licenciatura y Grado	6	Mujer	22,9155963947
20	Comunidad de Calatayud	9	Licenciatura y Grado	6	Mujer	193,8986512616
21	Campo de Cariñena	9	Licenciatura y Grado	6	Mujer	43,895620031
22	Campo de Belchite	9	Licenciatura y Grado	6	Mujer	6,1667214063
23	Bajo Martín	9	Licenciatura y Grado	6	Mujer	13,9528910827
24	Campo de Daroca	9	Licenciatura y Grado	6	Mujer	8,2253266746
25	Jiloca	9	Licenciatura y Grado	6	Mujer	15,0044609144
26	Cuencas Mineras	9	Licenciatura y Grado	6	Mujer	19,7372218632
27	Andorra-Sierra de Arcos	9	Licenciatura y Grado	6	Mujer	47,3155107232
28	Bajo Aragón	9	Licenciatura y Grado	6	Mujer	95,2323985858
29	Comunidad de Teruel	9	Licenciatura y Grado	6	Mujer	218,9440389352
30	Maestrazgo	9	Licenciatura y Grado	6	Mujer	10,8794526022
31	Sierra de Albarracín	9	Licenciatura y Grado	6	Mujer	28,4670729182
32	Gúdar-Javalambre	9	Licenciatura y Grado	6	Mujer	32,7047536585
33	Matarraña / Matarranya	9	Licenciatura y Grado	6	Mujer	24,3362276564
01	La Jacetania	10	Licenciatura y Grado	6	Mujer	506,303858706
02	Alto Gállego	10	Licenciatura y Grado	6	Mujer	405,6366494063
03	Sobrarbe	10	Licenciatura y Grado	6	Mujer	188,7434011843
04	La Ribagorza	10	Licenciatura y Grado	6	Mujer	328,3235550987
05	Cinco Villas	10	Licenciatura y Grado	6	Mujer	379,7488712797
06	Hoya de Huesca / Plana de Uesca	10	Licenciatura y Grado	6	Mujer	2426,4611239862
07	Somontano de Barbastro	10	Licenciatura y Grado	6	Mujer	508,8784965193
08	Cinca Medio	10	Licenciatura y Grado	6	Mujer	351,5149063045
09	La Litera / La Llitera	10	Licenciatura y Grado	6	Mujer	244,1019424668
10	Los Monegros	10	Licenciatura y Grado	6	Mujer	289,6357713787
11	Bajo Cinca / Baix Cinca	10	Licenciatura y Grado	6	Mujer	325,3113591047
12	Tarazona y el Moncayo	10	Licenciatura y Grado	6	Mujer	242,2480512051
13	Campo de Borja	10	Licenciatura y Grado	6	Mujer	167,8834816729
14	Aranda	10	Licenciatura y Grado	6	Mujer	28,6627212535
15	Ribera Alta del Ebro	10	Licenciatura y Grado	6	Mujer	421,1769569192
16	Valdejalón	10	Licenciatura y Grado	6	Mujer	390,7764133178
17	D.C. Zaragoza	10	Licenciatura y Grado	6	Mujer	30498,9280720361
18	Ribera Baja del Ebro	10	Licenciatura y Grado	6	Mujer	126,4617744768
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10	Licenciatura y Grado	6	Mujer	226,7583383483
20	Comunidad de Calatayud	10	Licenciatura y Grado	6	Mujer	595,3600521014
21	Campo de Cariñena	10	Licenciatura y Grado	6	Mujer	213,2189303873
22	Campo de Belchite	10	Licenciatura y Grado	6	Mujer	41,4331145706
23	Bajo Martín	10	Licenciatura y Grado	6	Mujer	85,9925423952
24	Campo de Daroca	10	Licenciatura y Grado	6	Mujer	81,0671558137
25	Jiloca	10	Licenciatura y Grado	6	Mujer	203,7952451719
26	Cuencas Mineras	10	Licenciatura y Grado	6	Mujer	114,4734193477
27	Andorra-Sierra de Arcos	10	Licenciatura y Grado	6	Mujer	119,0981997437
28	Bajo Aragón	10	Licenciatura y Grado	6	Mujer	548,7521246257
29	Comunidad de Teruel	10	Licenciatura y Grado	6	Mujer	1325,5379757935
30	Maestrazgo	10	Licenciatura y Grado	6	Mujer	33,6689462274
31	Sierra de Albarracín	10	Licenciatura y Grado	6	Mujer	64,8422901769
32	Gúdar-Javalambre	10	Licenciatura y Grado	6	Mujer	114,6477330597
33	Matarraña / Matarranya	10	Licenciatura y Grado	6	Mujer	128,2792362448
01	La Jacetania	11	Doctorado y Máster	6	Mujer	44,8952588361
02	Alto Gállego	11	Doctorado y Máster	6	Mujer	8,019077651
03	Sobrarbe	11	Doctorado y Máster	6	Mujer	24,4435686092
04	La Ribagorza	11	Doctorado y Máster	6	Mujer	26,8913334846
05	Cinco Villas	11	Doctorado y Máster	6	Mujer	25,1276343746
06	Hoya de Huesca / Plana de Uesca	11	Doctorado y Máster	6	Mujer	289,262662162
07	Somontano de Barbastro	11	Doctorado y Máster	6	Mujer	150,9111599279
08	Cinca Medio	11	Doctorado y Máster	6	Mujer	49,3016457224
09	La Litera / La Llitera	11	Doctorado y Máster	6	Mujer	40,0108045963
10	Los Monegros	11	Doctorado y Máster	6	Mujer	42,7605541277
11	Bajo Cinca / Baix Cinca	11	Doctorado y Máster	6	Mujer	28,6776237364
12	Tarazona y el Moncayo	11	Doctorado y Máster	6	Mujer	28,309154213
13	Campo de Borja	11	Doctorado y Máster	6	Mujer	18,8219011298
14	Aranda	11	Doctorado y Máster	6	Mujer	8,1679062821
15	Ribera Alta del Ebro	11	Doctorado y Máster	6	Mujer	22,898093008
16	Valdejalón	11	Doctorado y Máster	6	Mujer	47,1828340662
17	D.C. Zaragoza	11	Doctorado y Máster	6	Mujer	4166,4381440934
18	Ribera Baja del Ebro	11	Doctorado y Máster	6	Mujer	6,2748875532
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	Doctorado y Máster	6	Mujer	27,6844813314
20	Comunidad de Calatayud	11	Doctorado y Máster	6	Mujer	99,5414194347
21	Campo de Cariñena	11	Doctorado y Máster	6	Mujer	14,1633154044
22	Campo de Belchite	11	Doctorado y Máster	6	Mujer	5,3517007844
23	Bajo Martín	11	Doctorado y Máster	6	Mujer	2,8067716944
24	Campo de Daroca	11	Doctorado y Máster	6	Mujer	6,4879679518
25	Jiloca	11	Doctorado y Máster	6	Mujer	17,7391491717
26	Cuencas Mineras	11	Doctorado y Máster	6	Mujer	21,4553280973
27	Andorra-Sierra de Arcos	11	Doctorado y Máster	6	Mujer	16,4026369824
28	Bajo Aragón	11	Doctorado y Máster	6	Mujer	30,5725574368
29	Comunidad de Teruel	11	Doctorado y Máster	6	Mujer	116,3339154648
30	Maestrazgo	11	Doctorado y Máster	6	Mujer	10,8604819764
31	Sierra de Albarracín	11	Doctorado y Máster	6	Mujer	3,7195646562
32	Gúdar-Javalambre	11	Doctorado y Máster	6	Mujer	9,5484060329
33	Matarraña / Matarranya	11	Doctorado y Máster	6	Mujer	12,8241339502
01	La Jacetania	12	Doctorado y Máster	6	Mujer	109,2675339214
02	Alto Gállego	12	Doctorado y Máster	6	Mujer	11,0069722508
03	Sobrarbe	12	Doctorado y Máster	6	Mujer	9,628198712
04	La Ribagorza	12	Doctorado y Máster	6	Mujer	26,943905669
05	Cinco Villas	12	Doctorado y Máster	6	Mujer	30,2638340389
06	Hoya de Huesca / Plana de Uesca	12	Doctorado y Máster	6	Mujer	159,121260819
07	Somontano de Barbastro	12	Doctorado y Máster	6	Mujer	26,0393061448
08	Cinca Medio	12	Doctorado y Máster	6	Mujer	14,9101806663
10	Los Monegros	12	Doctorado y Máster	6	Mujer	26,8770095327
11	Bajo Cinca / Baix Cinca	12	Doctorado y Máster	6	Mujer	15,6557810937
12	Tarazona y el Moncayo	12	Doctorado y Máster	6	Mujer	5,5134309848
13	Campo de Borja	12	Doctorado y Máster	6	Mujer	0,9655305983
15	Ribera Alta del Ebro	12	Doctorado y Máster	6	Mujer	20,1888652489
16	Valdejalón	12	Doctorado y Máster	6	Mujer	21,5999211902
17	D.C. Zaragoza	12	Doctorado y Máster	6	Mujer	2563,8293801345
18	Ribera Baja del Ebro	12	Doctorado y Máster	6	Mujer	0,9225134935
20	Comunidad de Calatayud	12	Doctorado y Máster	6	Mujer	6,7975875052
21	Campo de Cariñena	12	Doctorado y Máster	6	Mujer	1,4259904375
22	Campo de Belchite	12	Doctorado y Máster	6	Mujer	0,7564357664
23	Bajo Martín	12	Doctorado y Máster	6	Mujer	0,8867527024
25	Jiloca	12	Doctorado y Máster	6	Mujer	14,2380048149
27	Andorra-Sierra de Arcos	12	Doctorado y Máster	6	Mujer	3,1276796455
28	Bajo Aragón	12	Doctorado y Máster	6	Mujer	26,244018439
29	Comunidad de Teruel	12	Doctorado y Máster	6	Mujer	67,6980832466
30	Maestrazgo	12	Doctorado y Máster	6	Mujer	0,9394793647
31	Sierra de Albarracín	12	Doctorado y Máster	6	Mujer	1,5216002119
32	Gúdar-Javalambre	12	Doctorado y Máster	6	Mujer	7,5348204523
33	Matarraña / Matarranya	12	Doctorado y Máster	6	Mujer	11,904785649
