Comarca codigo	Comarca nombre	Nivel estudios, código	Nivel estudios	Sexo, código	Sexo	Personas
23	Bajo Martín	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1045,8209175349
24	Campo de Daroca	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1041,6482651328
25	Jiloca	4	ESO, EGB, Bachillerato Elemental	1	Hombre	2072,5038467853
26	Cuencas Mineras	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1515,9833368807
27	Andorra-Sierra de Arcos	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1595,0314969361
28	Bajo Aragón	4	ESO, EGB, Bachillerato Elemental	1	Hombre	4483,4623322042
29	Comunidad de Teruel	4	ESO, EGB, Bachillerato Elemental	1	Hombre	5695,2527803296
30	Maestrazgo	4	ESO, EGB, Bachillerato Elemental	1	Hombre	584,4765219774
31	Sierra de Albarracín	4	ESO, EGB, Bachillerato Elemental	1	Hombre	872,5074588021
32	Gúdar-Javalambre	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1304,1935946448
33	Matarraña / Matarranya	4	ESO, EGB, Bachillerato Elemental	1	Hombre	1764,39628231
01	La Jacetania	5	Bachillerato Superior	1	Hombre	1027,9511083692
02	Alto Gállego	5	Bachillerato Superior	1	Hombre	906,0800816282
03	Sobrarbe	5	Bachillerato Superior	1	Hombre	378,8626478513
04	La Ribagorza	5	Bachillerato Superior	1	Hombre	649,3719738287
05	Cinco Villas	5	Bachillerato Superior	1	Hombre	1466,0356896498
06	Hoya de Huesca / Plana de Uesca	5	Bachillerato Superior	1	Hombre	3116,5190648996
07	Somontano de Barbastro	5	Bachillerato Superior	1	Hombre	942,367980297
08	Cinca Medio	5	Bachillerato Superior	1	Hombre	786,4626006741
09	La Litera / La Llitera	5	Bachillerato Superior	1	Hombre	667,0160051199
10	Los Monegros	5	Bachillerato Superior	1	Hombre	800,6600497851
11	Bajo Cinca / Baix Cinca	5	Bachillerato Superior	1	Hombre	1317,7609646967
12	Tarazona y el Moncayo	5	Bachillerato Superior	1	Hombre	827,6281000255
13	Campo de Borja	5	Bachillerato Superior	1	Hombre	551,5828503437
14	Aranda	5	Bachillerato Superior	1	Hombre	183,5354965469
15	Ribera Alta del Ebro	5	Bachillerato Superior	1	Hombre	1118,5595393053
16	Valdejalón	5	Bachillerato Superior	1	Hombre	1351,4852332037
17	D.C. Zaragoza	5	Bachillerato Superior	1	Hombre	37822,716928928
18	Ribera Baja del Ebro	5	Bachillerato Superior	1	Hombre	349,189066482
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Bachillerato Superior	1	Hombre	494,4649397717
20	Comunidad de Calatayud	5	Bachillerato Superior	1	Hombre	1214,2043875115
21	Campo de Cariñena	5	Bachillerato Superior	1	Hombre	540,0091722037
22	Campo de Belchite	5	Bachillerato Superior	1	Hombre	146,8337502433
23	Bajo Martín	5	Bachillerato Superior	1	Hombre	203,506909235
24	Campo de Daroca	5	Bachillerato Superior	1	Hombre	224,7937031204
25	Jiloca	5	Bachillerato Superior	1	Hombre	609,9558197766
26	Cuencas Mineras	5	Bachillerato Superior	1	Hombre	250,9430437316
27	Andorra-Sierra de Arcos	5	Bachillerato Superior	1	Hombre	360,1904270904
28	Bajo Aragón	5	Bachillerato Superior	1	Hombre	1121,8163876854
29	Comunidad de Teruel	5	Bachillerato Superior	1	Hombre	2277,1036094906
30	Maestrazgo	5	Bachillerato Superior	1	Hombre	88,8020785777
31	Sierra de Albarracín	5	Bachillerato Superior	1	Hombre	208,4242491248
32	Gúdar-Javalambre	5	Bachillerato Superior	1	Hombre	275,8921821874
33	Matarraña / Matarranya	5	Bachillerato Superior	1	Hombre	212,5172616629
01	La Jacetania	6	FP Grado Medio	1	Hombre	537,3783952454
02	Alto Gállego	6	FP Grado Medio	1	Hombre	519,1578098539
03	Sobrarbe	6	FP Grado Medio	1	Hombre	284,1630757628
04	La Ribagorza	6	FP Grado Medio	1	Hombre	597,7643670442
05	Cinco Villas	6	FP Grado Medio	1	Hombre	827,5968103262
06	Hoya de Huesca / Plana de Uesca	6	FP Grado Medio	1	Hombre	1516,9215850462
07	Somontano de Barbastro	6	FP Grado Medio	1	Hombre	857,8695830405
08	Cinca Medio	6	FP Grado Medio	1	Hombre	1019,5784172437
09	La Litera / La Llitera	6	FP Grado Medio	1	Hombre	623,9458474699
10	Los Monegros	6	FP Grado Medio	1	Hombre	746,0815902842
11	Bajo Cinca / Baix Cinca	6	FP Grado Medio	1	Hombre	599,6155204709
12	Tarazona y el Moncayo	6	FP Grado Medio	1	Hombre	480,5099568797
13	Campo de Borja	6	FP Grado Medio	1	Hombre	523,6725952346
14	Aranda	6	FP Grado Medio	1	Hombre	140,9754929356
