Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1989	22188	Puente de Montañana	26	0	3	0	6	5	5	7	26
1989	22189	Puértolas	67	0	9	11	13	14	11	9	67
1989	22190	Pueyo de Araguás (El)	57	0	1	6	6	29	6	9	57
1989	22193	Pueyo de Santa Cruz	77	0	42	10	13	8	3	1	77
1989	22195	Quicena	12	0	3	1	2	3	1	2	12
1989	22197	Robres	117	1	10	11	30	38	22	5	116
1989	22199	Sabiñánigo	298	0	36	32	25	75	39	91	298
1989	22200	Sahún	59	0	11	21	15	5	1	6	59
1989	22201	Salas Altas	128	0	17	42	43	24	2	0	128
1989	22202	Salas Bajas	76	0	13	29	25	8	1	0	76
1989	22203	Salillas	34	0	4	1	6	9	8	6	34
1989	22204	Sallent de Gállego	88	2	26	33	22	0	0	5	86
1989	22205	San Esteban de Litera	269	3	99	50	47	41	21	8	266
1989	22206	Sangarrén	77	0	24	6	10	15	14	8	77
1989	22207	San Juan de Plan	35	0	3	9	14	6	1	2	35
1989	22208	Santa Cilia	47	0	2	6	7	14	14	4	47
1989	22209	Santa Cruz de la Serós	35	0	4	1	8	11	5	6	35
1989	22212	Santaliestra y San Quílez	30	0	6	3	5	7	5	4	30
1989	22213	Sariñena	488	6	94	46	139	103	56	44	482
1989	22214	Secastilla	63	0	12	13	17	9	5	7	63
1989	22215	Seira	39	0	5	2	13	8	2	9	39
1989	22217	Sena	146	1	26	8	27	48	18	18	145
1989	22218	Senés de Alcubierre	22	0	1	2	3	10	2	4	22
1989	22220	Sesa	59	0	14	4	5	17	13	6	59
1989	22221	Sesué	19	0	1	6	6	4	2	0	19
1989	22222	Siétamo	91	0	22	11	13	17	15	13	91
1989	22223	Sopeira	33	0	4	8	7	4	2	8	33
1989	22225	Tamarite de Litera	577	1	243	134	108	60	16	15	576
1989	22226	Tardienta	216	4	109	24	27	24	16	12	212
1989	22227	Tella-Sin	56	0	13	14	9	12	2	6	56
1989	22228	Tierz	20	2	7	2	2	6	0	1	18
1989	22229	Tolva	77	0	9	9	11	16	14	18	77
1989	22230	Torla-Ordesa	55	0	4	13	21	10	1	6	55
1989	22232	Torralba de Aragón	46	0	6	5	9	7	8	11	46
1989	22233	Torre la Ribera	29	0	2	1	5	5	8	8	29
1989	22234	Torrente de Cinca	112	0	55	13	15	14	9	6	112
1989	22235	Torres de Alcanadre	29	0	4	1	1	15	6	2	29
1989	22236	Torres de Barbués	53	0	4	15	16	11	6	1	53
1989	22239	Tramaced	37	0	2	3	4	22	3	3	37
