Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2008	1	5218	PSOE
01	La Jacetania	2008	2	3558	PP
01	La Jacetania	2008	3	489	PAR
01	La Jacetania	2008	4	452	CHA
01	La Jacetania	2008	5	332	IU
01	La Jacetania	2008	6	124	UPyD
01	La Jacetania	2008	7	39	LV
01	La Jacetania	2008	8	15	PACMA
01	La Jacetania	2008	9	11	C's
01	La Jacetania	2008	10	14	Cenb
01	La Jacetania	2008	11	9	PUM+J
01	La Jacetania	2008	12	2	pCUA
01	La Jacetania	2008	13	3	DN
01	La Jacetania	2008	14	4	PSD-FIA
01	La Jacetania	2008	15	7	FE de las JONS
01	La Jacetania	2008	16	1	PFyV
01	La Jacetania	2008	17	8	PCPE
01	La Jacetania	2008	18	70	AuN
01	La Jacetania	2008	19	1	FA
01	La Jacetania	2008	20	4	PH
01	La Jacetania	2008	21	6	AES
01	La Jacetania	2008	22	0	FRENTE
01	La Jacetania	2008	23	0	E-2000
01	La Jacetania	2008	24	0	PCTR
02	Alto Gállego	2008	1	3900	PSOE
02	Alto Gállego	2008	2	2542	PP
02	Alto Gállego	2008	3	594	PAR
02	Alto Gállego	2008	4	362	CHA
02	Alto Gállego	2008	5	309	IU
02	Alto Gállego	2008	6	107	UPyD
02	Alto Gállego	2008	7	30	LV
02	Alto Gállego	2008	8	15	PACMA
02	Alto Gállego	2008	9	9	C's
02	Alto Gállego	2008	10	8	Cenb
02	Alto Gállego	2008	11	6	PUM+J
02	Alto Gállego	2008	12	5	pCUA
02	Alto Gállego	2008	13	5	DN
02	Alto Gállego	2008	14	7	PSD-FIA
02	Alto Gállego	2008	15	1	FE de las JONS
02	Alto Gállego	2008	16	3	PFyV
02	Alto Gállego	2008	17	5	PCPE
02	Alto Gállego	2008	18	0	AuN
02	Alto Gállego	2008	19	1	FA
02	Alto Gállego	2008	20	2	PH
02	Alto Gállego	2008	21	0	AES
02	Alto Gállego	2008	22	0	FRENTE
02	Alto Gállego	2008	23	0	E-2000
02	Alto Gállego	2008	24	0	PCTR
03	Sobrarbe	2008	1	2228	PSOE
03	Sobrarbe	2008	2	1573	PP
03	Sobrarbe	2008	3	240	PAR
03	Sobrarbe	2008	4	187	CHA
03	Sobrarbe	2008	5	180	IU
03	Sobrarbe	2008	6	33	UPyD
03	Sobrarbe	2008	7	12	LV
03	Sobrarbe	2008	8	5	PACMA
03	Sobrarbe	2008	9	2	C's
03	Sobrarbe	2008	10	4	Cenb
03	Sobrarbe	2008	11	2	PUM+J
03	Sobrarbe	2008	12	2	pCUA
03	Sobrarbe	2008	13	2	DN
03	Sobrarbe	2008	14	1	PSD-FIA
03	Sobrarbe	2008	15	1	FE de las JONS
03	Sobrarbe	2008	16	0	PFyV
03	Sobrarbe	2008	17	0	PCPE
03	Sobrarbe	2008	18	1	AuN
03	Sobrarbe	2008	19	1	FA
03	Sobrarbe	2008	20	0	PH
03	Sobrarbe	2008	21	1	AES
03	Sobrarbe	2008	22	0	FRENTE
03	Sobrarbe	2008	23	0	E-2000
03	Sobrarbe	2008	24	0	PCTR
04	La Ribagorza	2008	1	3346	PSOE
04	La Ribagorza	2008	2	2874	PP
04	La Ribagorza	2008	3	474	PAR
04	La Ribagorza	2008	4	250	CHA
04	La Ribagorza	2008	5	220	IU
04	La Ribagorza	2008	6	75	UPyD
04	La Ribagorza	2008	7	32	LV
04	La Ribagorza	2008	8	18	PACMA
04	La Ribagorza	2008	9	10	C's
04	La Ribagorza	2008	10	11	Cenb
04	La Ribagorza	2008	11	3	PUM+J
04	La Ribagorza	2008	12	4	pCUA
04	La Ribagorza	2008	13	3	DN
04	La Ribagorza	2008	14	6	PSD-FIA
04	La Ribagorza	2008	15	6	FE de las JONS
04	La Ribagorza	2008	16	1	PFyV
04	La Ribagorza	2008	17	8	PCPE
04	La Ribagorza	2008	18	2	AuN
04	La Ribagorza	2008	19	1	FA
04	La Ribagorza	2008	20	3	PH
04	La Ribagorza	2008	21	0	AES
04	La Ribagorza	2008	22	0	FRENTE
04	La Ribagorza	2008	23	0	E-2000
04	La Ribagorza	2008	24	0	PCTR
05	Cinco Villas	2008	1	10243	PSOE
05	Cinco Villas	2008	2	6279	PP
05	Cinco Villas	2008	3	1185	PAR
05	Cinco Villas	2008	4	671	CHA
05	Cinco Villas	2008	5	636	IU
05	Cinco Villas	2008	6	100	UPyD
05	Cinco Villas	2008	7	17	LV
