Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
22106	Fago	Destinado principal o exclusivamente a viviendas	1	78
22107	Fanlo	Destinado principal o exclusivamente a viviendas	1	132
22109	Fiscal	Destinado principal o exclusivamente a viviendas	1	250
22110	Fonz	Destinado principal o exclusivamente a viviendas	1	609
22111	Foradada del Toscar	Destinado principal o exclusivamente a viviendas	1	138
22112	Fraga	Destinado principal o exclusivamente a viviendas	1	1841
22113	Fueva (La)	Destinado principal o exclusivamente a viviendas	1	425
22114	Gistaín	Destinado principal o exclusivamente a viviendas	1	67
22115	Grado (El)	Destinado principal o exclusivamente a viviendas	1	470
22116	Grañén	Destinado principal o exclusivamente a viviendas	1	698
22117	Graus	Destinado principal o exclusivamente a viviendas	1	1239
22119	Gurrea de Gállego	Destinado principal o exclusivamente a viviendas	1	851
22122	Hoz de Jaca	Destinado principal o exclusivamente a viviendas	1	103
22124	Huerto	Destinado principal o exclusivamente a viviendas	1	162
22125	Huesca	Destinado principal o exclusivamente a viviendas	1	3109
22126	Ibieca	Destinado principal o exclusivamente a viviendas	1	79
22127	Igriés	Destinado principal o exclusivamente a viviendas	1	232
22128	Ilche	Destinado principal o exclusivamente a viviendas	1	122
22129	Isábena	Destinado principal o exclusivamente a viviendas	1	193
22130	Jaca	Destinado principal o exclusivamente a viviendas	1	2061
22131	Jasa	Destinado principal o exclusivamente a viviendas	1	135
22133	Labuerda	Destinado principal o exclusivamente a viviendas	1	131
22135	Laluenga	Destinado principal o exclusivamente a viviendas	1	166
22136	Lalueza	Destinado principal o exclusivamente a viviendas	1	529
22137	Lanaja	Destinado principal o exclusivamente a viviendas	1	829
22139	Laperdiguera	Destinado principal o exclusivamente a viviendas	1	78
22141	Lascellas-Ponzano	Destinado principal o exclusivamente a viviendas	1	145
22142	Lascuarre	Destinado principal o exclusivamente a viviendas	1	89
22143	Laspaúles	Destinado principal o exclusivamente a viviendas	1	296
22144	Laspuña	Destinado principal o exclusivamente a viviendas	1	249
22149	Loarre	Destinado principal o exclusivamente a viviendas	1	260
22150	Loporzano	Destinado principal o exclusivamente a viviendas	1	419
22151	Loscorrales	Destinado principal o exclusivamente a viviendas	1	73
22155	Monesma y Cajigar	Destinado principal o exclusivamente a viviendas	1	47
22156	Monflorite-Lascasas	Destinado principal o exclusivamente a viviendas	1	177
22157	Montanuy	Destinado principal o exclusivamente a viviendas	1	218
22158	Monzón	Destinado principal o exclusivamente a viviendas	1	3301
22160	Naval	Destinado principal o exclusivamente a viviendas	1	159
22162	Novales	Destinado principal o exclusivamente a viviendas	1	78
22163	Nueno	Destinado principal o exclusivamente a viviendas	1	301
22164	Olvena	Destinado principal o exclusivamente a viviendas	1	53
22165	Ontiñena	Destinado principal o exclusivamente a viviendas	1	363
22167	Osso de Cinca	Destinado principal o exclusivamente a viviendas	1	272
22168	Palo	Destinado principal o exclusivamente a viviendas	1	49
22170	Panticosa	Destinado principal o exclusivamente a viviendas	1	341
22172	Peñalba	Destinado principal o exclusivamente a viviendas	1	252
22173	Peñas de Riglos (Las)	Destinado principal o exclusivamente a viviendas	1	384
22174	Peralta de Alcofea	Destinado principal o exclusivamente a viviendas	1	426
22175	Peralta de Calasanz	Destinado principal o exclusivamente a viviendas	1	366
22176	Peraltilla	Destinado principal o exclusivamente a viviendas	1	95
22177	Perarrúa	Destinado principal o exclusivamente a viviendas	1	127
22178	Pertusa	Destinado principal o exclusivamente a viviendas	1	98
22181	Piracés	Destinado principal o exclusivamente a viviendas	1	43
22182	Plan	Destinado principal o exclusivamente a viviendas	1	177
22184	Poleñino	Destinado principal o exclusivamente a viviendas	1	126
22186	Pozán de Vero	Destinado principal o exclusivamente a viviendas	1	141
22187	Puebla de Castro (La)	Destinado principal o exclusivamente a viviendas	1	309
22188	Puente de Montañana	Destinado principal o exclusivamente a viviendas	1	112
22189	Puértolas	Destinado principal o exclusivamente a viviendas	1	98
