Provincia código	Provincia nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
22	Huesca	Aeropuertos	10,946286	2000
22	Huesca	Afloramientos rocosos y canchales	32435,764347	2000
22	Huesca	Arrozales	9412,517927	2000
22	Huesca	Autopistas, autovías y terrenos asociados	1415,028434	2000
22	Huesca	Bosque mixto	66442,684525	2000
22	Huesca	Bosques de coníferas con hojas aciculares	217180,393048	2000
22	Huesca	Bosques de coníferas con hojas de tipo cupresáceo	174,872942	2000
22	Huesca	Bosques de ribera	4886,292146	2000
22	Huesca	Caducifolias y marcescentes	44464,588892	2000
22	Huesca	Campos de golf	0	2000
22	Huesca	Canales artificiales	250,680578	2000
22	Huesca	Complejos ferroviarios	26,120699	2000
22	Huesca	Cultivos herbáceos en regadío	190913,242953	2000
22	Huesca	Cárcavas y/o zonas en proceso de erosión	10095,848138	2000
22	Huesca	Embalses	8394,379291	2000
22	Huesca	Escombreras y vertederos	44,122973	2000
22	Huesca	Espacios orófilos altitudinales con vegetación escasa	29586,319567	2000
22	Huesca	Estructura urbana abierta	696,163612	2000
22	Huesca	Frutales en secano	1170,484319	2000
22	Huesca	Glaciares y nieves permanentes	501,011924	2000
22	Huesca	Grandes formaciones de matorral denso o medianamente denso	99906,81598	2000
22	Huesca	Grandes superficies de equipamientos y servicios	62,185959	2000
22	Huesca	Humedales y zonas pantanosas	425,225723	2000
22	Huesca	Lagos y lagunas	779,848191	2000
22	Huesca	Landas y matorrales en climas húmedos. Vegetación mesófila	29285,016601	2000
22	Huesca	Matorral boscoso de bosque mixto	20908,665156	2000
22	Huesca	Matorral boscoso de coníferas	61968,186843	2000
22	Huesca	Matorral boscoso de frondosas	57287,851227	2000
22	Huesca	Matorrales subarbustivos o arbustivos muy poco densos	65982,74152	2000
22	Huesca	Mezcla de frondosas	10850,456137	2000
22	Huesca	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	2157,308249	2000
22	Huesca	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	47002,955797	2000
22	Huesca	Mosaico de cultivos anuales con cultivos  permanentes en  secano	26153,818869	2000
22	Huesca	Mosaico de cultivos anuales con cultivos permanentes en regadío	16212,585781	2000
22	Huesca	Mosaico de cultivos anuales con prados o praderas en regadío	440,760188	2000
22	Huesca	Mosaico de cultivos anuales con prados o praderas en secano	4138,975239	2000
