Comarca código	Comarca nombre	Viviendas en el edificio	Número de edificios
01	La Jacetania	00	423
01	La Jacetania	01	4000
01	La Jacetania	02	399
01	La Jacetania	03	149
01	La Jacetania	04	95
01	La Jacetania	05 a 09	360
01	La Jacetania	10 a 19	266
01	La Jacetania	20 a 39	143
01	La Jacetania	40 o más	73
02	Alto Gállego	00	752
02	Alto Gállego	01	2392
02	Alto Gállego	02	301
02	Alto Gállego	03	101
02	Alto Gállego	04	94
02	Alto Gállego	05 a 09	361
02	Alto Gállego	10 a 19	203
02	Alto Gállego	20 a 39	64
02	Alto Gállego	40 o más	18
03	Sobrarbe	00	302
03	Sobrarbe	01	2784
03	Sobrarbe	02	208
03	Sobrarbe	03	65
03	Sobrarbe	04	37
03	Sobrarbe	05 a 09	94
03	Sobrarbe	10 a 19	18
03	Sobrarbe	20 a 39	7
03	Sobrarbe	40 o más	1
04	La Ribagorza	00	416
04	La Ribagorza	01	5387
04	La Ribagorza	02	336
04	La Ribagorza	03	100
04	La Ribagorza	04	56
04	La Ribagorza	05 a 09	157
04	La Ribagorza	10 a 19	64
04	La Ribagorza	20 a 39	29
04	La Ribagorza	40 o más	14
05	Cinco Villas	00	844
05	Cinco Villas	01	9854
05	Cinco Villas	02	915
05	Cinco Villas	03	188
05	Cinco Villas	04	125
05	Cinco Villas	05 a 09	442
05	Cinco Villas	10 a 19	115
05	Cinco Villas	20 a 39	16
06	Hoya de Huesca / Plana de Uesca	00	1370
06	Hoya de Huesca / Plana de Uesca	01	8602
06	Hoya de Huesca / Plana de Uesca	02	543
06	Hoya de Huesca / Plana de Uesca	03	233
06	Hoya de Huesca / Plana de Uesca	04	154
06	Hoya de Huesca / Plana de Uesca	05 a 09	520
06	Hoya de Huesca / Plana de Uesca	10 a 19	438
06	Hoya de Huesca / Plana de Uesca	20 a 39	279
06	Hoya de Huesca / Plana de Uesca	40 o más	77
07	Somontano de Barbastro	00	430
07	Somontano de Barbastro	01	5451
07	Somontano de Barbastro	02	449
07	Somontano de Barbastro	03	185
07	Somontano de Barbastro	04	109
07	Somontano de Barbastro	05 a 09	169
07	Somontano de Barbastro	10 a 19	192
07	Somontano de Barbastro	20 a 39	47
07	Somontano de Barbastro	40 o más	3
08	Cinca Medio	00	428
08	Cinca Medio	01	5068
08	Cinca Medio	02	425
08	Cinca Medio	03	114
08	Cinca Medio	04	74
08	Cinca Medio	05 a 09	240
08	Cinca Medio	10 a 19	132
08	Cinca Medio	20 a 39	23
08	Cinca Medio	40 o más	3
09	La Litera / La Llitera	00	471
09	La Litera / La Llitera	01	5840
09	La Litera / La Llitera	02	506
09	La Litera / La Llitera	03	113
09	La Litera / La Llitera	04	58
09	La Litera / La Llitera	05 a 09	151
09	La Litera / La Llitera	10 a 19	56
09	La Litera / La Llitera	20 a 39	10
09	La Litera / La Llitera	40 o más	1
10	Los Monegros	00	520
10	Los Monegros	01	8364
10	Los Monegros	02	592
10	Los Monegros	03	69
10	Los Monegros	04	61
10	Los Monegros	05 a 09	50
10	Los Monegros	10 a 19	18
10	Los Monegros	20 a 39	3
11	Bajo Cinca / Baix Cinca	00	431
11	Bajo Cinca / Baix Cinca	01	5278
11	Bajo Cinca / Baix Cinca	02	737
11	Bajo Cinca / Baix Cinca	03	139
11	Bajo Cinca / Baix Cinca	04	60
