Año	Residencia CCAA nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Sexo	Extranjeros
1998	Aragón	02	Resto de Europa	128	Rumanía	0 a 15	Mujeres	3
1998	Aragón	02	Resto de Europa	128	Rumanía	16 a 64	Hombres	18
1998	Aragón	02	Resto de Europa	128	Rumanía	16 a 64	Mujeres	11
1998	Aragón	02	Resto de Europa	128	Rumanía	65 y más	Mujeres	1
1998	Aragón	02	Resto de Europa	132	Suiza	0 a 15	Hombres	6
1998	Aragón	02	Resto de Europa	132	Suiza	0 a 15	Mujeres	6
1998	Aragón	02	Resto de Europa	132	Suiza	16 a 64	Hombres	21
1998	Aragón	02	Resto de Europa	132	Suiza	16 a 64	Mujeres	20
1998	Aragón	02	Resto de Europa	132	Suiza	65 y más	Hombres	4
1998	Aragón	02	Resto de Europa	132	Suiza	65 y más	Mujeres	6
1998	Aragón	02	Resto de Europa	135	Ucrania	0 a 15	Hombres	1
1998	Aragón	02	Resto de Europa	135	Ucrania	16 a 64	Mujeres	3
1998	Aragón	02	Resto de Europa	135	Ucrania	65 y más	Mujeres	1
1998	Aragón	02	Resto de Europa	138	Bielorrusia	0 a 15	Hombres	2
1998	Aragón	02	Resto de Europa	138	Bielorrusia	0 a 15	Mujeres	2
1998	Aragón	02	Resto de Europa	138	Bielorrusia	16 a 64	Hombres	1
1998	Aragón	02	Resto de Europa	138	Bielorrusia	16 a 64	Mujeres	4
1998	Aragón	02	Resto de Europa	143	República Checa	0 a 15	Mujeres	1
1998	Aragón	02	Resto de Europa	143	República Checa	16 a 64	Mujeres	3
1998	Aragón	02	Resto de Europa	145	Bosnia-Herzegovina	0 a 15	Hombres	1
1998	Aragón	02	Resto de Europa	145	Bosnia-Herzegovina	0 a 15	Mujeres	4
1998	Aragón	02	Resto de Europa	145	Bosnia-Herzegovina	16 a 64	Hombres	5
1998	Aragón	02	Resto de Europa	145	Bosnia-Herzegovina	16 a 64	Mujeres	5
1998	Aragón	02	Resto de Europa	146	Croacia	16 a 64	Hombres	1
1998	Aragón	02	Resto de Europa	146	Croacia	16 a 64	Mujeres	1
1998	Aragón	02	Resto de Europa	147	Eslovenia	16 a 64	Mujeres	1
1998	Aragón	02	Resto de Europa	148	Armenia	0 a 15	Hombres	2
1998	Aragón	02	Resto de Europa	148	Armenia	16 a 64	Mujeres	2
1998	Aragón	02	Resto de Europa	154	Rusia	0 a 15	Hombres	1
1998	Aragón	02	Resto de Europa	154	Rusia	0 a 15	Mujeres	1
1998	Aragón	02	Resto de Europa	154	Rusia	16 a 64	Hombres	2
1998	Aragón	02	Resto de Europa	154	Rusia	16 a 64	Mujeres	18
1998	Aragón	02	Resto de Europa	155	Yugoslavia	0 a 15	Hombres	5
1998	Aragón	02	Resto de Europa	155	Yugoslavia	0 a 15	Mujeres	3
1998	Aragón	02	Resto de Europa	155	Yugoslavia	16 a 64	Hombres	15
1998	Aragón	02	Resto de Europa	155	Yugoslavia	16 a 64	Mujeres	11
1998	Aragón	02	Resto de Europa	155	Yugoslavia	65 y más	Hombres	1
1998	Aragón	02	Resto de Europa	199	Países sin relaciones diplomáticas	16 a 64	Hombres	1
1998	Aragón	02	Resto de Europa	199	Países sin relaciones diplomáticas	16 a 64	Mujeres	1
1998	Aragón	02	Resto de Europa	436	Turquía	0 a 15	Hombres	1
1998	Aragón	02	Resto de Europa	436	Turquía	16 a 64	Hombres	3
1998	Aragón	03	Magreb	203	Argelia	0 a 15	Hombres	12
1998	Aragón	03	Magreb	203	Argelia	0 a 15	Mujeres	6
1998	Aragón	03	Magreb	203	Argelia	16 a 64	Hombres	239
1998	Aragón	03	Magreb	203	Argelia	16 a 64	Mujeres	18
1998	Aragón	03	Magreb	203	Argelia	65 y más	Hombres	3
1998	Aragón	03	Magreb	203	Argelia	65 y más	Mujeres	2
1998	Aragón	03	Magreb	224	Libia	16 a 64	Hombres	1
1998	Aragón	03	Magreb	228	Marruecos	0 a 15	Hombres	105
1998	Aragón	03	Magreb	228	Marruecos	0 a 15	Mujeres	79
1998	Aragón	03	Magreb	228	Marruecos	16 a 64	Hombres	692
1998	Aragón	03	Magreb	228	Marruecos	16 a 64	Mujeres	261
1998	Aragón	03	Magreb	228	Marruecos	65 y más	Hombres	10
1998	Aragón	03	Magreb	228	Marruecos	65 y más	Mujeres	8
1998	Aragón	03	Magreb	230	Mauritania	0 a 15	Mujeres	3
1998	Aragón	03	Magreb	230	Mauritania	16 a 64	Hombres	4
1998	Aragón	03	Magreb	230	Mauritania	16 a 64	Mujeres	2
1998	Aragón	03	Magreb	248	Túnez	16 a 64	Hombres	7
1998	Aragón	03	Magreb	248	Túnez	16 a 64	Mujeres	5
1998	Aragón	04	Resto de África	202	Angola	0 a 15	Hombres	4
1998	Aragón	04	Resto de África	202	Angola	0 a 15	Mujeres	6
1998	Aragón	04	Resto de África	202	Angola	16 a 64	Hombres	18
1998	Aragón	04	Resto de África	202	Angola	16 a 64	Mujeres	10
1998	Aragón	04	Resto de África	204	Benin	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	204	Benin	16 a 64	Mujeres	1
1998	Aragón	04	Resto de África	207	Cabo Verde	0 a 15	Hombres	16
1998	Aragón	04	Resto de África	207	Cabo Verde	0 a 15	Mujeres	13
1998	Aragón	04	Resto de África	207	Cabo Verde	16 a 64	Hombres	90
1998	Aragón	04	Resto de África	207	Cabo Verde	16 a 64	Mujeres	81
1998	Aragón	04	Resto de África	208	Camerún	0 a 15	Mujeres	1
1998	Aragón	04	Resto de África	208	Camerún	16 a 64	Hombres	4
1998	Aragón	04	Resto de África	208	Camerún	16 a 64	Mujeres	7
1998	Aragón	04	Resto de África	210	Congo	0 a 15	Hombres	1
1998	Aragón	04	Resto de África	211	Costa de Marfil	16 a 64	Hombres	11
1998	Aragón	04	Resto de África	213	Egipto	16 a 64	Hombres	13
1998	Aragón	04	Resto de África	213	Egipto	16 a 64	Mujeres	2
1998	Aragón	04	Resto de África	213	Egipto	65 y más	Hombres	1
1998	Aragón	04	Resto de África	215	Gabón	0 a 15	Hombres	1
1998	Aragón	04	Resto de África	215	Gabón	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	216	Gambia	0 a 15	Hombres	16
1998	Aragón	04	Resto de África	216	Gambia	0 a 15	Mujeres	15
1998	Aragón	04	Resto de África	216	Gambia	16 a 64	Hombres	135
1998	Aragón	04	Resto de África	216	Gambia	16 a 64	Mujeres	49
1998	Aragón	04	Resto de África	217	Ghana	0 a 15	Mujeres	1
1998	Aragón	04	Resto de África	217	Ghana	16 a 64	Hombres	42
1998	Aragón	04	Resto de África	217	Ghana	16 a 64	Mujeres	10
1998	Aragón	04	Resto de África	218	Guinea	0 a 15	Hombres	9
1998	Aragón	04	Resto de África	218	Guinea	0 a 15	Mujeres	8
1998	Aragón	04	Resto de África	218	Guinea	16 a 64	Hombres	39
1998	Aragón	04	Resto de África	218	Guinea	16 a 64	Mujeres	44
1998	Aragón	04	Resto de África	218	Guinea	65 y más	Mujeres	4
1998	Aragón	04	Resto de África	220	Guinea Ecuatorial	0 a 15	Hombres	11
1998	Aragón	04	Resto de África	220	Guinea Ecuatorial	0 a 15	Mujeres	22
1998	Aragón	04	Resto de África	220	Guinea Ecuatorial	16 a 64	Hombres	42
1998	Aragón	04	Resto de África	220	Guinea Ecuatorial	16 a 64	Mujeres	68
1998	Aragón	04	Resto de África	220	Guinea Ecuatorial	65 y más	Mujeres	1
1998	Aragón	04	Resto de África	221	Kenia	16 a 64	Mujeres	5
1998	Aragón	04	Resto de África	222	Lesotho	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	223	Liberia	0 a 15	Mujeres	1
1998	Aragón	04	Resto de África	223	Liberia	16 a 64	Hombres	44
1998	Aragón	04	Resto de África	223	Liberia	16 a 64	Mujeres	8
1998	Aragón	04	Resto de África	225	Madagascar	0 a 15	Hombres	1
1998	Aragón	04	Resto de África	227	Mali	0 a 15	Hombres	2
1998	Aragón	04	Resto de África	227	Mali	0 a 15	Mujeres	1
1998	Aragón	04	Resto de África	227	Mali	16 a 64	Hombres	16
1998	Aragón	04	Resto de África	227	Mali	16 a 64	Mujeres	2
1998	Aragón	04	Resto de África	227	Mali	65 y más	Hombres	1
1998	Aragón	04	Resto de África	229	Mauricio	65 y más	Hombres	1
1998	Aragón	04	Resto de África	232	Namibia	16 a 64	Hombres	2
1998	Aragón	04	Resto de África	233	Níger	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	233	Níger	65 y más	Hombres	1
1998	Aragón	04	Resto de África	234	Nigeria	0 a 15	Mujeres	2
1998	Aragón	04	Resto de África	234	Nigeria	16 a 64	Hombres	14
