Territorio	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
Aragón	2019	Regadío	327561	217933	48534	108311	2041	589	74	0	4907	49435	498	25	2	293	3224	0	0	5819	8	342	27	40	1801	3558	0	0	2	11	30	447	1	249	197	0	5215	15	4	0	0	0	2526	133	0	13	3	70	2434	17	2	86894	0	0	6756	9697	67019	19	310	959	0	84	71	0	1287	0	692	11251	35	0	65	1	8	17	38	58	14	86	5	10	140	1	0	23	557	102	10	23	132	28	1670	0	228	0	0	0	1	43	6303	1145	0	506	0	0	2
Aragón	2019	Secano	708251	624475	179712	368131	25026	12891	299	0	0	327	139	39	25	63	37823	0	0	20535	5	1557	152	129	7718	9824	0	0	6	913	231	82	0	21	61	0	12567	2	0	0	2	0	9076	0	0	173	13	309	2931	61	0	50524	203	139	2483	3245	17219	3	12062	2618	0	331	6	0	6425	0	5790	68	1	0	3	0	0	0	0	0	0	1	4	3	11	0	0	0	8	0	0	0	0	1	8	0	0	0	0	0	7	2	0	0	1	18	0	0	0
Aragón	2018	Regadío	330809	223467	59627	111714	1869	535	25	0	5086	40840	539	7	5	293	2927	0	0	5688	8	318	23	30	2493	2790	0	0	2	13	11	403	0	209	194	0	4618	14	2	0	0	0	2380	15	0	35	5	59	2091	17	2	85196	0	0	6638	8199	67198	6	311	799	0	20	0	0	1324	0	701	11435	21	0	65	1	6	16	15	63	20	77	5	12	94	2	0	17	695	136	9	35	156	35	1664	0	197	0	1	0	187	39	5943	996	0	928	0	0	0
Aragón	2018	Secano	696522	613399	196788	342669	26729	14045	65	0	32	337	111	22	17	49	32535	0	0	20873	1	944	114	183	9373	9599	0	0	0	634	25	101	0	14	87	0	13674	0	0	0	0	0	10508	0	0	144	18	507	2454	43	5	48383	126	108	2721	3253	16630	1	11476	2283	1	184	0	0	5794	0	5806	87	1	5	2	0	0	0	0	0	0	3	6	2	4	0	0	0	7	0	0	0	0	1	15	0	0	0	0	0	3	9	0	0	0	29	0	0	0
Aragón	2017	Regadío	333040	221878	56183	99831	1903	404	170	0	5579	54484	733	11	2	292	2286	0	0	5479	3	538	12	3	3156	1744	0	0	0	23	0	441	0	274	167	0	3722	7	2	0	1	0	2257	108	0	0	3	52	1239	53	3	90741	0	19	6924	7499	73011	11	309	481	1	0	0	0	1621	0	865	10776	12	0	66	1	10	13	8	75	22	177	13	27	99	4	1	14	740	171	7	37	130	39	1592	1	233	0	0	0	130	64	5120	1133	0	837	0	0	0
Aragón	2017	Secano	712606	631789	205616	355730	28665	11590	981	14	4	537	98	25	4	135	28390	0	0	19895	0	364	167	52	11066	7619	0	0	2	607	18	106	0	23	83	0	12459	0	0	0	0	0	8785	1	0	170	12	500	2983	8	14	48278	0	64	2507	2904	15821	1	11529	1931	7	0	0	0	7421	0	6093	65	0	3	3	0	0	0	0	0	0	3	3	3	1	0	0	0	4	1	0	0	0	1	7	0	0	0	0	0	1	4	0	0	0	31	0	0	0
Aragón	2016	Regadío	345077	222413	60477	81505	1573	629	294	0	5452	67778	1870	79	3	26	2727	0	0	5789	4	257	2	1	3550	1960	0	0	0	15	0	431	58	181	192	0	6916	17	2	0	1	0	5577	55	0	2	4	38	1192	28	2	99066	0	0	5018	13771	75103	8	317	49	0	0	0	0	2329	0	2471	10460	473	0	65	0	20	61	125	92	13	0	16	26	91	0	0	15	725	129	7	32	228	37	1553	3	185	0	1	0	105	15	5808	250	324	2	0	0	59
Aragón	2016	Secano	713963	628925	216118	337960	23245	18786	816	1	21	774	371	10	5	3	30815	0	0	21076	0	69	111	76	12683	7452	0	0	0	670	15	82	10	7	65	0	11867	0	0	0	0	0	8393	0	0	87	10	456	2895	26	18	51892	0	1	2083	992	15909	34	11584	16	2	0	0	1	9912	0	11358	103	12	0	3	0	0	0	1	0	0	0	3	2	5	0	0	0	38	0	0	1	0	0	15	0	0	0	0	0	6	1	0	0	12	0	0	0	4
Aragón	2015	Regadío	340590	222373	57057	92596	1347	589	221	3	5946	60846	1094	4	4	588	2078	0	0	8788	8	753	22	6	5219	2736	0	0	0	44	0	495	68	217	210	0	4067	3	1	0	1	0	2409	5	3	2	1	36	1593	13	2	96129	0	0	5224	14114	71824	12	307	0	0	0	0	1	2204	0	2443	8736	396	0	64	1	22	75	60	77	22	0	13	33	82	1	0	18	677	122	0	31	116	48	1545	2	169	0	0	1	57	25	3649	0	107	1275	0	0	48
Aragón	2015	Secano	724577	637850	208346	355167	24815	14206	583	34	3	412	171	0	1	14323	19789	0	0	23518	0	38	119	202	14382	7367	0	0	0	1394	16	89	8	5	76	0	12649	0	0	0	0	0	8236	0	0	307	10	370	3711	15	15	50381	0	0	1646	986	15118	45	11033	0	1	0	8	0	10084	0	11460	75	12	0	3	0	0	0	2	0	0	0	3	5	2	0	0	0	21	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0	14	0	0	0	5
