Provincia código	Provincia nombre	Municipio código	Municipio nombre	Año	Saldo migratorio
22	Huesca	22001	Abiego	2017	-5
22	Huesca	22002	Abizanda	2017	-6
22	Huesca	22003	Adahuesca	2017	-2
22	Huesca	22004	Agüero	2017	-5
22	Huesca	22006	Aísa	2017	-9
22	Huesca	22007	Albalate de Cinca	2017	2
22	Huesca	22008	Albalatillo	2017	-2
22	Huesca	22009	Albelda	2017	0
22	Huesca	22011	Albero Alto	2017	-11
22	Huesca	22012	Albero Bajo	2017	3
22	Huesca	22013	Alberuela de Tubo	2017	1
22	Huesca	22014	Alcalá de Gurrea	2017	-16
22	Huesca	22015	Alcalá del Obispo	2017	-3
22	Huesca	22016	Alcampell	2017	-8
22	Huesca	22017	Alcolea de Cinca	2017	35
22	Huesca	22018	Alcubierre	2017	-9
22	Huesca	22019	Alerre	2017	0
22	Huesca	22020	Alfántega	2017	-8
22	Huesca	22021	Almudévar	2017	-51
22	Huesca	22022	Almunia de San Juan	2017	-2
22	Huesca	22023	Almuniente	2017	-9
22	Huesca	22024	Alquézar	2017	-2
22	Huesca	22025	Altorricón	2017	4
22	Huesca	22027	Angüés	2017	6
22	Huesca	22028	Ansó	2017	21
22	Huesca	22029	Antillón	2017	-3
22	Huesca	22032	Aragüés del Puerto	2017	3
22	Huesca	22035	Arén	2017	1
22	Huesca	22036	Argavieso	2017	-4
22	Huesca	22037	Arguis	2017	6
22	Huesca	22039	Ayerbe	2017	-11
22	Huesca	22040	Azanuy-Alins	2017	4
22	Huesca	22041	Azara	2017	-1
22	Huesca	22042	Azlor	2017	10
22	Huesca	22043	Baells	2017	1
22	Huesca	22044	Bailo	2017	-1
22	Huesca	22045	Baldellou	2017	-3
22	Huesca	22046	Ballobar	2017	-8
22	Huesca	22047	Banastás	2017	2
22	Huesca	22048	Barbastro	2017	84
22	Huesca	22049	Barbués	2017	-4
22	Huesca	22050	Barbuñales	2017	2
22	Huesca	22051	Bárcabo	2017	-1
22	Huesca	22052	Belver de Cinca	2017	19
22	Huesca	22053	Benabarre	2017	15
22	Huesca	22054	Benasque	2017	25
22	Huesca	22055	Berbegal	2017	-6
22	Huesca	22057	Bielsa	2017	9
22	Huesca	22058	Bierge	2017	-7
22	Huesca	22059	Biescas	2017	3
22	Huesca	22060	Binaced	2017	43
22	Huesca	22061	Binéfar	2017	57
22	Huesca	22062	Bisaurri	2017	2
22	Huesca	22063	Biscarrués	2017	-1
22	Huesca	22064	Blecua y Torres	2017	8
22	Huesca	22066	Boltaña	2017	54
22	Huesca	22067	Bonansa	2017	6
22	Huesca	22068	Borau	2017	-1
22	Huesca	22069	Broto	2017	-13
22	Huesca	22072	Caldearenas	2017	-7
22	Huesca	22074	Campo	2017	-6
22	Huesca	22075	Camporrells	2017	3
22	Huesca	22076	Canal de Berdún	2017	-12
22	Huesca	22077	Candasnos	2017	-2
22	Huesca	22078	Canfranc	2017	-5
22	Huesca	22079	Capdesaso	2017	7
22	Huesca	22080	Capella	2017	-8
22	Huesca	22081	Casbas de Huesca	2017	-7
22	Huesca	22082	Castejón del Puente	2017	-13
22	Huesca	22083	Castejón de Monegros	2017	4
22	Huesca	22084	Castejón de Sos	2017	19
22	Huesca	22085	Castelflorite	2017	-1
22	Huesca	22086	Castiello de Jaca	2017	24
22	Huesca	22087	Castigaleu	2017	-3
22	Huesca	22088	Castillazuelo	2017	-2
22	Huesca	22089	Castillonroy	2017	8
22	Huesca	22090	Colungo	2017	-9
22	Huesca	22094	Chalamera	2017	0
22	Huesca	22095	Chía	2017	-2
22	Huesca	22096	Chimillas	2017	4
22	Huesca	22099	Esplús	2017	-25
22	Huesca	22102	Estada	2017	3
22	Huesca	22103	Estadilla	2017	-13
22	Huesca	22105	Estopiñán del Castillo	2017	-6
22	Huesca	22106	Fago	2017	-5
22	Huesca	22107	Fanlo	2017	-2
22	Huesca	22109	Fiscal	2017	9
22	Huesca	22110	Fonz	2017	-4
22	Huesca	22111	Foradada del Toscar	2017	-2
22	Huesca	22112	Fraga	2017	-56
22	Huesca	22113	Fueva (La)	2017	-17
22	Huesca	22114	Gistaín	2017	9
22	Huesca	22115	Grado (El)	2017	2
22	Huesca	22116	Grañén	2017	7
22	Huesca	22117	Graus	2017	40
22	Huesca	22119	Gurrea de Gállego	2017	5
22	Huesca	22122	Hoz de Jaca	2017	2
22	Huesca	22124	Huerto	2017	5
22	Huesca	22125	Huesca	2017	300
22	Huesca	22126	Ibieca	2017	-3
22	Huesca	22127	Igriés	2017	19
22	Huesca	22128	Ilche	2017	3
22	Huesca	22129	Isábena	2017	-28
22	Huesca	22130	Jaca	2017	-11
22	Huesca	22131	Jasa	2017	-1
