Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2016	01	La Jacetania	133	Leves	1	01	General
2016	01	La Jacetania	9	Leves	1	05	Trabajadores Autónomos
2016	02	Alto Gállego	110	Leves	1	01	General
2016	02	Alto Gállego	5	Leves	1	05	Trabajadores Autónomos
2016	03	Sobrarbe	46	Leves	1	01	General
2016	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
2016	04	La Ribagorza	120	Leves	1	01	General
2016	04	La Ribagorza	4	Leves	1	05	Trabajadores Autónomos
2016	05	Cinco Villas	313	Leves	1	01	General
2016	05	Cinco Villas	7	Leves	1	05	Trabajadores Autónomos
2016	06	Hoya de Huesca / Plana de Uesca	697	Leves	1	01	General
2016	06	Hoya de Huesca / Plana de Uesca	10	Leves	1	05	Trabajadores Autónomos
2016	07	Somontano de Barbastro	237	Leves	1	01	General
2016	07	Somontano de Barbastro	6	Leves	1	05	Trabajadores Autónomos
2016	08	Cinca Medio	350	Leves	1	01	General
2016	08	Cinca Medio	11	Leves	1	05	Trabajadores Autónomos
2016	09	La Litera / La Llitera	233	Leves	1	01	General
2016	09	La Litera / La Llitera	2	Leves	1	05	Trabajadores Autónomos
2016	10	Los Monegros	172	Leves	1	01	General
2016	10	Los Monegros	9	Leves	1	05	Trabajadores Autónomos
2016	11	Bajo Cinca / Baix Cinca	367	Leves	1	01	General
2016	11	Bajo Cinca / Baix Cinca	5	Leves	1	05	Trabajadores Autónomos
2016	12	Tarazona y el Moncayo	104	Leves	1	01	General
2016	13	Campo de Borja	156	Leves	1	01	General
2016	13	Campo de Borja	5	Leves	1	05	Trabajadores Autónomos
2016	14	Aranda	48	Leves	1	01	General
2016	14	Aranda	1	Leves	1	05	Trabajadores Autónomos
2016	15	Ribera Alta del Ebro	549	Leves	1	01	General
2016	15	Ribera Alta del Ebro	3	Leves	1	05	Trabajadores Autónomos
2016	16	Valdejalón	539	Leves	1	01	General
2016	16	Valdejalón	9	Leves	1	05	Trabajadores Autónomos
2016	16	Valdejalón	2	Leves	1	08	Especial Trabajadores del Mar
2016	17	D.C. Zaragoza	7057	Leves	1	01	General
2016	17	D.C. Zaragoza	102	Leves	1	05	Trabajadores Autónomos
2016	18	Ribera Baja del Ebro	72	Leves	1	01	General
2016	18	Ribera Baja del Ebro	3	Leves	1	05	Trabajadores Autónomos
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	126	Leves	1	01	General
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9	Leves	1	05	Trabajadores Autónomos
2016	20	Comunidad de Calatayud	276	Leves	1	01	General
2016	20	Comunidad de Calatayud	7	Leves	1	05	Trabajadores Autónomos
2016	21	Campo de Cariñena	118	Leves	1	01	General
2016	21	Campo de Cariñena	4	Leves	1	05	Trabajadores Autónomos
2016	22	Campo de Belchite	31	Leves	1	01	General
2016	22	Campo de Belchite	3	Leves	1	05	Trabajadores Autónomos
2016	23	Bajo Martín	91	Leves	1	01	General
2016	23	Bajo Martín	2	Leves	1	05	Trabajadores Autónomos
2016	24	Campo de Daroca	42	Leves	1	01	General
2016	25	Jiloca	98	Leves	1	01	General
2016	25	Jiloca	16	Leves	1	05	Trabajadores Autónomos
2016	26	Cuencas Mineras	121	Leves	1	01	General
2016	26	Cuencas Mineras	4	Leves	1	05	Trabajadores Autónomos
2016	27	Andorra-Sierra de Arcos	78	Leves	1	01	General
2016	27	Andorra-Sierra de Arcos	1	Leves	1	08	Especial Trabajadores del Mar
2016	27	Andorra-Sierra de Arcos	85	Leves	1	09	Especial Minería del Carbón
2016	28	Bajo Aragón	214	Leves	1	01	General
2016	28	Bajo Aragón	11	Leves	1	05	Trabajadores Autónomos
2016	29	Comunidad de Teruel	564	Leves	1	01	General
2016	29	Comunidad de Teruel	25	Leves	1	05	Trabajadores Autónomos
2016	30	Maestrazgo	14	Leves	1	01	General
2016	30	Maestrazgo	2	Leves	1	05	Trabajadores Autónomos
2016	31	Sierra de Albarracín	35	Leves	1	01	General
2016	31	Sierra de Albarracín	3	Leves	1	05	Trabajadores Autónomos
2016	32	Gúdar-Javalambre	68	Leves	1	01	General
2016	32	Gúdar-Javalambre	6	Leves	1	05	Trabajadores Autónomos
2016	33	Matarraña / Matarranya	71	Leves	1	01	General
2016	33	Matarraña / Matarranya	4	Leves	1	05	Trabajadores Autónomos
2016	NC	Municipio del centro de trabajo fuera de Aragón	129	Leves	1	01	General
2016	NC	Municipio del centro de trabajo fuera de Aragón	3	Leves	1	05	Trabajadores Autónomos
2015	01	La Jacetania	114	Leves	1	01	General
2015	01	La Jacetania	6	Leves	1	05	Trabajadores Autónomos
2015	02	Alto Gállego	94	Leves	1	01	General
2015	02	Alto Gállego	3	Leves	1	05	Trabajadores Autónomos
2015	03	Sobrarbe	50	Leves	1	01	General
2015	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
2015	04	La Ribagorza	109	Leves	1	01	General
2015	04	La Ribagorza	5	Leves	1	05	Trabajadores Autónomos
