Año	Comarca código	Comarca nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2010	32	Gúdar-Javalambre	IAEST	Apartamentos turísticos	341	80
2010	32	Gúdar-Javalambre	IAEST	Campings y áreas de acampada	1246	6
2010	32	Gúdar-Javalambre	IAEST	Hoteles, hostales y similares	1598	47
2010	32	Gúdar-Javalambre	IAEST	Viviendas de turismo rural	584	73
2010	33	Matarraña / Matarranya	IAEST	Apartamentos turísticos	251	59
2010	33	Matarraña / Matarranya	IAEST	Campings y áreas de acampada	256	2
2010	33	Matarraña / Matarranya	IAEST	Hoteles, hostales y similares	726	34
2010	33	Matarraña / Matarranya	IAEST	Viviendas de turismo rural	395	51
2011	01	La Jacetania	IAEST	Apartamentos turísticos	557	129
2011	01	La Jacetania	IAEST	Campings y áreas de acampada	3739	10
2011	01	La Jacetania	IAEST	Hoteles, hostales y similares	3437	59
2011	01	La Jacetania	IAEST	Viviendas de turismo rural	649	82
2011	02	Alto Gállego	IAEST	Apartamentos turísticos	794	192
2011	02	Alto Gállego	IAEST	Campings y áreas de acampada	2779	6
2011	02	Alto Gállego	IAEST	Hoteles, hostales y similares	4606	71
2011	02	Alto Gállego	IAEST	Viviendas de turismo rural	235	33
2011	03	Sobrarbe	IAEST	Apartamentos turísticos	1014	225
2011	03	Sobrarbe	IAEST	Campings y áreas de acampada	11191	25
2011	03	Sobrarbe	IAEST	Hoteles, hostales y similares	3512	80
2011	03	Sobrarbe	IAEST	Viviendas de turismo rural	1742	251
2011	04	La Ribagorza	IAEST	Apartamentos turísticos	893	179
2011	04	La Ribagorza	IAEST	Campings y áreas de acampada	4828	12
2011	04	La Ribagorza	IAEST	Hoteles, hostales y similares	3208	81
2011	04	La Ribagorza	IAEST	Viviendas de turismo rural	1205	159
2011	05	Cinco Villas	IAEST	Apartamentos turísticos	22	4
2011	05	Cinco Villas	IAEST	Campings y áreas de acampada	418	2
2011	05	Cinco Villas	IAEST	Hoteles, hostales y similares	648	21
2011	05	Cinco Villas	IAEST	Viviendas de turismo rural	456	49
2011	06	Hoya de Huesca / Plana de Uesca	IAEST	Apartamentos turísticos	206	35
2011	06	Hoya de Huesca / Plana de Uesca	IAEST	Campings y áreas de acampada	1425	7
2011	06	Hoya de Huesca / Plana de Uesca	IAEST	Hoteles, hostales y similares	1546	38
2011	06	Hoya de Huesca / Plana de Uesca	IAEST	Viviendas de turismo rural	658	81
2011	07	Somontano de Barbastro	IAEST	Apartamentos turísticos	166	36
2011	07	Somontano de Barbastro	IAEST	Campings y áreas de acampada	1315	4
2011	07	Somontano de Barbastro	IAEST	Hoteles, hostales y similares	1272	33
2011	07	Somontano de Barbastro	IAEST	Viviendas de turismo rural	514	66
2011	08	Cinca Medio	IAEST	Apartamentos turísticos	0	0
2011	08	Cinca Medio	IAEST	Campings y áreas de acampada	0	0
2011	08	Cinca Medio	IAEST	Hoteles, hostales y similares	390	15
2011	08	Cinca Medio	IAEST	Viviendas de turismo rural	53	6
2011	09	La Litera / La Llitera	IAEST	Apartamentos turísticos	0	0
2011	09	La Litera / La Llitera	IAEST	Campings y áreas de acampada	60	1
2011	09	La Litera / La Llitera	IAEST	Hoteles, hostales y similares	146	4
2011	09	La Litera / La Llitera	IAEST	Viviendas de turismo rural	81	12
2011	10	Los Monegros	IAEST	Apartamentos turísticos	26	4
2011	10	Los Monegros	IAEST	Campings y áreas de acampada	193	2
2011	10	Los Monegros	IAEST	Hoteles, hostales y similares	306	17
2011	10	Los Monegros	IAEST	Viviendas de turismo rural	195	29
2011	11	Bajo Cinca / Baix Cinca	IAEST	Apartamentos turísticos	47	18
2011	11	Bajo Cinca / Baix Cinca	IAEST	Campings y áreas de acampada	372	3
2011	11	Bajo Cinca / Baix Cinca	IAEST	Hoteles, hostales y similares	510	15
2011	11	Bajo Cinca / Baix Cinca	IAEST	Viviendas de turismo rural	10	1
2011	12	Tarazona y el Moncayo	IAEST	Apartamentos turísticos	20	3
2011	12	Tarazona y el Moncayo	IAEST	Campings y áreas de acampada	300	1
2011	12	Tarazona y el Moncayo	IAEST	Hoteles, hostales y similares	370	11
2011	12	Tarazona y el Moncayo	IAEST	Viviendas de turismo rural	196	25
2011	13	Campo de Borja	IAEST	Apartamentos turísticos	0	0
2011	13	Campo de Borja	IAEST	Campings y áreas de acampada	0	0
2011	13	Campo de Borja	IAEST	Hoteles, hostales y similares	232	9
2011	13	Campo de Borja	IAEST	Viviendas de turismo rural	33	5
2011	14	Aranda	IAEST	Apartamentos turísticos	16	3
2011	14	Aranda	IAEST	Campings y áreas de acampada	0	0
2011	14	Aranda	IAEST	Hoteles, hostales y similares	76	2
2011	14	Aranda	IAEST	Viviendas de turismo rural	17	2
2011	15	Ribera Alta del Ebro	IAEST	Apartamentos turísticos	0	0
2011	15	Ribera Alta del Ebro	IAEST	Campings y áreas de acampada	0	0
2011	15	Ribera Alta del Ebro	IAEST	Hoteles, hostales y similares	501	19
2011	15	Ribera Alta del Ebro	IAEST	Viviendas de turismo rural	53	5
2011	16	Valdejalón	IAEST	Apartamentos turísticos	16	5
2011	16	Valdejalón	IAEST	Campings y áreas de acampada	0	0
2011	16	Valdejalón	IAEST	Hoteles, hostales y similares	692	17
2011	16	Valdejalón	IAEST	Viviendas de turismo rural	60	8
2011	17	Central	IAEST	Apartamentos turísticos	465	132
2011	17	Central	IAEST	Campings y áreas de acampada	700	1
2011	17	Central	IAEST	Hoteles, hostales y similares	12533	151
2011	17	Central	IAEST	Viviendas de turismo rural	24	3
2011	18	Ribera Baja del Ebro	IAEST	Apartamentos turísticos	0	0
2011	18	Ribera Baja del Ebro	IAEST	Campings y áreas de acampada	0	0
2011	18	Ribera Baja del Ebro	IAEST	Hoteles, hostales y similares	233	9
2011	18	Ribera Baja del Ebro	IAEST	Viviendas de turismo rural	22	2
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	IAEST	Apartamentos turísticos	33	13
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	IAEST	Campings y áreas de acampada	972	3
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	IAEST	Hoteles, hostales y similares	261	12
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	IAEST	Viviendas de turismo rural	37	5
2011	20	Comunidad de Calatayud	IAEST	Apartamentos turísticos	160	40
2011	20	Comunidad de Calatayud	IAEST	Campings y áreas de acampada	1479	3
2011	20	Comunidad de Calatayud	IAEST	Hoteles, hostales y similares	2641	44
2011	20	Comunidad de Calatayud	IAEST	Viviendas de turismo rural	405	51
2011	21	Campo de Cariñena	IAEST	Apartamentos turísticos	29	4
2011	21	Campo de Cariñena	IAEST	Campings y áreas de acampada	0	0
2011	21	Campo de Cariñena	IAEST	Hoteles, hostales y similares	238	10
2011	21	Campo de Cariñena	IAEST	Viviendas de turismo rural	56	6
2011	22	Campo de Belchite	IAEST	Apartamentos turísticos	0	0
2011	22	Campo de Belchite	IAEST	Campings y áreas de acampada	0	0
2011	22	Campo de Belchite	IAEST	Hoteles, hostales y similares	94	5
2011	22	Campo de Belchite	IAEST	Viviendas de turismo rural	118	14
2011	23	Bajo Martín	IAEST	Apartamentos turísticos	0	0
2011	23	Bajo Martín	IAEST	Campings y áreas de acampada	111	1
2011	23	Bajo Martín	IAEST	Hoteles, hostales y similares	120	4
2011	23	Bajo Martín	IAEST	Viviendas de turismo rural	22	3
2011	24	Campo de Daroca	IAEST	Apartamentos turísticos	8	3
2011	24	Campo de Daroca	IAEST	Campings y áreas de acampada	0	0
2011	24	Campo de Daroca	IAEST	Hoteles, hostales y similares	190	6
2011	24	Campo de Daroca	IAEST	Viviendas de turismo rural	207	29
2011	25	Jiloca	IAEST	Apartamentos turísticos	0	0
2011	25	Jiloca	IAEST	Campings y áreas de acampada	0	0
2011	25	Jiloca	IAEST	Hoteles, hostales y similares	452	17
2011	25	Jiloca	IAEST	Viviendas de turismo rural	215	28
2011	26	Cuencas Mineras	IAEST	Apartamentos turísticos	0	0
2011	26	Cuencas Mineras	IAEST	Campings y áreas de acampada	530	4
2011	26	Cuencas Mineras	IAEST	Hoteles, hostales y similares	183	10
2011	26	Cuencas Mineras	IAEST	Viviendas de turismo rural	118	16
2011	27	Andorra-Sierra de Arcos	IAEST	Apartamentos turísticos	0	0
2011	27	Andorra-Sierra de Arcos	IAEST	Campings y áreas de acampada	0	0
2011	27	Andorra-Sierra de Arcos	IAEST	Hoteles, hostales y similares	359	11
2011	27	Andorra-Sierra de Arcos	IAEST	Viviendas de turismo rural	51	6
2011	28	Bajo Aragón	IAEST	Apartamentos turísticos	49	11
2011	28	Bajo Aragón	IAEST	Campings y áreas de acampada	400	1
2011	28	Bajo Aragón	IAEST	Hoteles, hostales y similares	743	17
2011	28	Bajo Aragón	IAEST	Viviendas de turismo rural	186	24
2011	29	Comunidad de Teruel	IAEST	Apartamentos turísticos	310	81
2011	29	Comunidad de Teruel	IAEST	Campings y áreas de acampada	0	0
2011	29	Comunidad de Teruel	IAEST	Hoteles, hostales y similares	1833	41
2011	29	Comunidad de Teruel	IAEST	Viviendas de turismo rural	307	37
2011	30	Maestrazgo	IAEST	Apartamentos turísticos	56	11
