Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201409	Septiembre 2014	44	1	Agricultura, ganadería y pesca	565	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201409	Septiembre 2014	44	2	Industria y energía	517	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201409	Septiembre 2014	44	3	Construcción	637	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201409	Septiembre 2014	44	4	Servicios	2869	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201409	Septiembre 2014	50	1	Agricultura, ganadería y pesca	1835	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201409	Septiembre 2014	50	2	Industria y energía	3078	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201409	Septiembre 2014	50	3	Construcción	2181	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201409	Septiembre 2014	50	4	Servicios	21357	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201409	Septiembre 2014	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201406	Junio 2014	22	1	Agricultura, ganadería y pesca	1671	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201406	Junio 2014	22	2	Industria y energía	811	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201406	Junio 2014	22	3	Construcción	880	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201406	Junio 2014	22	4	Servicios	5473	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201406	Junio 2014	44	1	Agricultura, ganadería y pesca	592	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201406	Junio 2014	44	2	Industria y energía	522	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201406	Junio 2014	44	3	Construcción	658	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201406	Junio 2014	44	4	Servicios	2910	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201406	Junio 2014	50	1	Agricultura, ganadería y pesca	1999	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201406	Junio 2014	50	2	Industria y energía	3084	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201406	Junio 2014	50	3	Construcción	2242	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201406	Junio 2014	50	4	Servicios	21428	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201406	Junio 2014	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201403	Marzo 2014	22	1	Agricultura, ganadería y pesca	1290	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201403	Marzo 2014	22	2	Industria y energía	800	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201403	Marzo 2014	22	3	Construcción	843	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201403	Marzo 2014	22	4	Servicios	5358	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201403	Marzo 2014	44	1	Agricultura, ganadería y pesca	509	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201403	Marzo 2014	44	2	Industria y energía	530	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201403	Marzo 2014	44	3	Construcción	616	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201403	Marzo 2014	44	4	Servicios	2833	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201403	Marzo 2014	50	1	Agricultura, ganadería y pesca	1525	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201403	Marzo 2014	50	2	Industria y energía	3069	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201403	Marzo 2014	50	3	Construcción	2241	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201403	Marzo 2014	50	4	Servicios	21327	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201403	Marzo 2014	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201312	Diciembre 2013	22	1	Agricultura, ganadería y pesca	1257	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201312	Diciembre 2013	22	2	Industria y energía	810	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201312	Diciembre 2013	22	3	Construcción	839	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201312	Diciembre 2013	22	4	Servicios	5414	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201312	Diciembre 2013	44	1	Agricultura, ganadería y pesca	508	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201312	Diciembre 2013	44	2	Industria y energía	540	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201312	Diciembre 2013	44	3	Construcción	595	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201312	Diciembre 2013	44	4	Servicios	2880	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201312	Diciembre 2013	50	1	Agricultura, ganadería y pesca	1540	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201312	Diciembre 2013	50	2	Industria y energía	3079	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201312	Diciembre 2013	50	3	Construcción	2176	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201312	Diciembre 2013	50	4	Servicios	21466	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201312	Diciembre 2013	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201309	Septiembre 2013	22	1	Agricultura, ganadería y pesca	1324	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201309	Septiembre 2013	22	2	Industria y energía	809	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201309	Septiembre 2013	22	3	Construcción	910	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201309	Septiembre 2013	22	4	Servicios	5278	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201309	Septiembre 2013	44	1	Agricultura, ganadería y pesca	531	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201309	Septiembre 2013	44	2	Industria y energía	542	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201309	Septiembre 2013	44	3	Construcción	647	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201309	Septiembre 2013	44	4	Servicios	2839	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201309	Septiembre 2013	50	1	Agricultura, ganadería y pesca	1790	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201309	Septiembre 2013	50	2	Industria y energía	3099	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201309	Septiembre 2013	50	3	Construcción	2302	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201309	Septiembre 2013	50	4	Servicios	21288	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201309	Septiembre 2013	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201306	Junio 2013	22	1	Agricultura, ganadería y pesca	1575	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201306	Junio 2013	22	2	Industria y energía	811	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201306	Junio 2013	22	3	Construcción	903	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201306	Junio 2013	22	4	Servicios	5404	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201306	Junio 2013	44	1	Agricultura, ganadería y pesca	572	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201306	Junio 2013	44	2	Industria y energía	549	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201306	Junio 2013	44	3	Construcción	671	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201306	Junio 2013	44	4	Servicios	2924	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201306	Junio 2013	50	1	Agricultura, ganadería y pesca	1835	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201306	Junio 2013	50	2	Industria y energía	3125	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201306	Junio 2013	50	3	Construcción	2388	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201306	Junio 2013	50	4	Servicios	21615	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201306	Junio 2013	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201303	Marzo 2013	22	1	Agricultura, ganadería y pesca	1199	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201303	Marzo 2013	22	2	Industria y energía	813	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201303	Marzo 2013	22	3	Construcción	872	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201303	Marzo 2013	22	4	Servicios	5437	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201303	Marzo 2013	44	1	Agricultura, ganadería y pesca	471	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201303	Marzo 2013	44	2	Industria y energía	545	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201303	Marzo 2013	44	3	Construcción	646	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201303	Marzo 2013	44	4	Servicios	2858	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201303	Marzo 2013	50	1	Agricultura, ganadería y pesca	1421	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201303	Marzo 2013	50	2	Industria y energía	3137	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201303	Marzo 2013	50	3	Construcción	2379	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201303	Marzo 2013	50	4	Servicios	21518	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201303	Marzo 2013	50		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201212	Diciembre 2012	22	1	Agricultura, ganadería y pesca	1171	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201212	Diciembre 2012	22	2	Industria y energía	829	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201212	Diciembre 2012	22	3	Construcción	898	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201212	Diciembre 2012	22	4	Servicios	5411	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201212	Diciembre 2012	44	1	Agricultura, ganadería y pesca	462	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201212	Diciembre 2012	44	2	Industria y energía	556	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201212	Diciembre 2012	44	3	Construcción	666	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201212	Diciembre 2012	44	4	Servicios	2897	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201212	Diciembre 2012	50	1	Agricultura, ganadería y pesca	1414	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201212	Diciembre 2012	50	2	Industria y energía	3201	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201212	Diciembre 2012	50	3	Construcción	2464	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201212	Diciembre 2012	50	4	Servicios	21739	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201212	Diciembre 2012	50		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201209	Septiembre 2012	22	1	Agricultura, ganadería y pesca	1225	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201209	Septiembre 2012	22	2	Industria y energía	842	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201209	Septiembre 2012	22	3	Construcción	965	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201209	Septiembre 2012	22	4	Servicios	5327	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201209	Septiembre 2012	44	1	Agricultura, ganadería y pesca	510	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201209	Septiembre 2012	44	2	Industria y energía	565	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201209	Septiembre 2012	44	3	Construcción	737	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201209	Septiembre 2012	44	4	Servicios	2905	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201209	Septiembre 2012	50	1	Agricultura, ganadería y pesca	1721	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201209	Septiembre 2012	50	2	Industria y energía	3250	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201209	Septiembre 2012	50	3	Construcción	2650	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201209	Septiembre 2012	50	4	Servicios	21774	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201209	Septiembre 2012	50		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201206	Junio 2012	22	1	Agricultura, ganadería y pesca	1482	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201206	Junio 2012	22	2	Industria y energía	850	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201206	Junio 2012	22	3	Construcción	1013	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201206	Junio 2012	22	4	Servicios	5412	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201206	Junio 2012	44	1	Agricultura, ganadería y pesca	568	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201206	Junio 2012	44	2	Industria y energía	557	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201206	Junio 2012	44	3	Construcción	790	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201206	Junio 2012	44	4	Servicios	2923	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201206	Junio 2012	50	1	Agricultura, ganadería y pesca	1835	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201206	Junio 2012	50	2	Industria y energía	3292	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201206	Junio 2012	50	3	Construcción	2769	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201206	Junio 2012	50	4	Servicios	21992	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201206	Junio 2012	50		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201203	Marzo 2012	22	1	Agricultura, ganadería y pesca	1160	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201203	Marzo 2012	22	2	Industria y energía	845	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201203	Marzo 2012	22	3	Construcción	1010	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201203	Marzo 2012	22	4	Servicios	5383	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201203	Marzo 2012	44	1	Agricultura, ganadería y pesca	509	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201203	Marzo 2012	44	2	Industria y energía	563	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201203	Marzo 2012	44	3	Construcción	774	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201203	Marzo 2012	44	4	Servicios	2891	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201203	Marzo 2012	50	1	Agricultura, ganadería y pesca	1427	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201203	Marzo 2012	50	2	Industria y energía	3328	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201203	Marzo 2012	50	3	Construcción	2782	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201203	Marzo 2012	50	4	Servicios	21902	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201203	Marzo 2012	50		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201112	Diciembre 2011	22	1	Agricultura, ganadería y pesca	410	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201112	Diciembre 2011	22	2	Industria y energía	856	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201112	Diciembre 2011	22	3	Construcción	1007	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201112	Diciembre 2011	22	4	Servicios	5409	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201112	Diciembre 2011	44	1	Agricultura, ganadería y pesca	146	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201112	Diciembre 2011	44	2	Industria y energía	584	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201112	Diciembre 2011	44	3	Construcción	805	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201112	Diciembre 2011	44	4	Servicios	2928	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201112	Diciembre 2011	50	1	Agricultura, ganadería y pesca	404	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201112	Diciembre 2011	50	2	Industria y energía	3385	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201112	Diciembre 2011	50	3	Construcción	2845	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201112	Diciembre 2011	50	4	Servicios	22031	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201112	Diciembre 2011	50		Sin clasificar	3	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201109	Septiembre 2011	22	1	Agricultura, ganadería y pesca	413	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201109	Septiembre 2011	22	2	Industria y energía	859	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201109	Septiembre 2011	22	3	Construcción	1097	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201109	Septiembre 2011	22	4	Servicios	5328	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201109	Septiembre 2011	44	1	Agricultura, ganadería y pesca	145	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201109	Septiembre 2011	44	2	Industria y energía	582	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201109	Septiembre 2011	44	3	Construcción	885	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201109	Septiembre 2011	44	4	Servicios	2890	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201109	Septiembre 2011	50	1	Agricultura, ganadería y pesca	420	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201109	Septiembre 2011	50	2	Industria y energía	3427	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201109	Septiembre 2011	50	3	Construcción	3031	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201109	Septiembre 2011	50	4	Servicios	22002	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201109	Septiembre 2011	50		Sin clasificar	3	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201106	Junio 2011	22	1	Agricultura, ganadería y pesca	410	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201106	Junio 2011	22	2	Industria y energía	875	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201106	Junio 2011	22	3	Construcción	1117	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201106	Junio 2011	22	4	Servicios	5936	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201106	Junio 2011	44	1	Agricultura, ganadería y pesca	145	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201106	Junio 2011	44	2	Industria y energía	591	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201106	Junio 2011	44	3	Construcción	904	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201106	Junio 2011	44	4	Servicios	3272	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201106	Junio 2011	50	1	Agricultura, ganadería y pesca	413	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201106	Junio 2011	50	2	Industria y energía	3472	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201106	Junio 2011	50	3	Construcción	3122	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201106	Junio 2011	50	4	Servicios	25847	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201103	Marzo 2011	22	1	Agricultura, ganadería y pesca	370	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201103	Marzo 2011	22	2	Industria y energía	871	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201103	Marzo 2011	22	3	Construcción	1125	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201103	Marzo 2011	22	4	Servicios	5904	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201103	Marzo 2011	44	1	Agricultura, ganadería y pesca	142	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201103	Marzo 2011	44	2	Industria y energía	595	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201103	Marzo 2011	44	3	Construcción	885	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201103	Marzo 2011	44	4	Servicios	3224	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201103	Marzo 2011	50	1	Agricultura, ganadería y pesca	403	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201103	Marzo 2011	50	2	Industria y energía	3500	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201103	Marzo 2011	50	3	Construcción	3124	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201103	Marzo 2011	50	4	Servicios	25828	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201012	Diciembre 2010	22	1	Agricultura, ganadería y pesca	378	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201012	Diciembre 2010	22	2	Industria y energía	869	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201012	Diciembre 2010	22	3	Construcción	1133	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201012	Diciembre 2010	22	4	Servicios	6011	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201012	Diciembre 2010	44	1	Agricultura, ganadería y pesca	143	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201012	Diciembre 2010	44	2	Industria y energía	603	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201012	Diciembre 2010	44	3	Construcción	894	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201012	Diciembre 2010	44	4	Servicios	3271	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201012	Diciembre 2010	50	1	Agricultura, ganadería y pesca	400	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201012	Diciembre 2010	50	2	Industria y energía	3537	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201012	Diciembre 2010	50	3	Construcción	3141	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201012	Diciembre 2010	50	4	Servicios	25802	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201009	Septiembre 2010	22	1	Agricultura, ganadería y pesca	392	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201009	Septiembre 2010	22	2	Industria y energía	875	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201009	Septiembre 2010	22	3	Construcción	1225	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201009	Septiembre 2010	22	4	Servicios	5903	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201009	Septiembre 2010	44	1	Agricultura, ganadería y pesca	148	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201009	Septiembre 2010	44	2	Industria y energía	598	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201009	Septiembre 2010	44	3	Construcción	945	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201009	Septiembre 2010	44	4	Servicios	3277	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201009	Septiembre 2010	50	1	Agricultura, ganadería y pesca	401	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201009	Septiembre 2010	50	2	Industria y energía	3567	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201009	Septiembre 2010	50	3	Construcción	3312	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201009	Septiembre 2010	50	4	Servicios	25652	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201006	Junio 2010	22	1	Agricultura, ganadería y pesca	391	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201006	Junio 2010	22	2	Industria y energía	888	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201006	Junio 2010	22	3	Construcción	1266	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
