Comarca código	Comarca nombre	Año de construcción	Combustible	Número hogares
01	La Jacetania	 Antes de 1900	Gas	122
01	La Jacetania	 Antes de 1900	Electricidad	102
01	La Jacetania	 Antes de 1900	Derivados del petróleo	661
01	La Jacetania	 Antes de 1900	Madera	96
01	La Jacetania	 Antes de 1900	Derivados del carbón	3
01	La Jacetania	 Antes de 1900	Otros	5
01	La Jacetania	1900 - 1920	Gas	36
01	La Jacetania	1900 - 1920	Electricidad	12
01	La Jacetania	1900 - 1920	Derivados del petróleo	93
01	La Jacetania	1900 - 1920	Madera	6
01	La Jacetania	1900 - 1920	Otros	2
01	La Jacetania	1921 - 1940	Gas	46
01	La Jacetania	1921 - 1940	Electricidad	14
01	La Jacetania	1921 - 1940	Derivados del petróleo	79
01	La Jacetania	1921 - 1940	Madera	9
01	La Jacetania	1921 - 1940	Derivados del carbón	1
01	La Jacetania	1921 - 1940	Otros	2
01	La Jacetania	1941 - 1950	Gas	63
01	La Jacetania	1941 - 1950	Electricidad	22
01	La Jacetania	1941 - 1950	Derivados del petróleo	90
01	La Jacetania	1941 - 1950	Derivados del carbón	1
01	La Jacetania	1951 - 1960	Gas	79
01	La Jacetania	1951 - 1960	Electricidad	32
01	La Jacetania	1951 - 1960	Derivados del petróleo	189
01	La Jacetania	1951 - 1960	Madera	11
01	La Jacetania	1951 - 1960	Derivados del carbón	1
01	La Jacetania	1961 - 1970	Gas	194
01	La Jacetania	1961 - 1970	Electricidad	63
01	La Jacetania	1961 - 1970	Derivados del petróleo	219
01	La Jacetania	1961 - 1970	Madera	20
01	La Jacetania	1961 - 1970	Derivados del carbón	3
01	La Jacetania	1961 - 1970	Otros	6
01	La Jacetania	1971 - 1980	Gas	222
01	La Jacetania	1971 - 1980	Electricidad	96
01	La Jacetania	1971 - 1980	Derivados del petróleo	668
01	La Jacetania	1971 - 1980	Madera	13
01	La Jacetania	1971 - 1980	Derivados del carbón	2
01	La Jacetania	1971 - 1980	Otros	5
01	La Jacetania	1981 - 1990	Gas	277
01	La Jacetania	1981 - 1990	Electricidad	105
01	La Jacetania	1981 - 1990	Derivados del petróleo	380
01	La Jacetania	1981 - 1990	Madera	25
01	La Jacetania	1981 - 1990	Derivados del carbón	1
01	La Jacetania	1981 - 1990	Otros	1
01	La Jacetania	1991	Gas	33
01	La Jacetania	1991	Electricidad	19
01	La Jacetania	1991	Derivados del petróleo	29
01	La Jacetania	1991	Madera	2
01	La Jacetania	1992	Gas	11
01	La Jacetania	1992	Electricidad	13
01	La Jacetania	1992	Derivados del petróleo	35
01	La Jacetania	1992	Madera	3
01	La Jacetania	1993	Gas	23
01	La Jacetania	1993	Electricidad	6
01	La Jacetania	1993	Derivados del petróleo	26
01	La Jacetania	1994	Gas	25
01	La Jacetania	1994	Electricidad	7
01	La Jacetania	1994	Derivados del petróleo	66
01	La Jacetania	1994	Madera	1
01	La Jacetania	1995	Gas	43
01	La Jacetania	1995	Electricidad	3
01	La Jacetania	1995	Derivados del petróleo	40
01	La Jacetania	1996	Gas	37
01	La Jacetania	1996	Electricidad	4
01	La Jacetania	1996	Derivados del petróleo	81
01	La Jacetania	1997	Gas	2
01	La Jacetania	1997	Electricidad	6
01	La Jacetania	1997	Derivados del petróleo	18
01	La Jacetania	1997	Otros	1
01	La Jacetania	1998	Gas	17
01	La Jacetania	1998	Electricidad	11
01	La Jacetania	1998	Derivados del petróleo	62
01	La Jacetania	1998	Madera	1
01	La Jacetania	1999	Gas	25
01	La Jacetania	1999	Electricidad	7
01	La Jacetania	1999	Derivados del petróleo	38
01	La Jacetania	1999	Madera	1
01	La Jacetania	2000	Gas	35
01	La Jacetania	2000	Electricidad	4
01	La Jacetania	2000	Derivados del petróleo	39
01	La Jacetania	2000	Madera	1
01	La Jacetania	2001	Gas	32
01	La Jacetania	2001	Electricidad	4
01	La Jacetania	2001	Derivados del petróleo	20
02	Alto Gállego	 Antes de 1900	Gas	52
02	Alto Gállego	 Antes de 1900	Electricidad	58
02	Alto Gállego	 Antes de 1900	Derivados del petróleo	291
02	Alto Gállego	 Antes de 1900	Madera	31
02	Alto Gállego	 Antes de 1900	Otros	1
02	Alto Gállego	1900 - 1920	Gas	32
02	Alto Gállego	1900 - 1920	Electricidad	7
02	Alto Gállego	1900 - 1920	Derivados del petróleo	89
02	Alto Gállego	1921 - 1940	Gas	12
02	Alto Gállego	1921 - 1940	Electricidad	7
02	Alto Gállego	1921 - 1940	Derivados del petróleo	58
02	Alto Gállego	1921 - 1940	Madera	2
02	Alto Gállego	1941 - 1950	Gas	32
02	Alto Gállego	1941 - 1950	Electricidad	14
02	Alto Gállego	1941 - 1950	Derivados del petróleo	74
02	Alto Gállego	1941 - 1950	Madera	4
02	Alto Gállego	1951 - 1960	Gas	108
02	Alto Gállego	1951 - 1960	Electricidad	51
02	Alto Gállego	1951 - 1960	Derivados del petróleo	164
02	Alto Gállego	1951 - 1960	Madera	4
02	Alto Gállego	1951 - 1960	Otros	1
02	Alto Gállego	1961 - 1970	Gas	272
02	Alto Gállego	1961 - 1970	Electricidad	86
02	Alto Gállego	1961 - 1970	Derivados del petróleo	234
02	Alto Gállego	1961 - 1970	Madera	4
02	Alto Gállego	1961 - 1970	Derivados del carbón	1
02	Alto Gállego	1971 - 1980	Gas	182
02	Alto Gállego	1971 - 1980	Electricidad	72
02	Alto Gállego	1971 - 1980	Derivados del petróleo	658
02	Alto Gállego	1971 - 1980	Madera	6
02	Alto Gállego	1981 - 1990	Gas	106
02	Alto Gállego	1981 - 1990	Electricidad	53
02	Alto Gállego	1981 - 1990	Derivados del petróleo	160
02	Alto Gállego	1981 - 1990	Madera	5
02	Alto Gállego	1981 - 1990	Derivados del carbón	1
02	Alto Gállego	1981 - 1990	Otros	1
02	Alto Gállego	1991	Gas	27
02	Alto Gállego	1991	Electricidad	6
02	Alto Gállego	1991	Derivados del petróleo	43
02	Alto Gállego	1992	Gas	31
02	Alto Gállego	1992	Electricidad	19
02	Alto Gállego	1992	Derivados del petróleo	49
02	Alto Gállego	1993	Gas	10
