Año	Comarca código	Comarca nombre	Población
1900	01	La Jacetania	26996
1900	02	Alto Gállego	13500
1900	03	Sobrarbe	22277
1900	04	La Ribagorza	34095
1900	05	Cinco Villas	36105
1900	06	Hoya de Huesca / Plana de Uesca	54181
1900	07	Somontano de Barbastro	33324
1900	08	Cinca Medio	16350
1900	09	La Litera / La Llitera	17917
1900	10	Los Monegros	28881
1900	11	Bajo Cinca / Baix Cinca	22233
1900	12	Tarazona y el Moncayo	19078
1900	13	Campo de Borja	22880
1900	14	Aranda	12482
1900	15	Ribera Alta del Ebro	16964
1900	16	Valdejalón	26396
1900	17	Central	118012
1900	18	Ribera Baja del Ebro	15281
1900	19	Bajo Aragón-Caspe / Baix Aragó-Casp	17634
1900	20	Comunidad de Calatayud	68998
1900	21	Campo de Cariñena	16997
1900	22	Campo de Belchite	15133
1900	23	Bajo Martín	15605
1900	24	Campo de Daroca	20409
1900	25	Jiloca	34372
1900	26	Cuencas Mineras	22525
1900	27	Andorra-Sierra de Arcos	12756
1900	28	Bajo Aragón	32459
1900	29	Comunidad de Teruel	40244
1900	30	Maestrazgo	20648
1900	31	Sierra de Albarracín	15793
1900	32	Gúdar-Javalambre	34069
1900	33	Matarraña / Matarranya	23523
1910	01	La Jacetania	27017
1910	02	Alto Gállego	13813
1910	03	Sobrarbe	22667
1910	04	La Ribagorza	34339
1910	05	Cinco Villas	38487
1910	06	Hoya de Huesca / Plana de Uesca	56183
1910	07	Somontano de Barbastro	33406
1910	08	Cinca Medio	17736
1910	09	La Litera / La Llitera	20267
1910	10	Los Monegros	30951
1910	11	Bajo Cinca / Baix Cinca	24254
1910	12	Tarazona y el Moncayo	18372
1910	13	Campo de Borja	21447
1910	14	Aranda	12967
1910	15	Ribera Alta del Ebro	19011
1910	16	Valdejalón	29173
1910	17	Central	131838
1910	18	Ribera Baja del Ebro	15974
1910	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19588
1910	20	Comunidad de Calatayud	70740
1910	21	Campo de Cariñena	18228
1910	22	Campo de Belchite	16846
1910	23	Bajo Martín	16979
1910	24	Campo de Daroca	21181
1910	25	Jiloca	36532
1910	26	Cuencas Mineras	24444
1910	27	Andorra-Sierra de Arcos	14226
1910	28	Bajo Aragón	34396
1910	29	Comunidad de Teruel	44032
1910	30	Maestrazgo	20428
1910	31	Sierra de Albarracín	16021
1910	32	Gúdar-Javalambre	34809
1910	33	Matarraña / Matarranya	24041
1920	01	La Jacetania	26478
1920	02	Alto Gállego	13604
1920	03	Sobrarbe	22761
1920	04	La Ribagorza	33415
1920	05	Cinco Villas	43611
1920	06	Hoya de Huesca / Plana de Uesca	56536
1920	07	Somontano de Barbastro	32898
1920	08	Cinca Medio	17578
1920	09	La Litera / La Llitera	21767
1920	10	Los Monegros	31753
1920	11	Bajo Cinca / Baix Cinca	25492
1920	12	Tarazona y el Moncayo	18730
1920	13	Campo de Borja	22043
1920	14	Aranda	13281
1920	15	Ribera Alta del Ebro	22222
1920	16	Valdejalón	30995
1920	17	Central	163029
