CCAA código	CCAA nombre	Explotaciones	Cursos jefe explotación
02	Aragón	7403	El jefe de explotación ha realizado algún curso en los últimos 12 meses
02	Aragón	45371	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
