Año de construcción	Año de construcción, código	Municipio codigo	Municipio nombre	Nº edificios
Antes 1900	2	22001	Abiego	17
Antes 1900	2	22002	Abizanda	48
Antes 1900	2	22003	Adahuesca	12
Antes 1900	2	22004	Agüero	101
Antes 1900	2	22006	Aísa	45
Antes 1900	2	22007	Albalate de Cinca	24
Antes 1900	2	22008	Albalatillo	32
Antes 1900	2	22009	Albelda	8
Antes 1900	2	22011	Albero Alto	45
Antes 1900	2	22012	Albero Bajo	28
Antes 1900	2	22013	Alberuela de Tubo	24
Antes 1900	2	22014	Alcalá de Gurrea	19
Antes 1900	2	22015	Alcalá del Obispo	62
Antes 1900	2	22016	Alcampell	73
Antes 1900	2	22017	Alcolea de Cinca	152
Antes 1900	2	22018	Alcubierre	130
Antes 1900	2	22019	Alerre	12
Antes 1900	2	22020	Alfántega	54
Antes 1900	2	22021	Almudévar	286
Antes 1900	2	22022	Almunia de San Juan	107
Antes 1900	2	22023	Almuniente	61
Antes 1900	2	22024	Alquézar	20
Antes 1900	2	22025	Altorricón	40
Antes 1900	2	22027	Angüés	140
Antes 1900	2	22028	Ansó	233
Antes 1900	2	22029	Antillón	32
Antes 1900	2	22032	Aragüés del Puerto	51
Antes 1900	2	22035	Arén	93
Antes 1900	2	22036	Argavieso	8
Antes 1900	2	22037	Arguis	71
Antes 1900	2	22039	Ayerbe	307
Antes 1900	2	22040	Azanuy-Alins	9
Antes 1900	2	22041	Azara	52
Antes 1900	2	22042	Azlor	76
Antes 1900	2	22043	Baells	82
Antes 1900	2	22044	Bailo	126
Antes 1900	2	22045	Baldellou	119
Antes 1900	2	22046	Ballobar	151
Antes 1900	2	22047	Banastás	2
Antes 1900	2	22048	Barbastro	134
Antes 1900	2	22049	Barbués	35
Antes 1900	2	22050	Barbuñales	47
Antes 1900	2	22051	Bárcabo	32
Antes 1900	2	22052	Belver de Cinca	18
Antes 1900	2	22053	Benabarre	257
Antes 1900	2	22054	Benasque	247
Antes 1900	2	22055	Berbegal	68
Antes 1900	2	22057	Bielsa	79
Antes 1900	2	22058	Bierge	88
Antes 1900	2	22059	Biescas	220
Antes 1900	2	22060	Binaced	45
Antes 1900	2	22061	Binéfar	56
Antes 1900	2	22062	Bisaurri	35
Antes 1900	2	22063	Biscarrués	47
Antes 1900	2	22064	Blecua y Torres	89
Antes 1900	2	22066	Boltaña	85
Antes 1900	2	22067	Bonansa	26
Antes 1900	2	22068	Borau	50
Antes 1900	2	22069	Broto	177
Antes 1900	2	22072	Caldearenas	132
Antes 1900	2	22074	Campo	122
Antes 1900	2	22075	Camporrells	147
Antes 1900	2	22076	Canal de Berdún	115
Antes 1900	2	22077	Candasnos	144
Antes 1900	2	22078	Canfranc	19
Antes 1900	2	22079	Capdesaso	10
Antes 1900	2	22080	Capella	42
Antes 1900	2	22081	Casbas de Huesca	180
Antes 1900	2	22082	Castejón del Puente	67
Antes 1900	2	22083	Castejón de Monegros	19
Antes 1900	2	22084	Castejón de Sos	95
Antes 1900	2	22085	Castelflorite	4
Antes 1900	2	22086	Castiello de Jaca	86
Antes 1900	2	22087	Castigaleu	19
Antes 1900	2	22088	Castillazuelo	2
Antes 1900	2	22089	Castillonroy	42
Antes 1900	2	22090	Colungo	88
Antes 1900	2	22094	Chalamera	38
Antes 1900	2	22095	Chía	42
Antes 1900	2	22096	Chimillas	13
Antes 1900	2	22099	Esplús	50
Antes 1900	2	22102	Estada	29
Antes 1900	2	22103	Estadilla	112
Antes 1900	2	22105	Estopiñán del Castillo	32
Antes 1900	2	22106	Fago	63
Antes 1900	2	22107	Fanlo	105
Antes 1900	2	22109	Fiscal	33
Antes 1900	2	22110	Fonz	124
Antes 1900	2	22111	Foradada del Toscar	47
Antes 1900	2	22112	Fraga	33
Antes 1900	2	22113	Fueva (La)	252
Antes 1900	2	22114	Gistaín	53
Antes 1900	2	22115	Grado (El)	87
Antes 1900	2	22116	Grañén	119
Antes 1900	2	22117	Graus	148
Antes 1900	2	22119	Gurrea de Gállego	42
Antes 1900	2	22122	Hoz de Jaca	23
Antes 1900	2	22124	Huerto	44
Antes 1900	2	22125	Huesca	327
Antes 1900	2	22126	Ibieca	54
Antes 1900	2	22127	Igriés	24
Antes 1900	2	22128	Ilche	19
Antes 1900	2	22129	Isábena	40
Antes 1900	2	22130	Jaca	601
Antes 1900	2	22131	Jasa	37
Antes 1900	2	22133	Labuerda	99
Antes 1900	2	22135	Laluenga	108
Antes 1900	2	22136	Lalueza	50
Antes 1900	2	22137	Lanaja	133
Antes 1900	2	22139	Laperdiguera	33
Antes 1900	2	22141	Lascellas-Ponzano	109
Antes 1900	2	22142	Lascuarre	20
Antes 1900	2	22143	Laspaúles	243
