Provincia código	Provincia nombre	Estudios en curso	Personas residentes viviendas familiares
22	Huesca	Con estudios en curso	19688
22	Huesca	Sin estudios en curso	84330
44	Teruel	Con estudios en curso	10385
44	Teruel	Sin estudios en curso	51957
50	Zaragoza	Con estudios en curso	94793
50	Zaragoza	Sin estudios en curso	366965
